l_s	l_l	R	theta	
	 0.48846	 0.45237	 0.02496	 -0.38858
	 0.40959	 0.45752	 0.02441	 -0.38076
	 0.42318	 0.44535	 0.02500	 -0.39063
	 0.44935	 0.45752	 0.02498	 -0.39649
	 0.44935	 0.45342	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.35329	 0.02499	 -0.39663
	 0.45331	 0.45405	 0.02496	 -0.39709
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45320	 0.45752	 0.02498	 -0.39736
	 0.44935	 0.46030	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45300	 0.45231	 0.02499	 -0.39742
	 0.45012	 0.45758	 0.02496	 -0.39642
	 0.45105	 0.45778	 0.02490	 -0.39586
	 0.44940	 0.45752	 0.02496	 -0.39626
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45290	 0.43865	 0.02496	 -0.39704
	 0.41306	 0.45752	 0.02499	 -0.38812
	 0.45037	 0.46903	 0.02499	 -0.39684
	 0.45034	 0.45752	 0.02499	 -0.39685
	 0.44939	 0.46903	 0.02499	 -0.39661
	 0.44988	 0.46201	 0.02499	 -0.39666
	 0.45023	 0.45745	 0.02499	 -0.39679
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44566	 0.47290	 0.02499	 -0.39580
	 0.43394	 0.46201	 0.02499	 -0.39305
	 0.45022	 0.44574	 0.02499	 -0.39677
	 0.45331	 0.45405	 0.02496	 -0.39709
	 0.45290	 0.45237	 0.02496	 -0.39704
	 0.45332	 0.45397	 0.02499	 -0.39748
	 0.45300	 0.45240	 0.02499	 -0.39745
	 0.44345	 0.45745	 0.02499	 -0.39527
	 0.42715	 0.45237	 0.02496	 -0.39116
	 0.45023	 0.45745	 0.02499	 -0.39679
	 0.45891	 0.45753	 0.02499	 -0.38298
	 0.45037	 0.46903	 0.02499	 -0.39684
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45320	 0.45756	 0.02498	 -0.39737
	 0.44940	 0.45772	 0.02499	 -0.39663
	 0.46749	 0.45405	 0.02499	 -0.38478
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44990	 0.47044	 0.02499	 -0.39667
	 0.46197	 0.45237	 0.02496	 -0.38329
	 0.41520	 0.45752	 0.02499	 -0.38865
	 0.42951	 0.42725	 0.02499	 -0.39209
	 0.45290	 0.43865	 0.02496	 -0.39704
	 0.45037	 0.47301	 0.02301	 -0.35832
	 0.45320	 0.40378	 0.02498	 -0.39736
	 0.44940	 0.45776	 0.02500	 -0.39666
	 0.44998	 0.45444	 0.02499	 -0.39675
	 0.45384	 0.46154	 0.02499	 -0.39757
	 0.44934	 0.48491	 0.02499	 -0.39663
	 0.45039	 0.46903	 0.02499	 -0.39684
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45290	 0.45237	 0.02496	 -0.39704
	 0.45300	 0.45231	 0.02499	 -0.39742
	 0.44530	 0.45405	 0.02499	 -0.39570
	 0.44944	 0.45752	 0.02499	 -0.39665
	 0.45025	 0.45752	 0.02499	 -0.39683
	 0.45290	 0.43865	 0.02496	 -0.39704
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45290	 0.45292	 0.02500	 -0.39750
	 0.45290	 0.43810	 0.02497	 -0.39718
	 0.45290	 0.45237	 0.02496	 -0.39704
	 0.45290	 0.43865	 0.02499	 -0.39733
	 0.45299	 0.45766	 0.02499	 -0.39745
	 0.45320	 0.46614	 0.02498	 -0.39736
	 0.46193	 0.36299	 0.02498	 -0.38351
	 0.45320	 0.45752	 0.02498	 -0.39736
	 0.45290	 0.45237	 0.02418	 -0.37243
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45326	 0.46168	 0.02499	 -0.39750
	 0.45384	 0.45391	 0.02499	 -0.39757
	 0.45025	 0.46903	 0.02499	 -0.39681
	 0.45343	 0.45405	 0.02472	 -0.37876
	 0.45037	 0.46903	 0.02499	 -0.39684
	 0.45332	 0.45397	 0.02500	 -0.39760
	 0.45300	 0.48547	 0.02350	 -0.36444
	 0.45300	 0.45231	 0.02499	 -0.39743
	 0.45034	 0.45744	 0.02499	 -0.39685
	 0.45331	 0.45414	 0.02499	 -0.39751
	 0.45326	 0.45405	 0.02426	 -0.37341
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45300	 0.44768	 0.02499	 -0.39742
	 0.45331	 0.45232	 0.02499	 -0.39751
	 0.45331	 0.46079	 0.02499	 -0.39751
	 0.45023	 0.45745	 0.02499	 -0.39679
	 0.43671	 0.45405	 0.02499	 -0.39374
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.47918	 0.46154	 0.02499	 -0.38711
	 0.45290	 0.43865	 0.02496	 -0.39704
	 0.43192	 0.45190	 0.02496	 -0.39228
	 0.45036	 0.45791	 0.02499	 -0.39682
	 0.45331	 0.45405	 0.02496	 -0.39709
	 0.45331	 0.45405	 0.02496	 -0.39709
	 0.45290	 0.45720	 0.02498	 -0.39731
	 0.45320	 0.43902	 0.02496	 -0.39710
	 0.45333	 0.45405	 0.02499	 -0.39751
	 0.45318	 0.40378	 0.02498	 -0.39736
	 0.45301	 0.45409	 0.02482	 -0.39540
	 0.42564	 0.45236	 0.02499	 -0.39115
	 0.45331	 0.44928	 0.02499	 -0.39751
	 0.40289	 0.46168	 0.02499	 -0.38554
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45384	 0.45391	 0.02481	 -0.39539
	 0.45485	 0.45231	 0.02499	 -0.39785
	 0.45384	 0.46154	 0.02499	 -0.39757
	 0.45320	 0.44757	 0.02498	 -0.39736
	 0.44370	 0.46626	 0.02499	 -0.39532
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45300	 0.45231	 0.02499	 -0.39742
	 0.45332	 0.40740	 0.02241	 -0.35169
	 0.45320	 0.40378	 0.02498	 -0.39736
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45332	 0.46545	 0.02499	 -0.39748
	 0.45330	 0.46200	 0.02499	 -0.39751
	 0.45385	 0.45359	 0.02499	 -0.39757
	 0.45320	 0.45405	 0.02499	 -0.39748
	 0.43876	 0.45752	 0.02498	 -0.39410
	 0.43692	 0.45405	 0.02499	 -0.39379
	 0.45332	 0.45397	 0.02499	 -0.39748
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45299	 0.46079	 0.02499	 -0.39744
	 0.45332	 0.45240	 0.02217	 -0.34889
	 0.45331	 0.45232	 0.02499	 -0.39751
	 0.45331	 0.49381	 0.02499	 -0.39751
	 0.45290	 0.45292	 0.02500	 -0.39750
	 0.45320	 0.45756	 0.02498	 -0.39737
	 0.45384	 0.45391	 0.02500	 -0.39768
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45326	 0.45405	 0.02352	 -0.36470
	 0.45332	 0.45397	 0.02500	 -0.39760
	 0.46102	 0.43843	 0.02500	 -0.38352
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45300	 0.45231	 0.02499	 -0.39742
	 0.45302	 0.45240	 0.02499	 -0.39745
	 0.45051	 0.45405	 0.02499	 -0.39687
	 0.45331	 0.44644	 0.02499	 -0.39751
	 0.42710	 0.45766	 0.02499	 -0.39151
	 0.45384	 0.46188	 0.02499	 -0.39757
	 0.45384	 0.46308	 0.02499	 -0.39757
	 0.45329	 0.46297	 0.02434	 -0.37433
	 0.45387	 0.45361	 0.02499	 -0.39764
	 0.45384	 0.44420	 0.02500	 -0.39768
	 0.45333	 0.46285	 0.02445	 -0.37566
	 0.45388	 0.45419	 0.02499	 -0.39764
	 0.45322	 0.46140	 0.02499	 -0.39742
	 0.45332	 0.45405	 0.02499	 -0.39750
	 0.43282	 0.45397	 0.02500	 -0.39293
	 0.46573	 0.46101	 0.02499	 -0.38442
	 0.45331	 0.45383	 0.02499	 -0.39751
	 0.45385	 0.45359	 0.02472	 -0.37881
	 0.45384	 0.47968	 0.02385	 -0.36879
	 0.45332	 0.45397	 0.02500	 -0.39760
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45331	 0.45232	 0.02499	 -0.39751
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45324	 0.49525	 0.02499	 -0.39749
	 0.45492	 0.45232	 0.02499	 -0.39787
	 0.45331	 0.45397	 0.02500	 -0.39760
	 0.45332	 0.46079	 0.02500	 -0.39755
	 0.45331	 0.49810	 0.02499	 -0.39751
	 0.49789	 0.42925	 0.02500	 -0.39082
	 0.45331	 0.45228	 0.02499	 -0.39751
	 0.45331	 0.45409	 0.02499	 -0.39751
	 0.45326	 0.45405	 0.02500	 -0.39759
	 0.44678	 0.46257	 0.02133	 -0.33756
	 0.45331	 0.42910	 0.02499	 -0.39751
	 0.45331	 0.49080	 0.02499	 -0.39751
	 0.45331	 0.42761	 0.02500	 -0.39757
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.45485	 0.45231	 0.02499	 -0.39785
	 0.45326	 0.45403	 0.02499	 -0.39750
	 0.45331	 0.45235	 0.02499	 -0.39751
	 0.43107	 0.46064	 0.02500	 -0.39250
	 0.45326	 0.45405	 0.02499	 -0.39750
	 0.45300	 0.46064	 0.02441	 -0.37509
	 0.45681	 0.45391	 0.02499	 -0.39824
	 0.45485	 0.40910	 0.02500	 -0.39792
	 0.44365	 0.45391	 0.02499	 -0.39527
	 0.45326	 0.45383	 0.02500	 -0.39759
	 0.45332	 0.46102	 0.02500	 -0.39755
	 0.44502	 0.45405	 0.02499	 -0.39564
	 0.45384	 0.44837	 0.02500	 -0.39768
	 0.45384	 0.46188	 0.02499	 -0.39757
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45331	 0.49810	 0.02499	 -0.39751
	 0.45331	 0.49381	 0.02499	 -0.39751
	 0.45330	 0.45392	 0.02499	 -0.39751
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.45388	 0.45419	 0.02472	 -0.37880
	 0.45492	 0.46192	 0.02499	 -0.39787
	 0.45384	 0.45391	 0.02499	 -0.39757
	 0.45384	 0.46154	 0.02499	 -0.39757
	 0.45331	 0.45397	 0.02500	 -0.39760
	 0.45331	 0.49274	 0.02457	 -0.37704
	 0.45492	 0.45232	 0.02499	 -0.39787
	 0.45331	 0.45232	 0.02499	 -0.39751
	 0.45332	 0.45397	 0.02500	 -0.39760
	 0.45326	 0.45405	 0.02500	 -0.39759
	 0.44838	 0.45231	 0.02499	 -0.39638
	 0.45539	 0.44420	 0.02500	 -0.39806
	 0.45336	 0.45361	 0.02500	 -0.39761
	 0.45383	 0.45397	 0.02499	 -0.39763
	 0.45387	 0.45359	 0.02499	 -0.39758
	 0.45385	 0.45361	 0.02499	 -0.39763
	 0.45390	 0.45391	 0.02499	 -0.39758
	 0.45675	 0.45391	 0.02500	 -0.39834
	 0.45384	 0.45388	 0.02499	 -0.39763
	 0.45388	 0.45422	 0.02500	 -0.39769
	 0.45384	 0.46188	 0.02499	 -0.39757
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45332	 0.45881	 0.02500	 -0.39760
	 0.45331	 0.45232	 0.02500	 -0.39756
	 0.45331	 0.46079	 0.02499	 -0.39751
	 0.43681	 0.46154	 0.02499	 -0.39371
	 0.45384	 0.46308	 0.02499	 -0.39757
	 0.45485	 0.45231	 0.02499	 -0.39785
	 0.45485	 0.45231	 0.02499	 -0.39785
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45668	 0.45397	 0.02500	 -0.39836
	 0.45349	 0.48440	 0.02499	 -0.39755
	 0.45546	 0.43457	 0.02500	 -0.39809
	 0.43266	 0.44420	 0.02500	 -0.39288
	 0.45539	 0.44420	 0.02500	 -0.39806
	 0.45485	 0.40910	 0.02500	 -0.39792
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45485	 0.43246	 0.02469	 -0.37865
	 0.45492	 0.46633	 0.02499	 -0.39787
	 0.43668	 0.45387	 0.02499	 -0.39368
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45675	 0.45391	 0.02347	 -0.36486
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45384	 0.44837	 0.02500	 -0.39768
	 0.45685	 0.46052	 0.02499	 -0.39832
	 0.45326	 0.45417	 0.02500	 -0.39758
	 0.45388	 0.45453	 0.02499	 -0.39764
	 0.45491	 0.47075	 0.02499	 -0.39787
	 0.45492	 0.45232	 0.02499	 -0.39779
	 0.45492	 0.43162	 0.02499	 -0.39787
	 0.45384	 0.41462	 0.02500	 -0.39768
	 0.45388	 0.45419	 0.02499	 -0.39764
	 0.49396	 0.45913	 0.02500	 -0.39009
	 0.45384	 0.44837	 0.02500	 -0.39768
	 0.45487	 0.45231	 0.02499	 -0.39786
	 0.45386	 0.45422	 0.02500	 -0.39768
	 0.43936	 0.46064	 0.02499	 -0.39435
	 0.45385	 0.45611	 0.02499	 -0.39763
	 0.45492	 0.45232	 0.02499	 -0.39787
	 0.45685	 0.46064	 0.02500	 -0.39836
	 0.40385	 0.44420	 0.02500	 -0.38583
	 0.43508	 0.45397	 0.02500	 -0.39345
	 0.45485	 0.46337	 0.02500	 -0.39793
	 0.45383	 0.40885	 0.02499	 -0.39764
	 0.45386	 0.45418	 0.02499	 -0.39764
	 0.45334	 0.45644	 0.02500	 -0.39761
	 0.41981	 0.40781	 0.02500	 -0.38983
	 0.45540	 0.41914	 0.02500	 -0.39805
	 0.45685	 0.46064	 0.02499	 -0.39833
	 0.45388	 0.43008	 0.02474	 -0.37910
	 0.45685	 0.46052	 0.02499	 -0.39831
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45492	 0.40722	 0.02499	 -0.39787
	 0.45485	 0.45808	 0.02500	 -0.39792
	 0.45496	 0.47075	 0.02429	 -0.37406
	 0.45676	 0.45885	 0.02499	 -0.39829
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.45492	 0.46633	 0.02499	 -0.39787
	 0.45685	 0.45989	 0.02500	 -0.39836
	 0.45364	 0.45391	 0.02500	 -0.39763
	 0.45485	 0.40910	 0.02499	 -0.39786
	 0.45685	 0.46064	 0.02500	 -0.39838
	 0.44527	 0.45397	 0.02500	 -0.39578
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45681	 0.45885	 0.02499	 -0.39830
	 0.45685	 0.45490	 0.02499	 -0.39825
	 0.48413	 0.45391	 0.02499	 -0.38812
	 0.46428	 0.45075	 0.02499	 -0.38412
	 0.45485	 0.46337	 0.02500	 -0.39793
	 0.48287	 0.46340	 0.02500	 -0.38794
	 0.49348	 0.43455	 0.02500	 -0.39002
	 0.45493	 0.43456	 0.02499	 -0.39788
	 0.45543	 0.47076	 0.02379	 -0.36835
	 0.45492	 0.43162	 0.02499	 -0.39787
	 0.45492	 0.46633	 0.02499	 -0.39787
	 0.45675	 0.45391	 0.02500	 -0.39838
	 0.45668	 0.45397	 0.02500	 -0.39832
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.43566	 0.46017	 0.02499	 -0.39345
	 0.48454	 0.46052	 0.02500	 -0.38824
	 0.45492	 0.45232	 0.02499	 -0.39779
	 0.45539	 0.46426	 0.02500	 -0.39807
	 0.45685	 0.46064	 0.02365	 -0.36693
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45685	 0.44525	 0.02499	 -0.39831
	 0.47955	 0.46052	 0.02499	 -0.38723
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.48410	 0.45391	 0.02478	 -0.38562
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45546	 0.43457	 0.02500	 -0.39809
	 0.44151	 0.46064	 0.02500	 -0.39493
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45685	 0.44574	 0.02500	 -0.39840
	 0.44711	 0.45391	 0.02500	 -0.39619
	 0.45685	 0.46052	 0.02499	 -0.39832
	 0.45998	 0.46064	 0.02266	 -0.35587
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45668	 0.45397	 0.02500	 -0.39836
	 0.45668	 0.45397	 0.02500	 -0.39832
	 0.45669	 0.45362	 0.02499	 -0.39829
	 0.45684	 0.46099	 0.02477	 -0.38001
	 0.45681	 0.45885	 0.02499	 -0.39831
	 0.46732	 0.45885	 0.02500	 -0.38482
	 0.44783	 0.44525	 0.02499	 -0.39626
	 0.45685	 0.45104	 0.02499	 -0.39825
	 0.47503	 0.46064	 0.02383	 -0.37254
	 0.45685	 0.46052	 0.02499	 -0.39831
	 0.45685	 0.42296	 0.02499	 -0.39831
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45675	 0.45292	 0.02500	 -0.39838
	 0.40769	 0.45989	 0.02500	 -0.38681
	 0.45683	 0.46017	 0.02499	 -0.39824
	 0.46844	 0.39333	 0.02500	 -0.38502
	 0.46893	 0.46048	 0.02499	 -0.38507
	 0.45685	 0.41734	 0.02500	 -0.39836
	 0.44578	 0.46064	 0.02500	 -0.39586
	 0.45685	 0.46064	 0.02500	 -0.39838
	 0.45683	 0.44925	 0.02499	 -0.39824
	 0.45685	 0.46015	 0.02499	 -0.39831
	 0.45675	 0.45391	 0.02500	 -0.39834
	 0.45685	 0.46064	 0.02499	 -0.39831
	 0.45685	 0.41881	 0.02500	 -0.39836
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45675	 0.43373	 0.02500	 -0.39837
	 0.45681	 0.49703	 0.02500	 -0.39840
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45685	 0.48572	 0.02499	 -0.39831
	 0.46047	 0.43852	 0.02500	 -0.38340
	 0.45681	 0.47555	 0.02500	 -0.39839
	 0.45669	 0.46064	 0.02500	 -0.39832
	 0.45684	 0.45397	 0.02500	 -0.39837
	 0.45668	 0.45397	 0.02500	 -0.39836
	 0.45685	 0.46052	 0.02499	 -0.39832
	 0.45685	 0.46086	 0.02499	 -0.39833
	 0.45675	 0.44980	 0.02500	 -0.39838
	 0.45685	 0.44672	 0.02500	 -0.39840
	 0.44590	 0.45966	 0.02500	 -0.39592
	 0.45681	 0.45885	 0.02444	 -0.37622
	 0.45668	 0.45397	 0.02500	 -0.39836
	 0.45685	 0.45989	 0.02500	 -0.39836
	 0.45685	 0.46064	 0.02500	 -0.39838
	 0.45685	 0.43092	 0.02500	 -0.39840
	 0.45657	 0.45341	 0.02500	 -0.39834
	 0.48038	 0.43466	 0.02500	 -0.38747
	 0.45082	 0.46064	 0.02499	 -0.39693
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.39711	 0.44703	 0.02500	 -0.38413
	 0.45668	 0.46087	 0.02218	 -0.34951
	 0.45685	 0.45355	 0.02500	 -0.39836
	 0.45479	 0.46052	 0.02500	 -0.39793
	 0.45668	 0.45397	 0.02500	 -0.39836
	 0.45676	 0.44034	 0.02500	 -0.39837
	 0.45191	 0.46064	 0.02500	 -0.39726
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45681	 0.46373	 0.02500	 -0.39839
	 0.45675	 0.45391	 0.02463	 -0.37839
	 0.45685	 0.47192	 0.02499	 -0.39831
	 0.45676	 0.45391	 0.02500	 -0.39838
	 0.45040	 0.45397	 0.02500	 -0.39694
	 0.46834	 0.41813	 0.02500	 -0.38503
	 0.45675	 0.45988	 0.02500	 -0.39834
	 0.45685	 0.43092	 0.02500	 -0.39840
	 0.45676	 0.44034	 0.02500	 -0.39837
	 0.47016	 0.43373	 0.02398	 -0.37341
	 0.45675	 0.43707	 0.02500	 -0.39838
	 0.45681	 0.49703	 0.02500	 -0.39840
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.42779	 0.47177	 0.02500	 -0.39174
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45675	 0.45292	 0.02500	 -0.39838
	 0.45675	 0.46067	 0.02500	 -0.39837
	 0.45685	 0.45771	 0.02500	 -0.39839
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45676	 0.45391	 0.02500	 -0.39838
	 0.45681	 0.47555	 0.02500	 -0.39839
	 0.45675	 0.44980	 0.02333	 -0.36317
	 0.45675	 0.45391	 0.02500	 -0.39837
	 0.45685	 0.46064	 0.02500	 -0.39838
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45685	 0.44574	 0.02445	 -0.37637
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.44683	 0.02500	 -0.39839
	 0.45675	 0.46057	 0.02500	 -0.39838
	 0.45676	 0.43092	 0.02500	 -0.39838
	 0.45685	 0.45391	 0.02500	 -0.39839
	 0.45675	 0.44980	 0.02500	 -0.39838
	 0.46496	 0.44574	 0.02500	 -0.38434
	 0.45677	 0.44672	 0.02500	 -0.39838
	 0.49758	 0.49056	 0.02500	 -0.39080
	 0.47971	 0.46373	 0.02476	 -0.38446
	 0.45685	 0.46126	 0.02500	 -0.39840
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45675	 0.46120	 0.02500	 -0.39837
	 0.45675	 0.45338	 0.02500	 -0.39838
	 0.45301	 0.46067	 0.02500	 -0.39752
	 0.45968	 0.45391	 0.02500	 -0.38324
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.46064	 0.02500	 -0.39838
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45680	 0.45917	 0.02500	 -0.39839
	 0.46029	 0.49618	 0.02500	 -0.38337
	 0.45685	 0.43113	 0.02500	 -0.39841
	 0.45685	 0.43433	 0.02500	 -0.39839
	 0.45681	 0.45881	 0.02500	 -0.39839
	 0.45684	 0.44574	 0.02500	 -0.39840
	 0.45676	 0.43707	 0.02500	 -0.39838
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45685	 0.46126	 0.02500	 -0.39840
	 0.45681	 0.49703	 0.02500	 -0.39840
	 0.45680	 0.45917	 0.02500	 -0.39839
	 0.46381	 0.48354	 0.02500	 -0.38411
	 0.45685	 0.43001	 0.02500	 -0.39840
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.44989	 0.44672	 0.02500	 -0.39682
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45675	 0.45292	 0.02500	 -0.39838
	 0.45685	 0.44672	 0.02500	 -0.39840
	 0.46867	 0.47555	 0.02500	 -0.38510
	 0.45681	 0.46191	 0.02500	 -0.39840
	 0.45681	 0.49741	 0.02500	 -0.39839
	 0.47369	 0.44574	 0.02500	 -0.38613
	 0.45681	 0.45885	 0.02500	 -0.39839
	 0.47140	 0.45917	 0.02500	 -0.38566
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45681	 0.45780	 0.02460	 -0.37803
	 0.45685	 0.46364	 0.02500	 -0.39839
	 0.45685	 0.44777	 0.02500	 -0.39839
	 0.45685	 0.45527	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.44683	 0.02500	 -0.39839
	 0.45685	 0.43262	 0.02500	 -0.39840
	 0.45682	 0.45715	 0.02500	 -0.39839
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45680	 0.45917	 0.02500	 -0.39839
	 0.45685	 0.44682	 0.02500	 -0.39840
	 0.45812	 0.44673	 0.02500	 -0.38291
	 0.49279	 0.46064	 0.02500	 -0.38989
	 0.45681	 0.49703	 0.02500	 -0.39840
	 0.45771	 0.44123	 0.02500	 -0.38283
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.46126	 0.02500	 -0.39840
	 0.45685	 0.45940	 0.02500	 -0.39840
	 0.45685	 0.47103	 0.02500	 -0.39840
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.43001	 0.02500	 -0.39839
	 0.47856	 0.44774	 0.02500	 -0.38710
	 0.45652	 0.45391	 0.02500	 -0.39833
	 0.45685	 0.46030	 0.02500	 -0.39840
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.46126	 0.02465	 -0.37863
	 0.46904	 0.45527	 0.02500	 -0.38518
	 0.41536	 0.44672	 0.02451	 -0.38325
	 0.44677	 0.45527	 0.02500	 -0.39612
	 0.44821	 0.42667	 0.02500	 -0.39643
	 0.42495	 0.46791	 0.02500	 -0.39107
	 0.49204	 0.43092	 0.02500	 -0.38975
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.41826	 0.45917	 0.02500	 -0.38946
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.43113	 0.02500	 -0.39840
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.39283	 0.02500	 -0.39840
	 0.45681	 0.49703	 0.02500	 -0.39840
	 0.43195	 0.44682	 0.02500	 -0.39272
	 0.45685	 0.43092	 0.02500	 -0.39840
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45645	 0.40232	 0.02500	 -0.39831
	 0.46697	 0.43950	 0.02500	 -0.38475
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.44672	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.45978	 0.02500	 -0.39840
	 0.46036	 0.46064	 0.02500	 -0.38338
	 0.45816	 0.49703	 0.02500	 -0.38292
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45550	 0.49703	 0.02500	 -0.39810
	 0.45686	 0.45917	 0.02500	 -0.39841
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45685	 0.45917	 0.02500	 -0.39841
	 0.45685	 0.45527	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.46126	 0.02340	 -0.36404
	 0.47123	 0.43113	 0.02500	 -0.38563
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45685	 0.46064	 0.02500	 -0.39840
	 0.45471	 0.45917	 0.02500	 -0.39792
	 0.45685	 0.49498	 0.02500	 -0.39841
	 0.45686	 0.46106	 0.02500	 -0.39841
	 0.45685	 0.44672	 0.02447	 -0.37658
	 0.45685	 0.45527	 0.02500	 -0.39840
	 0.46490	 0.49693	 0.02500	 -0.38433
	 0.44047	 0.45908	 0.02500	 -0.39470
	 0.45685	 0.45410	 0.02500	 -0.39840
	 0.45686	 0.49950	 0.02500	 -0.39841
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45686	 0.49703	 0.02500	 -0.39841
	 0.45686	 0.49703	 0.02448	 -0.37669
	 0.45685	 0.38623	 0.02500	 -0.39840
	 0.45685	 0.48822	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45685	 0.43113	 0.02500	 -0.39840
	 0.45685	 0.45917	 0.02500	 -0.39840
	 0.45214	 0.45700	 0.02500	 -0.39733
	 0.45685	 0.45917	 0.02500	 -0.39840
