i	xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	delta_xi	theta	T	k	
50	0.125	-0.9	0.586625	0.9	0.125	-0.9	0.586625	-0.9	1.0	-0.237041213512	362.914572864	-24.7424532054
51	0.125	-0.9	0.586625	0.9	0.125	-0.9	0.586625	0.9	1.0	-0.240981418272	365.628140704	-27.444808171
52	0.125	-0.9	0.586625	0.9	0.125	0.9	0.280875	-0.9	1.0	-0.297702459393	349.346733668	-389.445045489
53	0.125	-0.9	0.586625	0.9	0.125	0.9	0.280875	0.9	1.0	-0.362917917918	338.492462312	242.285412432
54	0.125	-0.9	0.586625	0.9	0.125	0.9	0.586625	-0.9	1.0	-0.490685831689	329.447236181	27.444808171
55	0.125	-0.9	0.586625	0.9	0.125	0.9	0.586625	0.9	1.0	-0.48266202092	329.447236181	24.7424532054
56	0.125	-0.9	0.586625	0.9	0.25	-0.9	0.280875	-0.9	1.0	-0.32055656364	341.206030151	3895.55219602
57	0.125	-0.9	0.586625	0.9	0.25	-0.9	0.280875	0.9	1.0	-0.290636565272	349.346733668	10986.4745497
58	0.125	-0.9	0.586625	0.9	0.25	-0.9	0.586625	-0.9	1.0	-0.285741321723	341.206030151	-37.5470125463
59	0.125	-0.9	0.586625	0.9	0.25	-0.9	0.586625	0.9	1.0	-0.283761223805	341.206030151	-37.5029014148
60	0.125	-0.9	0.586625	0.9	0.25	0.9	0.280875	-0.9	1.0	-0.292193200966	335.778894472	-10986.4745497
61	0.125	-0.9	0.586625	0.9	0.25	0.9	0.280875	0.9	1.0	-0.311756465105	341.206030151	-3895.55219602
62	0.125	-0.9	0.586625	0.9	0.25	0.9	0.586625	-0.9	1.0	-0.260898920781	341.206030151	37.5029014148
63	0.125	-0.9	0.586625	0.9	0.25	0.9	0.586625	0.9	1.0	-0.287320720371	342.110552764	37.5470125463
64	0.125	0.0	0.280875	0.0	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
65	0.125	0.0	0.280875	0.0	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
66	0.125	0.0	0.280875	0.0	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
67	0.125	0.0	0.280875	0.0	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
68	0.125	0.0	0.280875	0.0	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
69	0.125	0.0	0.280875	0.0	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
70	0.125	0.0	0.280875	0.0	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
71	0.125	0.0	0.280875	0.0	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
72	0.125	0.0	0.280875	0.0	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
73	0.125	0.0	0.280875	0.0	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
74	0.125	0.0	0.280875	0.0	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
75	0.125	0.0	0.280875	0.0	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
76	0.125	0.0	0.280875	0.0	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
77	0.125	0.0	0.280875	0.0	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
78	0.125	0.0	0.280875	0.0	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
79	0.125	0.0	0.280875	0.0	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
80	0.125	0.0	0.280875	0.9	0.125	-0.9	0.280875	-0.9	1.0	0.330313696177	400.0	230.783113346
81	0.125	0.0	0.280875	0.9	0.125	-0.9	0.280875	0.9	0.999918150352	0.302721145158	400.0	-370.956464828
82	0.125	0.0	0.280875	0.9	0.125	-0.9	0.586625	-0.9	0.205304255652	4.87688087792e-05	400.0	23.5678257524
83	0.125	0.0	0.280875	0.9	0.125	-0.9	0.586625	0.9	0.205304255652	4.87688087794e-05	400.0	26.1418886564
84	0.125	0.0	0.280875	0.9	0.125	0.9	0.280875	-0.9	1.0	0.342230511577	400.0	370.956464828
85	0.125	0.0	0.280875	0.9	0.125	0.9	0.280875	0.9	1.0	0.313530137905	400.0	-230.783113346
86	0.125	0.0	0.280875	0.9	0.125	0.9	0.586625	-0.9	0.784988958002	0.214127041267	400.0	-26.1418886564
87	0.125	0.0	0.280875	0.9	0.125	0.9	0.586625	0.9	0.851892014111	0.235878592117	400.0	-23.5678257524
88	0.125	0.0	0.280875	0.9	0.25	-0.9	0.280875	-0.9	1.0	0.322231594423	400.0	-3710.61408516
89	0.125	0.0	0.280875	0.9	0.25	-0.9	0.280875	0.9	1.0	0.333128782098	400.0	-10464.9007789
90	0.125	0.0	0.280875	0.9	0.25	-0.9	0.586625	-0.9	1.0	0.320161402587	400.0	35.7644992544
91	0.125	0.0	0.280875	0.9	0.25	-0.9	0.586625	0.9	1.0	0.320310506707	400.0	35.7224822623
92	0.125	0.0	0.280875	0.9	0.25	0.9	0.280875	-0.9	0.999912970375	0.302416024044	400.0	10464.9007789
93	0.125	0.0	0.280875	0.9	0.25	0.9	0.280875	0.9	1.0	0.32172111582	400.0	3710.61408516
94	0.125	0.0	0.280875	0.9	0.25	0.9	0.586625	-0.9	1.0	0.321348847428	400.0	-35.7224822623
95	0.125	0.0	0.280875	0.9	0.25	0.9	0.586625	0.9	1.0	0.321488848191	400.0	-35.7644992544
96	0.125	0.0	0.586625	0.0	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
97	0.125	0.0	0.586625	0.0	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
98	0.125	0.0	0.586625	0.0	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
99	0.125	0.0	0.586625	0.0	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
100	0.125	0.0	0.586625	0.0	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
101	0.125	0.0	0.586625	0.0	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
102	0.125	0.0	0.586625	0.0	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
103	0.125	0.0	0.586625	0.0	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
104	0.125	0.0	0.586625	0.0	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
105	0.125	0.0	0.586625	0.0	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
106	0.125	0.0	0.586625	0.0	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
107	0.125	0.0	0.586625	0.0	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
108	0.125	0.0	0.586625	0.0	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
109	0.125	0.0	0.586625	0.0	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
110	0.125	0.0	0.586625	0.0	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
111	0.125	0.0	0.586625	0.0	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
112	0.125	0.0	0.586625	0.9	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
113	0.125	0.0	0.586625	0.9	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
114	0.125	0.0	0.586625	0.9	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
115	0.125	0.0	0.586625	0.9	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
116	0.125	0.0	0.586625	0.9	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
117	0.125	0.0	0.586625	0.9	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
118	0.125	0.0	0.586625	0.9	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
119	0.125	0.0	0.586625	0.9	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
120	0.125	0.0	0.586625	0.9	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
121	0.125	0.0	0.586625	0.9	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
122	0.125	0.0	0.586625	0.9	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
123	0.125	0.0	0.586625	0.9	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
124	0.125	0.0	0.586625	0.9	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
125	0.125	0.0	0.586625	0.9	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
126	0.125	0.0	0.586625	0.9	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
127	0.125	0.0	0.586625	0.9	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
128	0.25	-0.9	0.280875	0.0	0.125	-0.9	0.280875	-0.9	1.0	-0.0829601263203	400.0	-292.71871499
129	0.25	-0.9	0.280875	0.0	0.125	-0.9	0.280875	0.9	1.0	-0.0869170318046	400.0	470.510593809
130	0.25	-0.9	0.280875	0.0	0.125	-0.9	0.586625	-0.9	0.999702414339	-0.0774571594294	400.0	-29.892757617
131	0.25	-0.9	0.280875	0.0	0.125	-0.9	0.586625	0.9	0.999376172152	-0.0767402564191	400.0	-33.1576255471
132	0.25	-0.9	0.280875	0.0	0.125	0.9	0.280875	-0.9	1.0	-0.081456527093	400.0	-470.510593809
133	0.25	-0.9	0.280875	0.0	0.125	0.9	0.280875	0.9	1.0	-0.0852688141832	400.0	292.71871499
134	0.25	-0.9	0.280875	0.0	0.125	0.9	0.586625	-0.9	1.0	-0.0928459030889	400.0	33.1576255471
135	0.25	-0.9	0.280875	0.0	0.125	0.9	0.586625	0.9	1.0	-0.0918723818428	400.0	29.892757617
136	0.25	-0.9	0.280875	0.0	0.25	-0.9	0.280875	-0.9	1.0	-0.0840307097973	400.0	4706.43701388
137	0.25	-0.9	0.280875	0.0	0.25	-0.9	0.280875	0.9	1.0	-0.0818300102048	400.0	13273.3815056
138	0.25	-0.9	0.280875	0.0	0.25	-0.9	0.586625	-0.9	1.0	-0.084158473789	400.0	-45.362670224
139	0.25	-0.9	0.280875	0.0	0.25	-0.9	0.586625	0.9	1.0	-0.0841387498984	400.0	-45.3093770703
140	0.25	-0.9	0.280875	0.0	0.25	0.9	0.280875	-0.9	1.0	-0.08614962231	400.0	-13273.3815056
141	0.25	-0.9	0.280875	0.0	0.25	0.9	0.280875	0.9	1.0	-0.084178583101	400.0	-4706.43701388
142	0.25	-0.9	0.280875	0.0	0.25	0.9	0.586625	-0.9	1.0	-0.0839881246172	400.0	45.3093770703
143	0.25	-0.9	0.280875	0.0	0.25	0.9	0.586625	0.9	1.0	-0.0839681243449	400.0	45.362670224
144	0.25	-0.9	0.280875	0.9	0.125	-0.9	0.280875	-0.9	1.0	-0.141922859992	400.0	-221.11294457
145	0.25	-0.9	0.280875	0.9	0.125	-0.9	0.280875	0.9	1.0	-0.152760064639	400.0	355.412816198
146	0.25	-0.9	0.280875	0.9	0.125	-0.9	0.586625	-0.9	0.946231058706	-0.120861291957	400.0	-22.5802974648
147	0.25	-0.9	0.280875	0.9	0.125	-0.9	0.586625	0.9	0.911075343893	-0.114838395222	400.0	-25.0465031589
148	0.25	-0.9	0.280875	0.9	0.125	0.9	0.280875	-0.9	0.999862552706	-0.13790048884	400.0	-355.412816198
149	0.25	-0.9	0.280875	0.9	0.125	0.9	0.280875	0.9	1.0	-0.148199175518	400.0	221.11294457
150	0.25	-0.9	0.280875	0.9	0.125	0.9	0.586625	-0.9	1.0	-0.169634525957	400.0	25.0465031589
151	0.25	-0.9	0.280875	0.9	0.125	0.9	0.586625	0.9	1.0	-0.166810962789	400.0	22.5802974648
152	0.25	-0.9	0.280875	0.9	0.25	-0.9	0.280875	-0.9	1.0	-0.144842453258	400.0	3555.13362583
153	0.25	-0.9	0.280875	0.9	0.25	-0.9	0.280875	0.9	0.999899362362	-0.138611764872	400.0	10026.4052785
154	0.25	-0.9	0.280875	0.9	0.25	-0.9	0.586625	-0.9	1.0	-0.145091435701	400.0	-34.2659115155
155	0.25	-0.9	0.280875	0.9	0.25	-0.9	0.586625	0.9	1.0	-0.145038177275	400.0	-34.2256551003
156	0.25	-0.9	0.280875	0.9	0.25	0.9	0.280875	-0.9	1.0	-0.150269229747	400.0	-10026.4052785
157	0.25	-0.9	0.280875	0.9	0.25	0.9	0.280875	0.9	1.0	-0.145213997487	400.0	-3555.13362583
158	0.25	-0.9	0.280875	0.9	0.25	0.9	0.586625	-0.9	1.0	-0.144632276505	400.0	34.2256551003
159	0.25	-0.9	0.280875	0.9	0.25	0.9	0.586625	0.9	1.0	-0.144577659129	400.0	34.2659115155
160	0.25	-0.9	0.586625	0.0	0.125	-0.9	0.280875	-0.9	0.760848599072	-0.404075281458	400.0	-343.948012475
161	0.25	-0.9	0.586625	0.0	0.125	-0.9	0.280875	0.9	0.840894101555	-0.38223202979	400.0	552.855609505
162	0.25	-0.9	0.586625	0.0	0.125	-0.9	0.586625	-0.9	0.407506924584	-0.145238851874	400.0	-35.1243499075
163	0.25	-0.9	0.586625	0.0	0.125	-0.9	0.586625	0.9	0.391374332677	-0.133714811543	400.0	-38.9606090124
164	0.25	-0.9	0.586625	0.0	0.125	0.9	0.280875	-0.9	0.588431576952	-0.275479218981	400.0	-552.855609505
165	0.25	-0.9	0.586625	0.0	0.125	0.9	0.280875	0.9	1.0	-0.700580164764	400.0	343.948012475
166	0.25	-0.9	0.586625	0.0	0.125	0.9	0.586625	-0.9	1.0	-0.883135170713	335.778894472	38.9606090124
167	0.25	-0.9	0.586625	0.0	0.125	0.9	0.586625	0.9	1.0	-0.82985403112	338.492462312	35.1243499075
168	0.25	-0.9	0.586625	0.0	0.25	-0.9	0.280875	-0.9	0.991087135008	-0.607470169669	400.0	5530.12012512
169	0.25	-0.9	0.586625	0.0	0.25	-0.9	0.280875	0.9	0.58906251827	-0.275939158587	400.0	15596.3829912
170	0.25	-0.9	0.586625	0.0	0.25	-0.9	0.586625	-0.9	0.956534132003	-0.566849405112	400.0	-53.3016833743
171	0.25	-0.9	0.586625	0.0	0.25	-0.9	0.586625	0.9	0.953239688345	-0.563633731065	400.0	-53.2390632775
172	0.25	-0.9	0.586625	0.0	0.25	0.9	0.280875	-0.9	1.0	-0.676886581889	400.0	-15596.3829912
173	0.25	-0.9	0.586625	0.0	0.25	0.9	0.280875	0.9	0.978026088065	-0.58962573704	400.0	-5530.12012512
174	0.25	-0.9	0.586625	0.0	0.25	0.9	0.586625	-0.9	0.929154080207	-0.541243500762	400.0	53.2390632775
175	0.25	-0.9	0.586625	0.0	0.25	0.9	0.586625	0.9	0.924908050315	-0.537445277617	400.0	53.3016833743
176	0.25	-0.9	0.586625	0.9	0.125	-0.9	0.280875	-0.9	0.764148204229	-0.406328933407	400.0	-343.779902816
177	0.25	-0.9	0.586625	0.9	0.125	-0.9	0.280875	0.9	0.84508523397	-0.385856321435	400.0	552.585393179
178	0.25	-0.9	0.586625	0.9	0.125	-0.9	0.586625	-0.9	0.407831946955	-0.145534675226	400.0	-35.1071823639
179	0.25	-0.9	0.586625	0.9	0.125	-0.9	0.586625	0.9	0.391633797482	-0.133965051296	400.0	-38.9415664406
180	0.25	-0.9	0.586625	0.9	0.125	0.9	0.280875	-0.9	0.589946228706	-0.276552131247	400.0	-552.585393179
181	0.25	-0.9	0.586625	0.9	0.125	0.9	0.280875	0.9	1.0	-0.699971861457	400.0	343.779902816
182	0.25	-0.9	0.586625	0.9	0.125	0.9	0.586625	-0.9	1.0	-0.879703384965	335.778894472	38.9415664406
183	0.25	-0.9	0.586625	0.9	0.125	0.9	0.586625	0.9	1.0	-0.827054205319	338.492462312	35.1071823639
184	0.25	-0.9	0.586625	0.9	0.25	-0.9	0.280875	-0.9	0.992322463977	-0.608583925018	400.0	5527.41719742
185	0.25	-0.9	0.586625	0.9	0.25	-0.9	0.280875	0.9	0.590431622689	-0.276905608653	400.0	15588.7600292
186	0.25	-0.9	0.586625	0.9	0.25	-0.9	0.586625	-0.9	0.959945523381	-0.569356582362	400.0	-53.2756313911
187	0.25	-0.9	0.586625	0.9	0.25	-0.9	0.586625	0.9	0.956765581327	-0.566214453936	400.0	-53.2130419008
188	0.25	-0.9	0.586625	0.9	0.25	0.9	0.280875	-0.9	1.0	-0.676609018463	400.0	-15588.7600292
189	0.25	-0.9	0.586625	0.9	0.25	0.9	0.280875	0.9	0.980378152491	-0.591455446088	400.0	-5527.41719742
190	0.25	-0.9	0.586625	0.9	0.25	0.9	0.586625	-0.9	0.933221614466	-0.544154700812	400.0	53.2130419008
191	0.25	-0.9	0.586625	0.9	0.25	0.9	0.586625	0.9	0.929034135341	-0.540390220415	400.0	53.2756313911
192	0.25	0.0	0.280875	0.0	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
193	0.25	0.0	0.280875	0.0	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
194	0.25	0.0	0.280875	0.0	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
195	0.25	0.0	0.280875	0.0	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
196	0.25	0.0	0.280875	0.0	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
197	0.25	0.0	0.280875	0.0	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
198	0.25	0.0	0.280875	0.0	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
199	0.25	0.0	0.280875	0.0	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
200	0.25	0.0	0.280875	0.0	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
201	0.25	0.0	0.280875	0.0	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
202	0.25	0.0	0.280875	0.0	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
203	0.25	0.0	0.280875	0.0	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
204	0.25	0.0	0.280875	0.0	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
205	0.25	0.0	0.280875	0.0	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
206	0.25	0.0	0.280875	0.0	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
207	0.25	0.0	0.280875	0.0	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
208	0.25	0.0	0.280875	0.9	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
209	0.25	0.0	0.280875	0.9	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
210	0.25	0.0	0.280875	0.9	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
211	0.25	0.0	0.280875	0.9	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
212	0.25	0.0	0.280875	0.9	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
213	0.25	0.0	0.280875	0.9	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
214	0.25	0.0	0.280875	0.9	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
215	0.25	0.0	0.280875	0.9	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
216	0.25	0.0	0.280875	0.9	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
217	0.25	0.0	0.280875	0.9	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
218	0.25	0.0	0.280875	0.9	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
219	0.25	0.0	0.280875	0.9	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
220	0.25	0.0	0.280875	0.9	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
221	0.25	0.0	0.280875	0.9	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
222	0.25	0.0	0.280875	0.9	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
223	0.25	0.0	0.280875	0.9	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
224	0.25	0.0	0.586625	0.0	0.125	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
225	0.25	0.0	0.586625	0.0	0.125	-0.9	0.280875	0.9	0.0	0	200.0	0.0
226	0.25	0.0	0.586625	0.0	0.125	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
227	0.25	0.0	0.586625	0.0	0.125	-0.9	0.586625	0.9	0.0	0	200.0	0.0
228	0.25	0.0	0.586625	0.0	0.125	0.9	0.280875	-0.9	0.0	0	200.0	0.0
229	0.25	0.0	0.586625	0.0	0.125	0.9	0.280875	0.9	0.0	0	200.0	0.0
230	0.25	0.0	0.586625	0.0	0.125	0.9	0.586625	-0.9	0.0	0	200.0	0.0
231	0.25	0.0	0.586625	0.0	0.125	0.9	0.586625	0.9	0.0	0	200.0	0.0
232	0.25	0.0	0.586625	0.0	0.25	-0.9	0.280875	-0.9	0.0	0	200.0	0.0
233	0.25	0.0	0.586625	0.0	0.25	-0.9	0.280875	0.9	0.0	0	200.0	0.0
234	0.25	0.0	0.586625	0.0	0.25	-0.9	0.586625	-0.9	0.0	0	200.0	0.0
235	0.25	0.0	0.586625	0.0	0.25	-0.9	0.586625	0.9	0.0	0	200.0	0.0
236	0.25	0.0	0.586625	0.0	0.25	0.9	0.280875	-0.9	0.0	0	200.0	0.0
237	0.25	0.0	0.586625	0.0	0.25	0.9	0.280875	0.9	0.0	0	200.0	0.0
238	0.25	0.0	0.586625	0.0	0.25	0.9	0.586625	-0.9	0.0	0	200.0	0.0
239	0.25	0.0	0.586625	0.0	0.25	0.9	0.586625	0.9	0.0	0	200.0	0.0
