xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.63170	 -0.63530	 0.77802	 0.25651	 0.61446	 0.72922	 0.85341	 -0.87604	 374.73669	 0.00000 	 0.00000
	 0.67273	 -0.62807	 0.78403	 0.78522	 0.61752	 -0.86406	 0.91315	 -0.33705	 311.31414	 -0.00000 	 12.44998
	 0.73578	 -0.45092	 0.95121	 0.18522	 0.69443	 -0.08075	 0.78902	 -0.81605	 386.36824	 -0.28721 	 50.50519
	 0.43176	 -0.88304	 0.88329	 0.05781	 0.40029	 0.02283	 0.98754	 -0.18946	 402.87058	 0.00000 	 0.00000
	 0.67436	 -0.20455	 0.80685	 0.01335	 0.52350	 0.79095	 0.81530	 -0.64783	 369.42848	 -0.01939 	 25.83534
	 0.51075	 -0.86017	 0.90214	 0.57784	 0.50731	 -0.51332	 0.96228	 -0.42500	 313.07359	 -0.00000 	 41.79511
	 0.60320	 -0.79879	 0.88468	 0.02869	 0.73631	 -0.00672	 0.94053	 -0.47721	 342.60535	 0.00000 	 0.00000
	 0.44120	 -0.12118	 0.87952	 0.18895	 0.55051	 0.37831	 0.86184	 -0.36342	 350.47806	 0.00000 	 0.00000
	 0.56892	 -0.43311	 0.78869	 0.28205	 0.43548	 -0.24933	 0.83891	 -0.80347	 316.16688	 0.00000 	 24.48153
	 0.45511	 -0.72316	 0.76041	 0.47036	 0.52330	 -0.24746	 0.85197	 -0.67998	 394.98670	 0.00993 	 26.81610
	 0.44434	 -0.34932	 0.84208	 0.86645	 0.59948	 0.88060	 0.81976	 -0.62572	 379.38507	 0.00914 	 31.95613
	 0.45930	 -0.46103	 0.94386	 0.49926	 0.49962	 0.35434	 0.89609	 -0.58441	 401.41460	 0.00995 	 80.27110
	 0.44434	 -0.46103	 0.94386	 0.19496	 0.49962	 0.33840	 0.86537	 -0.60560	 392.98943	 -0.07616 	 117.51198
	 0.43277	 -0.44903	 0.88307	 0.49392	 0.39174	 -0.07424	 0.97572	 -0.81605	 374.99716	 -0.01112 	 91.95663
	 0.54054	 -0.53639	 0.88692	 0.52989	 0.41698	 0.29180	 0.79940	 -0.49383	 400.44324	 -0.31493 	 57.94355
	 0.63425	 -0.67487	 0.91964	 0.79960	 0.59123	 0.22214	 0.90750	 -0.57814	 304.62687	 -0.00000 	 26.81668
	 0.62695	 -0.35461	 0.80357	 0.03178	 0.39756	 -0.60087	 0.77211	 -0.73717	 326.49642	 0.00000 	 22.34406
	 0.56786	 -0.00292	 0.82824	 0.02944	 0.57050	 -0.00116	 0.94276	 -0.27880	 341.24077	 0.00000 	 0.00000
	 0.64773	 -0.48027	 0.77146	 0.22462	 0.63824	 -0.51386	 0.88693	 -0.86567	 358.41129	 0.00976 	 19.31924
	 0.51075	 -0.20290	 0.90214	 0.57784	 0.50682	 -0.64078	 0.81528	 -0.42427	 313.07359	 0.00000 	 0.00000
	 0.54088	 -0.27222	 0.86891	 0.52989	 0.41710	 0.28858	 0.89397	 -0.49383	 402.04700	 0.00000 	 0.00000
	 0.51122	 -0.52956	 0.90290	 0.47525	 0.43089	 0.15010	 0.82762	 -0.33290	 322.22186	 0.00000 	 47.01005
	 0.64450	 -0.36215	 0.80357	 0.02946	 0.40405	 -0.60796	 0.97204	 -0.73717	 350.32587	 -0.01123 	 26.07525
	 0.56705	 -0.85841	 0.79381	 0.53200	 0.43245	 0.85725	 0.77010	 -0.41122	 359.20510	 0.00958 	 29.62546
	 0.72763	 -0.68356	 0.81992	 0.58832	 0.42862	 -0.18756	 0.82200	 -0.44818	 412.03824	 -0.31814 	 29.30772
	 0.46105	 -0.39751	 0.95458	 0.82267	 0.61868	 -0.82170	 0.84681	 -0.78471	 376.10029	 -0.12227 	 62.26011
	 0.60705	 -0.07916	 0.78957	 0.27482	 0.49500	 0.21673	 0.85193	 -0.45095	 322.90637	 0.00000 	 22.05108
	 0.67454	 -0.65744	 0.80037	 0.65682	 0.61623	 0.73129	 0.85080	 -0.29858	 371.25977	 0.00000 	 0.00000
	 0.70833	 -0.88566	 0.95143	 0.02100	 0.66826	 0.02182	 0.90710	 -0.19310	 311.25608	 0.00000 	 0.00000
	 0.73530	 -0.80055	 0.99045	 0.16897	 0.66549	 0.01446	 0.80175	 -0.85757	 400.76850	 -0.45524 	 68.97905
	 0.56855	 -0.69523	 0.86817	 0.59462	 0.65236	 -0.33846	 0.79310	 -0.48865	 391.56862	 -0.34550 	 52.30328
	 0.45789	 -0.72060	 0.93727	 0.09409	 0.43172	 -0.75480	 0.96873	 -0.16646	 308.29112	 -0.00000 	 47.45261
	 0.60320	 -0.79879	 0.88477	 0.04034	 0.73812	 -0.01157	 0.94053	 -0.37261	 342.60535	 0.00000 	 0.00000
	 0.47244	 -0.41387	 0.90626	 0.17073	 0.38206	 0.20564	 0.76401	 -0.05517	 332.68786	 -0.00003 	 58.78722
	 0.45737	 -0.39235	 0.82141	 0.82483	 0.61884	 -0.82994	 0.84681	 -0.77890	 376.10029	 0.00939 	 34.62295
