76	0.16
ID: 69
-0.42	0.32	0.07
-0.11	-0.05	0.10
0.13	0.21	0.13
0.41	0.32	0.12
0.41	0.26	0.12
0.34	0.59	0.08
0.40	0.25	0.08
0.51	-0.09	0.04
0.51	0.03	0.11
0.47	-0.31	0.07
0.57	0.02	0.10
0.60	-0.25	0.10
0.64	-0.45	0.06
0.60	-0.23	0.09
0.63	-0.18	0.08
0.67	-0.59	0.01
0.73	-1.07	-0.06
0.84	-1.51	-0.07
0.94	-1.95	-0.10
1.01	-2.04	-0.11
1.01	-1.93	-0.15
1.00	-1.88	-0.12
1.00	-2.29	-0.12
1.03	-2.03	-0.16
1.10	-2.26	-0.13
1.07	-2.32	-0.13
1.13	-2.45	-0.13
1.20	-2.54	-0.21
1.27	-2.57	-0.21
1.30	-2.66	-0.18
1.37	-2.69	-0.22
1.44	-2.71	-0.19
1.44	-2.84	-0.23
1.47	-2.86	-0.19
1.50	-2.95	-0.20
1.53	-3.05	-0.24
1.57	-3.07	-0.21
1.60	-3.23	-0.28
1.63	-3.22	-0.32
1.67	-3.25	-0.36
1.63	-3.24	-0.32
1.66	-3.30	-0.33
1.66	-3.39	-0.30
1.73	-3.41	-0.30
1.76	-3.44	-0.34
1.83	-3.56	-0.34
1.83	-3.66	-0.35
1.89	-3.82	-0.35
1.96	-3.98	-0.39
1.96	-4.08	-0.36
1.96	-4.21	-0.40
2.03	-4.26	-0.36
2.16	-4.36	-0.30
3.00	-4.21	-0.34
2.68	-4.20	-0.34
2.51	-4.29	-0.34
2.61	-4.35	-0.31
2.95	-4.48	-0.32
3.41	-4.53	-0.25
3.61	-4.63	-0.29
3.58	-4.65	-0.26
3.54	-4.78	-0.26
3.64	-4.80	-0.27
3.67	-4.83	-0.27
3.57	-4.89	-0.20
3.60	-4.91	-0.21
3.77	-5.04	-0.21
3.81	-5.10	-0.25
3.73	-5.12	-0.22
3.80	-5.18	-0.22
3.77	-5.27	-0.23
3.76	-5.44	-0.23
3.80	-5.49	-0.23
3.90	-5.55	-0.24
3.90	-5.61	-0.24
3.90	-5.74	-0.24
4.10	-5.83	-0.25
4.27	-5.86	-0.25
4.34	-5.91	-0.25
4.31	-5.97	-0.29
4.27	-6.07	-0.26
4.16	-6.09	-0.27
4.13	-6.18	-0.23
4.02	-6.24	-0.17
3.95	-6.37	-0.10
3.81	-6.32	-0.18
3.67	-6.49	-0.18
3.66	-6.44	-0.18
3.59	-6.50	-0.22
3.90	-6.52	-0.23
4.18	-6.62	-0.19
4.39	-6.82	-0.16
4.70	-6.87	-0.17
4.94	-6.90	-0.17
5.04	-6.99	-0.21
4.97	-7.02	-0.18
4.90	-6.86	-0.22
4.72	-6.71	-0.22
4.69	-6.53	-0.22
4.83	-6.83	-0.30
4.93	-7.38	-0.30
5.17	-7.78	-0.34
5.38	-8.54	-0.34
5.03	-8.60	-0.42
4.99	-9.00	-0.42
5.23	-9.13	-0.39
5.33	-8.81	-0.36
5.33	-9.35	-0.46
5.30	-9.62	-0.47
5.26	-9.75	-0.47
5.26	-10.05	-0.44
5.36	-10.42	-0.44
5.39	-10.76	-0.41
5.46	-10.71	-0.38
5.53	-10.49	-0.32
5.63	-10.55	-0.36
5.73	-10.78	-0.36
5.80	-10.77	-0.36
5.94	-10.83	-0.37
6.08	-10.99	-0.40
6.04	-10.88	-0.41
6.04	-10.97	-0.41
6.11	-11.21	-0.42
6.31	-11.12	-0.38
6.41	-10.97	-0.32
6.38	-11.21	-0.32
6.41	-11.47	-0.36
6.55	-11.29	-0.36
6.65	-11.38	-0.33
6.65	-11.27	-0.34
6.72	-11.47	-0.31
6.75	-11.35	-0.27
6.71	-11.62	-0.21
6.64	-11.82	-0.28
6.61	-11.63	-0.25
6.57	-11.41	-0.22
6.32	-11.54	-0.19
6.08	-12.01	-0.26
6.15	-12.25	-0.30
6.39	-12.03	-0.27
6.42	-12.09	-0.27
6.38	-12.60	-0.28
6.63	-12.59	-0.31
6.97	-12.16	-0.28
7.25	-12.08	-0.25
6.97	-11.86	-0.26
6.62	-12.16	-0.29
6.65	-12.50	-0.26
6.82	-12.90	-0.27
6.99	-13.45	-0.27
7.03	-13.61	-0.27
6.99	-13.46	-0.17
7.02	-13.07	-0.18
7.06	-12.78	-0.18
7.16	-12.49	-0.12
7.30	-12.27	-0.05
7.26	-11.91	-0.02
7.29	-11.83	0.05
7.43	-12.13	0.08
7.50	-11.91	0.04
7.53	-12.18	0.04
7.56	-12.31	-0.04
7.70	-12.57	-0.08
7.80	-12.63	-0.08
7.84	-12.83	-0.08
7.90	-13.17	-0.09
8.04	-13.05	-0.05
8.28	-12.87	-0.06
8.46	-12.72	-0.10
8.52	-13.02	-0.03
8.52	-12.94	-0.07
8.59	-13.31	-0.11
8.69	-13.16	-0.15
8.83	-12.98	-0.15
8.86	-12.90	-0.19
8.79	-12.71	-0.16
8.58	-12.91	-0.16
8.47	-12.97	-0.20
8.54	-12.64	-0.17
8.68	-12.46	-0.21
8.75	-12.86	-0.25
8.75	-12.68	-0.21
8.78	-12.56	-0.22
8.95	-13.01	-0.26
9.09	-12.85	-0.23
9.26	-13.16	-0.19
9.33	-13.25	-0.20
9.29	-13.52	-0.17
9.39	-13.96	-0.17
9.36	-13.95	-0.21
9.39	-13.73	-0.18
9.39	-14.00	-0.25
9.46	-14.33	-0.22
9.49	-14.15	-0.19
9.49	-14.35	-0.16
9.52	-14.30	-0.16
9.59	-14.57	-0.16
9.69	-14.38	-0.13
9.83	-14.41	-0.21
9.83	-14.81	-0.21
9.82	-15.32	-0.21
10.06	-15.62	-0.22
10.06	-15.51	-0.15
9.96	-15.25	-0.16
10.69	-15.24	-0.12
11.59	-15.44	-0.16
11.41	-15.43	-0.13
11.03	-15.25	-0.10
10.96	-15.13	-0.10
11.06	-14.84	-0.14
11.58	-15.11	-0.18
11.79	-15.13	-0.12
11.61	-15.05	-0.08
11.47	-15.39	-0.09
11.36	-15.45	-0.06
11.43	-15.33	-0.06
11.50	-15.60	-0.06
11.71	-16.01	-0.03
11.88	-16.31	0.03
11.91	-16.64	-0.04
11.94	-16.98	-0.04
11.91	-16.94	-0.05
12.01	-16.92	-0.05
12.08	-17.16	-0.05
12.08	-17.15	-0.02
12.14	-16.93	-0.03
12.18	-16.81	-0.03
12.24	-16.66	-0.03
12.35	-17.03	-0.07
12.38	-16.74	-0.11
12.45	-16.59	-0.15
12.48	-16.37	-0.12
12.48	-16.01	-0.09
12.51	-15.79	-0.13
12.51	-16.10	-0.16
12.58	-15.98	-0.24
12.64	-15.76	-0.24
12.71	-15.72	-0.21
12.78	-16.02	-0.21
12.85	-16.39	-0.25
12.88	-16.73	-0.26
12.91	-16.51	-0.19
12.91	-16.81	-0.16
12.94	-16.52	-0.16
12.98	-16.89	-0.17
13.08	-16.78	-0.21
13.15	-16.87	-0.21
13.22	-16.65	-0.25
13.32	-16.33	-0.32
13.39	-16.18	-0.39
13.42	-16.44	-0.40
13.42	-16.68	-0.44
13.48	-16.80	-0.40
13.52	-16.90	-0.44
13.59	-17.20	-0.48
13.62	-17.36	-0.52
13.69	-17.35	-0.52
13.65	-17.58	-0.53
13.65	-17.50	-0.53
13.68	-17.39	-0.50
13.68	-17.17	-0.47
13.71	-16.88	-0.44
13.81	-17.04	-0.48
13.88	-17.41	-0.48
13.95	-17.12	-0.45
14.02	-17.39	-0.49
14.15	-17.59	-0.53
14.26	-17.40	-0.49
14.29	-17.18	-0.46
14.29	-17.03	-0.40
14.36	-16.95	-0.40
14.39	-16.98	-0.37
