Time,Extension,Load,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"11.60000","0.86869","3.96747","0.00091","34.79956"
"11.70000","0.87160","4.00965","0.00091","35.16956"
"11.80000","0.87403","4.04404","0.00092","35.47115"
"11.90000","0.87627","4.07390","0.00093","35.73305"
"12.00000","0.87915","4.10979","0.00094","36.04790"
"12.10000","0.88166","4.14668","0.00095","36.37146"
"12.20000","0.88370","4.17658","0.00095","36.63372"
"12.30000","0.88647","4.21709","0.00096","36.98901"
"12.40000","0.88931","4.25630","0.00097","37.33292"
"12.50000","0.89127","4.27794","0.00098","37.52278"
"12.60000","0.89373","4.30778","0.00098","37.78451"
"12.70000","0.89673","4.35057","0.00099","38.15979"
"12.80000","0.89887","4.37632","0.00100","38.38571"
"12.90000","0.90117","4.41430","0.00101","38.71885"
"13.00000","0.90417","4.45721","0.00102","39.09520"
"13.10000","0.90649","4.48352","0.00102","39.32600"
"13.20000","0.90854","4.51437","0.00103","39.59657"
"13.30000","0.91141","4.55112","0.00104","39.91890"
"13.40000","0.91411","4.58924","0.00105","40.25321"
"13.50000","0.91609","4.61520","0.00105","40.48099"
"13.60000","0.91879","4.64993","0.00106","40.78554"
"13.70000","0.92180","4.69254","0.00107","41.15931"
"13.80000","0.92382","4.71593","0.00108","41.36444"
"13.90000","0.92625","4.75635","0.00109","41.71899"
"14.00000","0.92938","4.79451","0.00110","42.05374"
"14.10000","0.93138","4.82209","0.00110","42.29561"
"14.20000","0.93360","4.84918","0.00111","42.53321"
"14.30000","0.93673","4.89412","0.00112","42.92741"
"14.40000","0.93906","4.92688","0.00113","43.21475"
"14.50000","0.94116","4.95493","0.00113","43.46080"
"14.60000","0.94394","4.99308","0.00114","43.79546"
"14.70000","0.94663","5.02815","0.00115","44.10299"
"14.80000","0.94867","5.05627","0.00116","44.34970"
"14.90000","0.95127","5.09174","0.00116","44.66076"
"15.00000","0.95415","5.13256","0.00117","45.01884"
"15.10000","0.95622","5.16033","0.00118","45.26245"
"15.20000","0.95867","5.19130","0.00119","45.53406"
"15.30000","0.96160","5.23188","0.00120","45.89003"
"15.40000","0.96387","5.26497","0.00120","46.18022"
"15.50000","0.96617","5.30009","0.00121","46.48829"
"15.60000","0.96910","5.33893","0.00122","46.82898"
"15.70000","0.97157","5.37126","0.00123","47.11249"
"15.80000","0.97379","5.40039","0.00123","47.36807"
"15.90000","0.97656","5.43773","0.00124","47.69557"
"16.00000","0.97911","5.47860","0.00125","48.05400"
"16.10000","0.98130","5.50985","0.00126","48.32809"
"16.20000","0.98398","5.54482","0.00127","48.63490"
"16.30000","0.98670","5.57998","0.00128","48.94329"
"16.40000","0.98885","5.61110","0.00128","49.21626"
"16.50000","0.99137","5.64278","0.00129","49.49410"
"16.60000","0.99418","5.68345","0.00130","49.85081"
"16.70000","0.99636","5.71394","0.00131","50.11821"
"16.80000","0.99880","5.74538","0.00131","50.39399"
"16.90000","1.00161","5.78115","0.00132","50.70779"
"17.00000","1.00382","5.81463","0.00133","51.00143"
"17.10000","1.00620","5.84656","0.00134","51.28146"
"17.20000","1.00908","5.88754","0.00135","51.64092"
"17.30000","1.01140","5.91801","0.00135","51.90816"
"17.40000","1.01361","5.94909","0.00136","52.18077"
"17.50000","1.01652","5.98956","0.00137","52.53578"
"17.60000","1.01916","6.02584","0.00138","52.85395"
"17.70000","1.02126","6.05028","0.00138","53.06840"
"17.80000","1.02403","6.08600","0.00139","53.38168"
"17.90000","1.02667","6.11930","0.00140","53.67376"
"18.00000","1.02873","6.15004","0.00141","53.94334"
"18.10000","1.03139","6.18580","0.00142","54.25699"
"18.20000","1.03426","6.22289","0.00142","54.58235"
"18.30000","1.03629","6.25016","0.00143","54.82156"
"18.40000","1.03866","6.28377","0.00144","55.11633"
"18.50000","1.04163","6.32019","0.00145","55.43582"
"18.60000","1.04387","6.35025","0.00145","55.69945"
"18.70000","1.04615","6.38726","0.00146","56.02412"
"18.80000","1.04907","6.42273","0.00147","56.33517"
"18.90000","1.05144","6.45937","0.00148","56.65662"
"19.00000","1.05354","6.48941","0.00148","56.92005"
"19.10000","1.05645","6.52673","0.00149","57.24739"
"19.20000","1.05913","6.56189","0.00150","57.55584"
"19.30000","1.06105","6.58403","0.00151","57.74996"
"19.40000","1.06372","6.62434","0.00152","58.10354"
"19.50000","1.06687","6.66632","0.00153","58.47178"
"19.60000","1.06879","6.69201","0.00153","58.69712"
"19.70000","1.07123","6.72703","0.00154","59.00426"
"19.80000","1.07442","6.76462","0.00155","59.33397"
"19.90000","1.07644","6.79210","0.00156","59.57501"
"20.00000","1.07865","6.82550","0.00156","59.86799"
"20.10000","1.08186","6.87005","0.00157","60.25877"
"20.20000","1.08413","6.89684","0.00158","60.49373"
"20.30000","1.08604","6.92363","0.00159","60.72872"
"20.40000","1.08901","6.96495","0.00160","61.09110"
"20.50000","1.09180","7.00390","0.00160","61.43274"
"20.60000","1.09367","7.02735","0.00161","61.63846"
"20.70000","1.09627","7.06480","0.00162","61.96697"
"20.80000","1.09927","7.10135","0.00163","62.28752"
"20.90000","1.10125","7.13170","0.00163","62.55375"
"21.00000","1.10361","7.16186","0.00164","62.81825"
"21.10000","1.10669","7.20780","0.00165","63.22119"
"21.20000","1.10883","7.23197","0.00166","63.43318"
"21.30000","1.11103","7.26289","0.00166","63.70439"
"21.40000","1.11415","7.30259","0.00167","64.05264"
"21.50000","1.11662","7.33748","0.00168","64.35865"
"21.60000","1.11868","7.36375","0.00169","64.58909"
"21.70000","1.12149","7.40225","0.00170","64.92678"
"21.80000","1.12425","7.44616","0.00171","65.31197"
"21.90000","1.12626","7.46618","0.00171","65.48754"
"22.00000","1.12888","7.50444","0.00172","65.82313"
"22.10000","1.13171","7.53707","0.00173","66.10935"
