Test : Start of hold value,"200.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"9.50000","1.24535","0.88844","29.67139","0.00077","7.79275"
"9.60000","1.24629","0.90659","29.67139","0.00078","7.95188"
"9.70000","1.24712","0.94262","29.67139","0.00079","8.26795"
"9.80000","1.24794","0.95975","29.67139","0.00080","8.41819"
"9.90000","1.24871","0.98575","29.67224","0.00081","8.64620"
"10.00000","1.24949","1.01049","29.67224","0.00081","8.86320"
"10.10000","1.25028","1.01941","29.67224","0.00082","8.94148"
"10.20000","1.25108","1.04868","29.67224","0.00083","9.19824"
"10.30000","1.25190","1.06575","29.67224","0.00084","9.34791"
"10.40000","1.25276","1.07314","29.67224","0.00085","9.41272"
"10.50000","1.25369","1.07780","29.69132","0.00085","9.45365"
"10.60000","1.25460","1.08554","29.69132","0.00086","9.52154"
"10.70000","1.25546","1.09379","29.69132","0.00087","9.59385"
"10.80000","1.25626","1.11083","29.69132","0.00088","9.74337"
"10.90000","1.25705","1.11306","29.69132","0.00089","9.76292"
"11.00000","1.25783","1.13179","29.69132","0.00090","9.92719"
"11.10000","1.25860","1.13732","29.71966","0.00090","9.97565"
"11.20000","1.25940","1.17050","29.71966","0.00091","10.26671"
"11.30000","1.26023","1.15940","29.71966","0.00092","10.16937"
"11.40000","1.26113","1.10699","29.71966","0.00093","9.70967"
"11.50000","1.26205","1.06053","29.71966","0.00094","9.30211"
"11.60000","1.26297","1.00498","29.71966","0.00095","8.81493"
"11.70000","1.26377","0.95449","29.77159","0.00095","8.37203"
"11.80000","1.26457","0.92112","29.77159","0.00096","8.07933"
"11.90000","1.26537","0.90489","29.77159","0.00097","7.93701"
"12.00000","1.26614","0.89838","29.77159","0.00098","7.87987"
"12.10000","1.26693","0.89604","29.77159","0.00099","7.85933"
"12.20000","1.26775","0.90033","29.77159","0.00099","7.89700"
"12.30000","1.26860","0.90129","29.79213","0.00100","7.90545"
"12.40000","1.26944","0.88811","29.79213","0.00101","7.78982"
"12.50000","1.27033","0.86658","29.79213","0.00102","7.60092"
"12.60000","1.27126","0.82750","29.79213","0.00103","7.25823"
"12.70000","1.27208","0.82284","29.79213","0.00104","7.21734"
"12.80000","1.27286","0.83261","29.78111","0.00104","7.30304"
"12.90000","1.27366","0.84728","29.78111","0.00105","7.43167"
"13.00000","1.27445","0.87653","29.78111","0.00106","7.68827"
"13.10000","1.27525","0.90725","29.78111","0.00107","7.95766"
"13.20000","1.27603","0.95516","29.78111","0.00108","8.37795"
"13.30000","1.27691","0.99872","29.78111","0.00108","8.76000"
"13.40000","1.27778","1.03693","29.71683","0.00109","9.09515"
"13.50000","1.27867","1.07093","29.71683","0.00110","9.39340"
"13.60000","1.27959","1.10496","29.71683","0.00111","9.69183"
"13.70000","1.28040","1.14122","29.71683","0.00112","10.00988"
"13.80000","1.28117","1.15962","29.71683","0.00113","10.17131"
"13.90000","1.28196","1.17067","29.71683","0.00113","10.26821"
"14.00000","1.28276","1.19089","29.67119","0.00114","10.44560"
"14.10000","1.28357","1.20900","29.67119","0.00115","10.60443"
"14.20000","1.28438","1.23645","29.67119","0.00116","10.84516"
"14.30000","1.28526","1.26663","29.67119","0.00117","11.10986"
"14.40000","1.28611","1.30741","29.67119","0.00118","11.46760"
"14.50000","1.28698","1.35728","29.67119","0.00118","11.90505"
"14.60000","1.28791","1.39904","29.64080","0.00119","12.27126"
"14.70000","1.28874","1.42391","29.64080","0.00120","12.48939"
"14.80000","1.28950","1.44994","29.64080","0.00121","12.71771"
"14.90000","1.29029","1.46696","29.64080","0.00122","12.86703"
"15.00000","1.29110","1.48197","29.64080","0.00122","12.99867"
