2016-07-18 18:54:20	Calibrating
2016-07-18 18:54:21	1000.00  13.85 
2016-07-18 18:54:22	1000.00  9.65 
2016-07-18 18:54:23	1000.00  473.65 
2016-07-18 18:54:24	1000.00  486.65 
2016-07-18 18:54:25	1000.00  487.25 
2016-07-18 18:54:26	1000.00  487.35 
2016-07-18 18:54:27	1000.00  494.85 
2016-07-18 18:54:28	1000.00  495.55 
2016-07-18 18:54:30	1000.00  499.65 
2016-07-18 18:54:31	1000.00  494.85 
2016-07-18 18:54:32	1000.00  499.75 
2016-07-18 18:54:33	1000.00  503.65 
2016-07-18 18:54:34	1000.00  502.45 
2016-07-18 18:54:35	1000.00  499.05 
2016-07-18 18:54:36	1000.00  501.65 
2016-07-18 18:54:37	1000.00  494.15 
2016-07-18 18:54:38	1000.00  497.65 
2016-07-18 18:54:39	1000.00  501.85 
2016-07-18 18:54:40	1000.00  498.35 
2016-07-18 18:54:41	1000.00  497.65 
2016-07-18 18:54:42	1000.00  500.95 
2016-07-18 18:54:43	1000.00  496.95 
2016-07-18 18:54:45	1000.00  492.05 
2016-07-18 18:54:46	1000.00  502.45 
2016-07-18 18:54:47	1000.00  505.45 
2016-07-18 18:54:48	1000.00  501.15 
2016-07-18 18:54:49	1000.00  500.95 
2016-07-18 18:54:50	1000.00  504.05 
2016-07-18 18:54:51	1000.00  501.75 
2016-07-18 18:54:52	1000.00  501.15 
2016-07-18 18:54:53	1100.00  494.15 
2016-07-18 18:54:54	1100.00  545.05 
2016-07-18 18:54:55	1100.00  545.05 
2016-07-18 18:54:56	1100.00  550.25 
2016-07-18 18:54:57	1100.00  554.55 
2016-07-18 18:54:58	1100.00  561.55 
2016-07-18 18:55:00	1100.00  551.45 
2016-07-18 18:55:01	1100.00  560.85 
2016-07-18 18:55:02	1100.00  550.85 
2016-07-18 18:55:03	1100.00  553.85 
2016-07-18 18:55:04	1100.00  547.85 
2016-07-18 18:55:05	1100.00  543.65 
2016-07-18 18:55:06	1100.00  553.95 
2016-07-18 18:55:07	1100.00  551.45 
2016-07-18 18:55:08	1100.00  546.45 
2016-07-18 18:55:09	1100.00  542.25 
2016-07-18 18:55:10	1100.00  540.85 
2016-07-18 18:55:11	1100.00  558.05 
2016-07-18 18:55:12	1100.00  553.85 
2016-07-18 18:55:13	1100.00  629.65 
2016-07-18 18:55:15	1100.00  649.25 
2016-07-18 18:55:16	1100.00  659.85 
2016-07-18 18:55:17	1100.00  628.25 
