Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:14:37	368	32,467	29,3923797607422
15/07/2016	20:14:37	493	32,592	29,3972835540771
15/07/2016	20:14:37	652	32,751	29,3972835540771
15/07/2016	20:14:37	804	32,903	29,3923797607422
15/07/2016	20:14:38	484	33,583	29,4659080505371
15/07/2016	20:14:38	637	33,736	29,4217967987061
15/07/2016	20:14:39	049	34,148	29,3923797607422
15/07/2016	20:14:39	472	34,571	29,3482418060303
15/07/2016	20:14:39	612	34,711	29,3629550933838
15/07/2016	20:14:40	031	35,13	29,3482418060303
15/07/2016	20:14:40	380	35,479	29,3629550933838
15/07/2016	20:14:40	519	35,618	29,3727645874023
15/07/2016	20:14:40	735	35,834	29,4316005706787
15/07/2016	20:14:40	858	35,957	29,3776683807373
15/07/2016	20:14:41	293	36,392	29,3286190032959
15/07/2016	20:14:41	457	36,556	29,3727645874023
15/07/2016	20:14:41	851	36,95	29,4070892333984
15/07/2016	20:14:41	950	37,049	29,4070892333984
15/07/2016	20:14:42	421	37,52	29,3874759674072
15/07/2016	20:14:42	734	37,833	29,4659080505371
15/07/2016	20:14:42	826	37,925	29,4512062072754
15/07/2016	20:14:42	989	38,088	29,4168949127197
15/07/2016	20:14:43	412	38,511	29,4659080505371
15/07/2016	20:14:43	529	38,628	29,5589733123779
15/07/2016	20:14:43	819	38,918	29,4463043212891
15/07/2016	20:14:43	988	39,087	29,4855060577393
15/07/2016	20:14:44	559	39,658	29,5148983001709
15/07/2016	20:14:44	815	39,914	29,5442848205566
15/07/2016	20:14:44	999	40,098	29,5002040863037
15/07/2016	20:14:45	386	40,485	29,6128196716309
15/07/2016	20:14:45	609	40,708	29,5638694763184
15/07/2016	20:14:46	038	41,137	29,774206161499
15/07/2016	20:14:46	176	41,275	29,5883464813232
15/07/2016	20:14:46	580	41,679	29,5834522247314
15/07/2016	20:14:46	893	41,992	29,6128196716309
15/07/2016	20:14:47	066	42,165	29,5883464813232
15/07/2016	20:14:47	378	42,477	29,5736618041992
15/07/2016	20:14:47	718	42,817	29,524694442749
15/07/2016	20:14:48	002	43,101	29,524694442749
15/07/2016	20:14:48	442	43,541	29,495304107666
15/07/2016	20:14:48	793	43,892	29,490406036377
15/07/2016	20:14:48	950	44,049	29,4414024353027
15/07/2016	20:14:49	126	44,225	29,495304107666
15/07/2016	20:14:49	545	44,644	29,495304107666
15/07/2016	20:14:49	860	44,959	29,5540771484375
15/07/2016	20:14:50	192	45,291	29,4806060791016
15/07/2016	20:14:50	353	45,452	29,6226062774658
15/07/2016	20:14:50	657	45,756	29,4659080505371
15/07/2016	20:14:50	805	45,904	29,4806060791016
15/07/2016	20:14:51	135	46,234	29,4512062072754
15/07/2016	20:14:51	460	46,559	29,4659080505371
15/07/2016	20:14:51	746	46,845	29,5295925140381
15/07/2016	20:14:52	093	47,192	29,3923797607422
15/07/2016	20:14:52	303	47,402	29,490406036377
15/07/2016	20:14:52	427	47,526	29,436502456665
15/07/2016	20:14:52	851	47,95	29,4806060791016
15/07/2016	20:14:53	076	48,175	29,4561061859131
15/07/2016	20:14:53	495	48,594	29,5148983001709
15/07/2016	20:14:53	821	48,92	29,4708080291748
15/07/2016	20:14:53	937	49,036	29,4512062072754
15/07/2016	20:14:54	411	49,51	29,6813144683838
15/07/2016	20:14:54	645	49,744	29,5002040863037
15/07/2016	20:14:54	974	50,073	29,5393867492676
15/07/2016	20:14:55	174	50,273	29,524694442749
15/07/2016	20:14:55	525	50,624	29,5442848205566
15/07/2016	20:14:55	892	50,991	29,578556060791
15/07/2016	20:14:56	044	51,143	29,5344905853271
15/07/2016	20:14:56	344	51,443	29,5295925140381
15/07/2016	20:14:56	509	51,608	29,5589733123779
15/07/2016	20:14:56	957	52,056	29,5638694763184
15/07/2016	20:14:57	072	52,171	29,6421794891357
15/07/2016	20:14:57	474	52,573	29,6617488861084
15/07/2016	20:14:57	913	53,012	29,5687656402588
15/07/2016	20:14:58	076	53,175	29,6128196716309
15/07/2016	20:14:58	217	53,316	29,6715316772461
15/07/2016	20:14:58	759	53,858	29,6275005340576
15/07/2016	20:14:58	913	54,012	29,6715316772461
