Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	19:46:06	035	0	29,2942695617676
15/07/2016	19:46:06	290	0,255	29,2844543457031
15/07/2016	19:46:06	419	0,384	29,3678607940674
15/07/2016	19:46:06	791	0,756	29,27463722229
15/07/2016	19:46:07	109	1,074	29,3237113952637
15/07/2016	19:46:07	352	1,317	29,304084777832
15/07/2016	19:46:08	130	2,095	29,3482418060303
15/07/2016	19:46:08	266	2,231	29,3188056945801
15/07/2016	19:46:08	647	2,612	29,2942695617676
15/07/2016	19:46:08	761	2,726	29,3335247039795
15/07/2016	19:46:09	178	3,143	29,3335247039795
15/07/2016	19:46:09	470	3,435	29,2893619537354
15/07/2016	19:46:09	630	3,595	29,27463722229
15/07/2016	19:46:10	001	3,966	29,264820098877
15/07/2016	19:46:10	155	4,12	29,27463722229
15/07/2016	19:46:10	442	4,407	29,2795467376709
15/07/2016	19:46:10	727	4,692	29,3629550933838
15/07/2016	19:46:10	880	4,845	29,2599124908447
15/07/2016	19:46:11	188	5,153	29,2108097076416
15/07/2016	19:46:11	570	5,535	29,2844543457031
15/07/2016	19:46:11	631	5,596	29,2255439758301
15/07/2016	19:46:12	010	5,975	29,2991771697998
15/07/2016	19:46:12	230	6,195	29,2550029754639
15/07/2016	19:46:12	662	6,627	29,2893619537354
15/07/2016	19:46:12	764	6,729	29,156774520874
15/07/2016	19:46:12	961	6,926	29,1666011810303
15/07/2016	19:46:13	194	7,159	29,1666011810303
15/07/2016	19:46:13	360	7,325	29,2108097076416
15/07/2016	19:46:13	793	7,758	29,1764259338379
15/07/2016	19:46:14	111	8,076	29,2058982849121
15/07/2016	19:46:14	187	8,152	29,304084777832
15/07/2016	19:46:14	576	8,541	29,3433361053467
15/07/2016	19:46:14	637	8,602	29,3727645874023
15/07/2016	19:46:14	926	8,891	29,3138980865479
15/07/2016	19:46:15	206	9,171	29,2942695617676
15/07/2016	19:46:15	331	9,296	29,3727645874023
15/07/2016	19:46:15	603	9,568	29,304084777832
15/07/2016	19:46:15	742	9,707	29,2844543457031
15/07/2016	19:46:16	231	10,196	29,2844543457031
15/07/2016	19:46:16	589	10,554	29,1960754394531
15/07/2016	19:46:16	678	10,643	29,181339263916
15/07/2016	19:46:17	043	11,008	29,1862525939941
15/07/2016	19:46:17	426	11,391	29,1715145111084
15/07/2016	19:46:17	589	11,554	29,1715145111084
15/07/2016	19:46:17	928	11,893	29,2304534912109
15/07/2016	19:46:18	271	12,236	29,2550029754639
15/07/2016	19:46:18	411	12,376	29,2353630065918
15/07/2016	19:46:18	582	12,547	29,2108097076416
15/07/2016	19:46:18	944	12,909	29,2108097076416
15/07/2016	19:46:19	282	13,247	29,2058982849121
15/07/2016	19:46:19	650	13,615	29,2550029754639
15/07/2016	19:46:19	767	13,732	29,2795467376709
15/07/2016	19:46:20	120	14,085	29,2599124908447
15/07/2016	19:46:20	342	14,307	29,27463722229
15/07/2016	19:46:20	662	14,627	29,181339263916
15/07/2016	19:46:21	051	15,016	29,2942695617676
15/07/2016	19:46:21	442	15,407	29,2550029754639
15/07/2016	19:46:21	782	15,747	29,1715145111084
15/07/2016	19:46:22	136	16,101	29,2206325531006
15/07/2016	19:46:22	509	16,474	29,304084777832
15/07/2016	19:46:22	957	16,922	29,2304534912109
15/07/2016	19:46:23	066	17,031	29,3138980865479
15/07/2016	19:46:23	500	17,465	29,3188056945801
15/07/2016	19:46:23	581	17,546	29,3286190032959
15/07/2016	19:46:24	064	18,029	29,3138980865479
15/07/2016	19:46:24	224	18,189	29,3335247039795
15/07/2016	19:46:24	661	18,626	29,3384304046631
15/07/2016	19:46:24	899	18,864	29,3776683807373
15/07/2016	19:46:25	185	19,15	29,3825721740723
15/07/2016	19:46:25	420	19,385	29,3678607940674
15/07/2016	19:46:25	864	19,829	29,5442848205566
15/07/2016	19:46:26	063	20,028	29,3825721740723
15/07/2016	19:46:26	244	20,209	29,3923797607422
15/07/2016	19:46:26	575	20,54	29,27463722229
15/07/2016	19:46:26	639	20,604	29,3776683807373
15/07/2016	19:46:26	837	20,802	29,3482418060303
15/07/2016	19:46:27	276	21,241	29,3286190032959
15/07/2016	19:46:27	664	21,629	29,5100002288818
15/07/2016	19:46:27	961	21,926	29,4217967987061
15/07/2016	19:46:28	346	22,311	29,2991771697998
15/07/2016	19:46:28	793	22,758	29,3678607940674
15/07/2016	19:46:28	982	22,947	29,3335247039795
15/07/2016	19:46:29	376	23,341	29,3923797607422
15/07/2016	19:46:29	565	23,53	29,3188056945801
15/07/2016	19:46:30	023	23,988	29,2451839447021
15/07/2016	19:46:30	282	24,247	29,3972835540771
15/07/2016	19:46:30	396	24,361	29,304084777832
15/07/2016	19:46:30	635	24,6	29,3629550933838
15/07/2016	19:46:31	043	25,008	29,304084777832
15/07/2016	19:46:31	275	25,24	29,3629550933838
15/07/2016	19:46:31	421	25,386	29,4168949127197
15/07/2016	19:46:31	826	25,791	29,3286190032959
15/07/2016	19:46:32	064	26,029	29,2844543457031
15/07/2016	19:46:32	389	26,354	29,3335247039795
15/07/2016	19:46:33	012	26,977	29,1960754394531
15/07/2016	19:46:33	225	27,19	29,2255439758301
15/07/2016	19:46:33	627	27,592	29,1911640167236
15/07/2016	19:46:33	846	27,811	29,1223754882813
15/07/2016	19:46:34	307	28,272	29,1960754394531
15/07/2016	19:46:34	472	28,437	29,3138980865479
15/07/2016	19:46:34	962	28,927	29,3237113952637
15/07/2016	19:46:35	230	29,195	29,2451839447021
15/07/2016	19:46:35	463	29,428	29,3138980865479
15/07/2016	19:46:35	615	29,58	29,3138980865479
15/07/2016	19:46:35	798	29,763	29,2206325531006
15/07/2016	19:46:36	003	29,968	29,304084777832
15/07/2016	19:46:36	394	30,359	29,1960754394531
15/07/2016	19:46:36	544	30,509	29,2942695617676
15/07/2016	19:46:36	894	30,859	29,2795467376709
15/07/2016	19:46:37	786	31,751	29,2893619537354
15/07/2016	19:46:37	896	31,861	29,2942695617676
15/07/2016	19:46:38	229	32,194	29,3237113952637
15/07/2016	19:46:38	533	32,498	29,3138980865479
15/07/2016	19:46:38	910	32,875	29,1960754394531
15/07/2016	19:46:39	067	33,032	29,2795467376709
15/07/2016	19:46:39	247	33,212	29,2157211303711
15/07/2016	19:46:39	641	33,606	29,2599124908447
15/07/2016	19:46:39	787	33,752	29,2353630065918
15/07/2016	19:46:39	947	33,912	29,264820098877
15/07/2016	19:46:40	269	34,234	29,2844543457031
15/07/2016	19:46:40	411	34,376	29,27463722229
15/07/2016	19:46:40	575	34,54	29,1960754394531
15/07/2016	19:46:41	424	35,389	29,2058982849121
