Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:28:04	589	31,147	26,7633113861084
18/07/2016	17:28:04	736	31,294	26,8937282562256
18/07/2016	17:28:05	000	31,558	26,8536167144775
18/07/2016	17:28:05	105	31,663	26,8285388946533
18/07/2016	17:28:05	347	31,905	26,8385696411133
18/07/2016	17:28:05	538	32,096	26,8185062408447
18/07/2016	17:28:06	097	32,655	26,8034553527832
18/07/2016	17:28:06	660	33,218	26,8134899139404
18/07/2016	17:28:06	971	33,529	26,8736743927002
18/07/2016	17:28:07	278	33,836	26,8385696411133
18/07/2016	17:28:07	467	34,025	26,8185062408447
18/07/2016	17:28:07	763	34,321	26,8134899139404
18/07/2016	17:28:07	871	34,429	26,793420791626
18/07/2016	17:28:08	149	34,707	26,8335552215576
18/07/2016	17:28:08	491	35,049	26,8185062408447
18/07/2016	17:28:08	713	35,271	26,7633113861084
18/07/2016	17:28:08	839	35,397	26,7683296203613
18/07/2016	17:28:09	215	35,773	26,788402557373
18/07/2016	17:28:09	521	36,079	26,7783679962158
18/07/2016	17:28:10	116	36,674	26,8285388946533
18/07/2016	17:28:10	207	36,765	26,7833843231201
18/07/2016	17:28:10	675	37,233	26,8385696411133
18/07/2016	17:28:11	059	37,617	26,8536167144775
18/07/2016	17:28:11	212	37,77	26,8786869049072
18/07/2016	17:28:11	458	38,016	26,8285388946533
18/07/2016	17:28:11	778	38,336	26,7833843231201
18/07/2016	17:28:12	039	38,597	26,7984390258789
18/07/2016	17:28:12	186	38,744	26,793420791626
18/07/2016	17:28:12	588	39,146	26,8134899139404
18/07/2016	17:28:12	753	39,311	26,823522567749
18/07/2016	17:28:12	873	39,431	26,8285388946533
18/07/2016	17:28:13	254	39,812	26,8084735870361
18/07/2016	17:28:13	713	40,271	26,8335552215576
18/07/2016	17:28:13	911	40,469	26,8185062408447
18/07/2016	17:28:14	052	40,61	26,788402557373
18/07/2016	17:28:14	403	40,961	26,8285388946533
18/07/2016	17:28:14	649	41,207	26,8185062408447
18/07/2016	17:28:15	161	41,719	26,8837013244629
18/07/2016	17:28:15	370	41,928	26,8385696411133
18/07/2016	17:28:15	523	42,081	26,8837013244629
18/07/2016	17:28:15	941	42,499	26,9238033294678
18/07/2016	17:28:16	188	42,746	26,8586311340332
18/07/2016	17:28:16	336	42,894	26,8736743927002
18/07/2016	17:28:16	657	43,215	26,8686599731445
18/07/2016	17:28:17	034	43,592	26,8435859680176
18/07/2016	17:28:17	355	43,913	26,8435859680176
