Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				0.1
Reflected temperature				20
Location X				58
Location Y				41
Size X				206
Size Y				69
Surface (pixels)				14214

Date	Time	Milliseconds	Relative time	Bx1.Max.
12/07/2016	19:36:38	983	0	25,6991438512833
12/07/2016	19:36:39	466	0,483	25,6991438512833
12/07/2016	19:36:39	674	0,691	25,6991438512833
12/07/2016	19:36:39	890	0,907	25,7166559354445
12/07/2016	19:36:40	047	1,064	25,6991438512833
12/07/2016	19:36:40	400	1,417	25,7166559354445
12/07/2016	19:36:40	501	1,518	25,7166559354445
12/07/2016	19:36:40	674	1,691	25,7166559354445
12/07/2016	19:36:40	802	1,819	25,6991438512833
12/07/2016	19:36:40	963	1,98	25,6991438512833
12/07/2016	19:36:41	140	2,157	25,7341651663173
12/07/2016	19:36:41	563	2,58	25,7341651663173
12/07/2016	19:36:41	823	2,84	25,6991438512833
12/07/2016	19:36:41	922	2,939	25,7166559354445
12/07/2016	19:36:42	091	3,108	25,6816289124735
12/07/2016	19:36:42	451	3,468	25,6991438512833
12/07/2016	19:36:42	712	3,729	25,6816289124735
12/07/2016	19:36:42	863	3,88	25,6641111176534
12/07/2016	19:36:43	068	4,085	25,6465904654603
12/07/2016	19:36:43	425	4,442	25,6465904654603
12/07/2016	19:36:43	840	4,857	25,6465904654603
12/07/2016	19:36:43	993	5,01	25,6991438512833
12/07/2016	19:36:44	306	5,323	25,7341651663173
12/07/2016	19:36:44	434	5,451	25,7691750736358
12/07/2016	19:36:44	897	5,914	25,7516715452616
12/07/2016	19:36:45	145	6,162	25,7516715452616
12/07/2016	19:36:45	474	6,491	25,6991438512833
12/07/2016	19:36:45	584	6,601	25,6991438512833
12/07/2016	19:36:45	791	6,808	25,6465904654603
12/07/2016	19:36:46	190	7,207	25,6641111176534
12/07/2016	19:36:46	526	7,543	25,6991438512833
12/07/2016	19:36:46	702	7,719	25,6641111176534
12/07/2016	19:36:46	978	7,995	25,6465904654603
12/07/2016	19:36:47	340	8,357	25,6641111176534
12/07/2016	19:36:47	598	8,615	25,5940113510016
12/07/2016	19:36:47	807	8,824	25,6115405834996
12/07/2016	19:36:48	008	9,025	25,6115405834996
12/07/2016	19:36:48	179	9,196	25,6290669545306
12/07/2016	19:36:48	353	9,37	25,6290669545306
12/07/2016	19:36:48	714	9,731	25,6290669545306
12/07/2016	19:36:48	925	9,942	25,6115405834996
12/07/2016	19:36:49	292	10,309	25,6115405834996
12/07/2016	19:36:49	408	10,425	25,5940113510016
12/07/2016	19:36:49	551	10,568	25,5940113510016
12/07/2016	19:36:49	945	10,962	25,6290669545306
12/07/2016	19:36:50	132	11,149	25,6465904654603
12/07/2016	19:36:50	535	11,552	25,6465904654603
12/07/2016	19:36:50	702	11,719	25,6641111176534
12/07/2016	19:36:50	944	11,961	25,6816289124735
12/07/2016	19:36:51	472	12,489	25,6816289124735
12/07/2016	19:36:51	606	12,623	25,6991438512833
12/07/2016	19:36:51	789	12,806	25,6816289124735
12/07/2016	19:36:52	122	13,139	25,6991438512833
12/07/2016	19:36:52	287	13,304	25,7166559354445
12/07/2016	19:36:52	422	13,439	25,6991438512833
12/07/2016	19:36:52	755	13,772	25,6816289124735
12/07/2016	19:36:52	872	13,889	25,6991438512833
12/07/2016	19:36:53	325	14,342	25,6641111176534
12/07/2016	19:36:53	550	14,567	25,6641111176534
12/07/2016	19:36:53	631	14,648	25,6465904654603
12/07/2016	19:36:53	944	14,961	25,6290669545306
12/07/2016	19:36:54	487	15,504	25,6641111176534
12/07/2016	19:36:54	620	15,637	25,6290669545306
12/07/2016	19:36:55	024	16,041	25,6465904654603
12/07/2016	19:36:55	099	16,116	25,5940113510016
12/07/2016	19:36:55	529	16,546	25,5940113510016
12/07/2016	19:36:55	804	16,821	25,5940113510016
12/07/2016	19:36:55	987	17,004	25,5940113510016
12/07/2016	19:36:56	135	17,152	25,5940113510016
12/07/2016	19:36:56	329	17,346	25,6115405834996
12/07/2016	19:36:56	765	17,782	25,6115405834996
12/07/2016	19:36:57	363	18,38	25,5940113510016
12/07/2016	19:36:57	769	18,786	25,6115405834996
12/07/2016	19:36:57	903	18,92	25,5940113510016
12/07/2016	19:36:58	052	19,069	25,5940113510016
12/07/2016	19:36:58	359	19,376	25,6115405834996
12/07/2016	19:36:58	692	19,709	25,6290669545306
12/07/2016	19:36:58	840	19,857	25,6641111176534
12/07/2016	19:36:59	016	20,033	25,6115405834996
12/07/2016	19:36:59	368	20,385	25,6465904654603
12/07/2016	19:36:59	368	20,385	25,6465904654603
12/07/2016	19:36:59	747	20,764	25,6465904654603
12/07/2016	19:36:59	993	21,01	25,6641111176534
12/07/2016	19:37:00	102	21,119	25,6641111176534
12/07/2016	19:37:00	242	21,259	25,6641111176534
12/07/2016	19:37:00	606	21,623	25,7166559354445
12/07/2016	19:37:00	872	21,889	25,6641111176534
12/07/2016	19:37:01	034	22,051	25,6991438512833
12/07/2016	19:37:01	034	22,051	25,6991438512833
12/07/2016	19:37:01	196	22,213	25,6465904654603
12/07/2016	19:37:01	554	22,571	25,6465904654603
12/07/2016	19:37:01	627	22,644	25,6115405834996
12/07/2016	19:37:01	852	22,869	25,6290669545306
12/07/2016	19:37:02	192	23,209	25,6290669545306
12/07/2016	19:37:02	353	23,37	25,6115405834996
12/07/2016	19:37:02	620	23,637	25,6290669545306
12/07/2016	19:37:02	861	23,878	25,6465904654603
12/07/2016	19:37:02	861	23,878	25,6465904654603
12/07/2016	19:37:03	129	24,146	25,6290669545306
12/07/2016	19:37:03	436	24,453	25,6290669545306
12/07/2016	19:37:03	695	24,712	25,6816289124735
12/07/2016	19:37:03	790	24,807	25,6290669545306
12/07/2016	19:37:04	230	25,247	25,6465904654603
12/07/2016	19:37:04	556	25,573	25,6290669545306
12/07/2016	19:37:04	696	25,713	25,6115405834996
12/07/2016	19:37:04	696	25,713	25,6115405834996
12/07/2016	19:37:05	080	26,097	25,6115405834996
12/07/2016	19:37:05	305	26,322	25,6290669545306
12/07/2016	19:37:05	452	26,469	25,6465904654603
12/07/2016	19:37:05	851	26,868	25,6465904654603
12/07/2016	19:37:06	100	27,117	25,5940113510016
12/07/2016	19:37:06	400	27,417	25,5940113510016
12/07/2016	19:37:06	648	27,665	25,5589442961364
12/07/2016	19:37:06	648	27,665	25,5589442961364
12/07/2016	19:37:06	719	27,736	25,6290669545306
12/07/2016	19:37:06	860	27,877	25,5940113510016
12/07/2016	19:37:07	515	28,532	25,5940113510016
12/07/2016	19:37:07	743	28,76	25,5589442961364
12/07/2016	19:37:07	884	28,901	25,5589442961364
