Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				1
Reflected temperature				20
Location X				47
Location Y				66
Size X				199
Size Y				20
Surface (pixels)				3980

Date	Time	Milliseconds	Relative time	Bx1.Max.
07/07/2016	14:17:32	378	0	28,3795795440674
07/07/2016	14:17:32	888	0,51	28,2765827178955
07/07/2016	14:17:33	465	1,087	28,2078628540039
07/07/2016	14:17:33	913	1,535	28,0358791351318
07/07/2016	14:17:34	053	1,675	27,9325580596924
07/07/2016	14:17:34	285	1,907	27,9153289794922
07/07/2016	14:17:34	444	2,066	27,8636245727539
07/07/2016	14:17:34	936	2,558	27,8118953704834
07/07/2016	14:17:35	564	3,186	27,7773952484131
07/07/2016	14:17:35	828	3,45	27,6738300323486
07/07/2016	14:17:36	325	3,947	27,6392860412598
07/07/2016	14:17:36	533	4,155	27,5528793334961
07/07/2016	14:17:36	869	4,491	27,4837055206299
07/07/2016	14:17:37	325	4,947	27,4317951202393
07/07/2016	14:17:37	605	5,227	27,3625450134277
07/07/2016	14:17:38	023	5,645	27,32790184021
07/07/2016	14:17:38	442	6,064	27,2585849761963
07/07/2016	14:17:38	594	6,216	27,2759189605713
07/07/2016	14:17:38	959	6,581	27,2239093780518
07/07/2016	14:17:39	102	6,724	27,2065677642822
07/07/2016	14:17:39	809	7,431	27,1198177337646
07/07/2016	14:17:40	162	7,784	27,0503673553467
07/07/2016	14:17:40	252	7,874	27,0329990386963
07/07/2016	14:17:40	525	8,147	26,963493347168
07/07/2016	14:17:40	644	8,266	26,9287242889404
07/07/2016	14:17:41	183	8,805	26,9113349914551
07/07/2016	14:17:41	284	8,906	26,963493347168
07/07/2016	14:17:41	637	9,259	26,9808731079102
07/07/2016	14:17:42	073	9,695	26,9808731079102
07/07/2016	14:17:42	350	9,972	26,9287242889404
07/07/2016	14:17:42	749	10,371	26,9461097717285
07/07/2016	14:17:43	105	10,727	26,963493347168
07/07/2016	14:17:43	405	11,027	26,9287242889404
07/07/2016	14:17:43	550	11,172	26,9461097717285
07/07/2016	14:17:44	021	11,643	26,85915184021
07/07/2016	14:17:44	408	12,03	26,806941986084
07/07/2016	14:17:44	545	12,167	26,772123336792
07/07/2016	14:17:44	899	12,521	26,7198734283447
07/07/2016	14:17:45	418	13,04	26,6675968170166
07/07/2016	14:17:45	592	13,214	26,6327323913574
07/07/2016	14:17:45	838	13,46	26,6152954101563
07/07/2016	14:17:46	048	13,67	26,580415725708
07/07/2016	14:17:46	889	14,511	26,5455226898193
07/07/2016	14:17:47	071	14,693	26,580415725708
07/07/2016	14:17:47	304	14,926	26,580415725708
07/07/2016	14:17:47	705	15,327	26,6152954101563
07/07/2016	14:17:47	859	15,481	26,6152954101563
07/07/2016	14:17:48	234	15,856	26,5978565216064
07/07/2016	14:17:48	518	16,14	26,6501655578613
07/07/2016	14:17:48	694	16,316	26,5978565216064
07/07/2016	14:17:48	903	16,525	26,6152954101563
07/07/2016	14:17:49	297	16,919	26,580415725708
07/07/2016	14:17:49	696	17,318	26,580415725708
07/07/2016	14:17:50	180	17,802	26,5455226898193
07/07/2016	14:17:50	389	18,011	26,5106182098389
07/07/2016	14:17:50	560	18,182	26,4931621551514
07/07/2016	14:17:50	970	18,592	26,5106182098389
07/07/2016	14:17:51	562	19,184	26,5978565216064
07/07/2016	14:17:51	772	19,394	26,580415725708
07/07/2016	14:17:52	274	19,896	26,5978565216064
07/07/2016	14:17:52	426	20,048	26,5978565216064
07/07/2016	14:17:52	688	20,31	26,6152954101563
07/07/2016	14:17:53	063	20,685	26,5978565216064
07/07/2016	14:17:53	129	20,751	26,5629692077637
07/07/2016	14:17:53	375	20,997	26,5455226898193
07/07/2016	14:17:53	559	21,181	26,5455226898193
07/07/2016	14:17:53	688	21,31	26,5280723571777
07/07/2016	14:17:53	899	21,521	26,4931621551514
07/07/2016	14:17:54	230	21,852	26,5106182098389
07/07/2016	14:17:54	551	22,173	26,5106182098389
07/07/2016	14:17:54	969	22,591	26,4407768249512
07/07/2016	14:17:55	325	22,947	26,4058399200439
07/07/2016	14:17:55	641	23,263	26,4233093261719
07/07/2016	14:17:55	699	23,321	26,4407768249512
07/07/2016	14:17:55	905	23,527	26,4582424163818
07/07/2016	14:17:56	321	23,943	26,4931621551514
07/07/2016	14:17:56	712	24,334	26,4931621551514
07/07/2016	14:17:56	902	24,524	26,5280723571777
07/07/2016	14:17:57	074	24,696	26,5455226898193
07/07/2016	14:17:57	394	25,016	26,5629692077637
07/07/2016	14:17:57	728	25,35	26,5629692077637
07/07/2016	14:17:57	870	25,492	26,5455226898193
07/07/2016	14:17:57	870	25,492	26,5455226898193
07/07/2016	14:17:58	326	25,948	26,5455226898193
07/07/2016	14:17:58	555	26,177	26,5455226898193
07/07/2016	14:17:58	980	26,602	26,5455226898193
07/07/2016	14:17:59	402	27,024	26,5455226898193
07/07/2016	14:17:59	627	27,249	26,5629692077637
07/07/2016	14:17:59	774	27,396	26,5629692077637
07/07/2016	14:17:59	997	27,619	26,5629692077637
07/07/2016	14:18:00	437	28,059	26,5629692077637
07/07/2016	14:18:00	649	28,271	26,5978565216064
07/07/2016	14:18:01	041	28,663	26,5978565216064
07/07/2016	14:18:01	140	28,762	26,5978565216064
07/07/2016	14:18:01	414	29,036	26,6152954101563
07/07/2016	14:18:01	632	29,254	26,5978565216064
07/07/2016	14:18:01	798	29,42	26,580415725708
07/07/2016	14:18:02	133	29,755	26,580415725708
07/07/2016	14:18:02	340	29,962	26,5629692077637
07/07/2016	14:18:02	701	30,323	26,5455226898193
07/07/2016	14:18:03	044	30,666	26,580415725708
07/07/2016	14:18:03	270	30,892	26,580415725708
07/07/2016	14:18:03	511	31,133	26,580415725708
07/07/2016	14:18:03	756	31,378	26,5978565216064
07/07/2016	14:18:03	895	31,517	26,5629692077637
07/07/2016	14:18:04	176	31,798	26,5629692077637
07/07/2016	14:18:04	403	32,025	26,5455226898193
07/07/2016	14:18:04	771	32,393	26,5280723571777
07/07/2016	14:18:05	225	32,847	26,4757041931152
07/07/2016	14:18:05	408	33,03	26,4407768249512
07/07/2016	14:18:05	528	33,15	26,4407768249512
07/07/2016	14:18:06	061	33,683	26,3883666992188
07/07/2016	14:18:06	372	33,994	26,4233093261719
07/07/2016	14:18:06	508	34,13	26,4582424163818
07/07/2016	14:18:06	856	34,478	26,4582424163818
07/07/2016	14:18:07	168	34,79	26,4233093261719
07/07/2016	14:18:07	674	35,296	26,3883666992188
07/07/2016	14:18:07	876	35,498	26,3883666992188
07/07/2016	14:18:08	025	35,647	26,3359298706055
07/07/2016	14:18:08	190	35,812	26,3534126281738
07/07/2016	14:18:08	569	36,191	26,3708915710449
07/07/2016	14:18:08	928	36,55	26,3534126281738
07/07/2016	14:18:09	242	36,864	26,3184452056885
07/07/2016	14:18:09	513	37,135	26,2659759521484
07/07/2016	14:18:09	636	37,258	26,2659759521484
07/07/2016	14:18:10	106	37,728	26,3009586334229
07/07/2016	14:18:10	439	38,061	26,3534126281738
07/07/2016	14:18:10	554	38,176	26,3534126281738
07/07/2016	14:18:10	731	38,353	26,3534126281738
07/07/2016	14:18:10	897	38,519	26,3359298706055
07/07/2016	14:18:11	233	38,855	26,3534126281738
07/07/2016	14:18:11	603	39,225	26,3534126281738
07/07/2016	14:18:11	755	39,377	26,3359298706055
07/07/2016	14:18:12	148	39,77	26,3009586334229
07/07/2016	14:18:12	433	40,055	26,2309818267822
07/07/2016	14:18:12	598	40,22	26,2309818267822
07/07/2016	14:18:12	819	40,441	26,2309818267822
07/07/2016	14:18:12	937	40,559	26,1959762573242
07/07/2016	14:18:13	338	40,96	26,1434459686279
07/07/2016	14:18:13	750	41,372	26,1259307861328
07/07/2016	14:18:14	018	41,64	26,0908908843994
07/07/2016	14:18:14	196	41,818	26,1259307861328
07/07/2016	14:18:14	323	41,945	26,1259307861328
07/07/2016	14:18:14	492	42,114	26,0908908843994
07/07/2016	14:18:14	858	42,48	26,1084136962891
07/07/2016	14:18:15	037	42,659	26,1084136962891
07/07/2016	14:18:15	203	42,825	26,0908908843994
07/07/2016	14:18:15	566	43,188	26,0383110046387
07/07/2016	14:18:15	699	43,321	26,0383110046387
07/07/2016	14:18:16	062	43,684	26,0558414459229
07/07/2016	14:18:16	200	43,822	26,0207786560059
07/07/2016	14:18:16	857	44,479	26,0032424926758
07/07/2016	14:18:17	046	44,668	26,0207786560059
07/07/2016	14:18:17	401	45,023	25,9857044219971
07/07/2016	14:18:17	538	45,16	26,0032424926758
07/07/2016	14:18:17	904	45,526	26,0207786560059
07/07/2016	14:18:18	057	45,679	26,0207786560059
07/07/2016	14:18:18	395	46,017	26,0207786560059
07/07/2016	14:18:18	541	46,163	25,9681625366211
07/07/2016	14:18:18	764	46,386	25,9506187438965
07/07/2016	14:18:19	182	46,804	25,9506187438965
07/07/2016	14:18:19	260	46,882	25,897970199585
07/07/2016	14:18:19	803	47,425	25,9155216217041
07/07/2016	14:18:20	119	47,741	25,9330711364746
07/07/2016	14:18:20	210	47,832	25,9330711364746
07/07/2016	14:18:20	387	48,009	25,897970199585
07/07/2016	14:18:20	608	48,23	25,8804149627686
07/07/2016	14:18:21	048	48,67	25,897970199585
07/07/2016	14:18:21	248	48,87	25,897970199585
07/07/2016	14:18:21	735	49,357	25,9330711364746
07/07/2016	14:18:21	870	49,492	25,897970199585
07/07/2016	14:18:22	220	49,842	25,9506187438965
07/07/2016	14:18:22	276	49,898	25,9506187438965
07/07/2016	14:18:22	462	50,084	25,9330711364746
07/07/2016	14:18:22	589	50,211	25,9330711364746
07/07/2016	14:18:22	853	50,475	25,9155216217041
07/07/2016	14:18:23	172	50,794	25,897970199585
07/07/2016	14:18:23	365	50,987	25,9155216217041
07/07/2016	14:18:23	681	51,303	25,9506187438965
07/07/2016	14:18:23	988	51,61	25,9330711364746
07/07/2016	14:18:24	239	51,861	25,9681625366211
07/07/2016	14:18:24	406	52,028	26,0032424926758
07/07/2016	14:18:24	770	52,392	26,0032424926758
07/07/2016	14:18:25	078	52,7	26,0032424926758
07/07/2016	14:18:25	267	52,889	26,0032424926758
07/07/2016	14:18:25	602	53,224	25,9506187438965
07/07/2016	14:18:25	749	53,371	25,9506187438965
07/07/2016	14:18:25	935	53,557	25,9681625366211
07/07/2016	14:18:26	154	53,776	25,9330711364746
07/07/2016	14:18:26	309	53,931	25,9330711364746
07/07/2016	14:18:26	497	54,119	25,9330711364746
07/07/2016	14:18:26	653	54,275	25,9155216217041
07/07/2016	14:18:26	804	54,426	25,897970199585
07/07/2016	14:18:27	145	54,767	25,9330711364746
07/07/2016	14:18:27	594	55,216	25,897970199585
07/07/2016	14:18:27	652	55,274	25,8101634979248
07/07/2016	14:18:27	940	55,562	25,827730178833
07/07/2016	14:18:28	361	55,983	25,7574443817139
07/07/2016	14:18:28	584	56,206	25,7047004699707
07/07/2016	14:18:28	699	56,321	25,7222862243652
07/07/2016	14:18:29	053	56,675	25,7047004699707
07/07/2016	14:18:29	216	56,838	25,7047004699707
07/07/2016	14:18:29	651	57,273	25,7222862243652
07/07/2016	14:18:29	922	57,544	25,827730178833
07/07/2016	14:18:30	127	57,749	25,8101634979248
07/07/2016	14:18:30	289	57,911	25,827730178833
07/07/2016	14:18:30	459	58,081	25,827730178833
07/07/2016	14:18:30	623	58,245	25,827730178833
07/07/2016	14:18:30	811	58,433	25,827730178833
07/07/2016	14:18:31	021	58,643	25,8452949523926
07/07/2016	14:18:31	369	58,991	25,8452949523926
07/07/2016	14:18:31	731	59,353	25,8452949523926
07/07/2016	14:18:31	853	59,475	25,8804149627686
