Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				0.1
Reflected temperature				20
Location X				44
Location Y				93
Size X				171
Size Y				37
Surface (pixels)				6327

Date	Time	Milliseconds	Relative time	Bx1.Max.
08/07/2016	15:35:39	221	33,126	25,1702838395435
08/07/2016	15:35:39	565	33,47	25,291908176919
08/07/2016	15:35:39	671	33,576	25,2057714842983
08/07/2016	15:35:40	095	34	25,2108402140703
08/07/2016	15:35:40	401	34,306	25,2007025211488
08/07/2016	15:35:40	583	34,488	25,2108402140703
08/07/2016	15:35:40	931	34,836	25,2463147905623
08/07/2016	15:35:41	158	35,063	25,2513816544542
08/07/2016	15:35:41	295	35,2	25,1956333245899
08/07/2016	15:35:41	446	35,351	25,2159087104962
08/07/2016	15:35:41	782	35,687	25,1854942311169
08/07/2016	15:35:42	084	35,989	25,2361803633746
08/07/2016	15:35:42	284	36,189	25,1854942311169
08/07/2016	15:35:42	821	36,726	25,1804243341393
08/07/2016	15:35:42	981	36,886	25,2209769736079
08/07/2016	15:35:43	375	37,28	25,1854942311169
08/07/2016	15:35:43	450	37,355	25,1702838395435
08/07/2016	15:35:43	700	37,605	25,1905638945898
08/07/2016	15:35:44	035	37,94	25,1652132418616
08/07/2016	15:35:44	254	38,159	25,1956333245899
08/07/2016	15:35:44	455	38,36	25,1804243341393
08/07/2016	15:35:44	901	38,806	25,2209769736079
08/07/2016	15:35:45	338	39,243	25,1753542036255
08/07/2016	15:35:45	659	39,564	25,1905638945898
08/07/2016	15:35:46	005	39,91	25,2159087104962
08/07/2016	15:35:46	121	40,026	25,2311128000154
08/07/2016	15:35:46	606	40,511	25,2108402140703
08/07/2016	15:35:46	692	40,597	25,2057714842983
08/07/2016	15:35:46	891	40,796	25,2260450034371
08/07/2016	15:35:47	404	41,309	25,2260450034371
08/07/2016	15:35:47	634	41,539	25,1905638945898
08/07/2016	15:35:47	949	41,854	25,2463147905623
08/07/2016	15:35:48	133	42,038	25,2007025211488
08/07/2016	15:35:48	259	42,164	25,2615146829922
08/07/2016	15:35:48	422	42,327	25,2311128000154
08/07/2016	15:35:49	099	43,004	25,2108402140703
08/07/2016	15:35:49	407	43,312	25,2260450034371
08/07/2016	15:35:49	557	43,462	25,1905638945898
08/07/2016	15:35:50	164	44,069	25,1652132418616
08/07/2016	15:35:50	285	44,19	25,1398567483416
08/07/2016	15:35:50	510	44,415	25,1601424105481
08/07/2016	15:35:50	652	44,557	25,1905638945898
08/07/2016	15:35:51	048	44,953	25,1753542036255
08/07/2016	15:35:51	409	45,314	25,2007025211488
08/07/2016	15:35:51	493	45,398	25,1550713455711
08/07/2016	15:35:51	726	45,631	25,1550713455711
08/07/2016	15:35:52	134	46,039	25,1195673454851
08/07/2016	15:35:52	468	46,373	25,1550713455711
08/07/2016	15:35:52	696	46,601	25,1550713455711
08/07/2016	15:35:52	998	46,903	25,1601424105481
08/07/2016	15:35:53	469	47,374	25,1854942311169
08/07/2016	15:35:53	770	47,675	25,2311128000154
08/07/2016	15:35:54	335	48,24	25,1500000468988
08/07/2016	15:35:54	548	48,453	25,2159087104962
08/07/2016	15:35:55	065	48,97	25,0992741999416
08/07/2016	15:35:55	155	49,06	25,1297125146219
08/07/2016	15:35:55	572	49,477	25,1144944100557
08/07/2016	15:35:55	818	49,723	25,094200328522
08/07/2016	15:35:56	091	49,996	25,1195673454851
08/07/2016	15:35:56	195	50,1	25,1094212406765
08/07/2016	15:35:56	594	50,499	25,094200328522
08/07/2016	15:35:56	767	50,672	25,1905638945898
08/07/2016	15:35:56	937	50,842	25,1195673454851
08/07/2016	15:35:57	363	51,268	25,1601424105481
08/07/2016	15:35:57	763	51,668	25,1601424105481
08/07/2016	15:35:57	989	51,894	25,1398567483416
08/07/2016	15:35:58	163	52,068	25,1804243341393
08/07/2016	15:35:58	662	52,567	25,2057714842983
08/07/2016	15:35:58	953	52,858	25,2615146829922
08/07/2016	15:35:59	234	53,139	25,1601424105481
08/07/2016	15:35:59	882	53,787	25,2108402140703
08/07/2016	15:36:00	232	54,137	25,2159087104962
08/07/2016	15:36:00	552	54,457	25,3374827032815
08/07/2016	15:36:01	127	55,032	25,2615146829922
08/07/2016	15:36:01	537	55,442	25,2209769736079
08/07/2016	15:36:01	983	55,888	25,2615146829922
08/07/2016	15:36:02	049	55,954	25,2615146829922
08/07/2016	15:36:02	354	56,259	25,2513816544542
08/07/2016	15:36:02	711	56,616	25,2767124781597
08/07/2016	15:36:03	050	56,955	25,2767124781597
08/07/2016	15:36:03	214	57,119	25,2615146829922
08/07/2016	15:36:03	592	57,497	25,3729165328469
08/07/2016	15:36:04	058	57,963	25,2868431768808
08/07/2016	15:36:04	396	58,301	25,2868431768808
08/07/2016	15:36:04	798	58,703	25,3729165328469
08/07/2016	15:36:04	886	58,791	25,3627937436881
08/07/2016	15:36:05	118	59,023	25,3627937436881
08/07/2016	15:36:05	492	59,397	25,3880989741546
08/07/2016	15:36:05	623	59,528	25,3526700249388
08/07/2016	15:36:05	948	59,853	25,3222932886271
08/07/2016	15:36:06	206	60,111	25,3577320005281
08/07/2016	15:36:06	532	60,437	25,3678552544506
08/07/2016	15:36:06	754	60,659	25,4032793253012
08/07/2016	15:36:06	826	60,731	25,2767124781597
08/07/2016	15:36:07	027	60,932	25,2564482852536
08/07/2016	15:36:07	485	61,39	25,2463147905623
08/07/2016	15:36:07	542	61,447	25,2361803633746
08/07/2016	15:36:07	990	61,895	25,2057714842983
08/07/2016	15:36:08	194	62,099	25,2463147905623
08/07/2016	15:36:08	571	62,476	25,2463147905623
08/07/2016	15:36:08	987	62,892	25,2311128000154
08/07/2016	15:36:09	437	63,342	25,2665808477016
08/07/2016	15:36:09	526	63,431	25,2564482852536
08/07/2016	15:36:09	768	63,673	25,2615146829922
08/07/2016	15:36:09	861	63,766	25,2817779439715
08/07/2016	15:36:10	422	64,327	25,3476078168891
08/07/2016	15:36:10	584	64,489	25,291908176919
08/07/2016	15:36:10	705	64,61	25,3374827032815
08/07/2016	15:36:11	071	64,976	25,302037478509
08/07/2016	15:36:11	226	65,131	25,302037478509
08/07/2016	15:36:11	396	65,301	25,302037478509
08/07/2016	15:36:11	593	65,498	25,3476078168891
08/07/2016	15:36:11	937	65,842	25,291908176919
08/07/2016	15:36:12	120	66,025	25,291908176919
08/07/2016	15:36:12	480	66,385	25,291908176919
08/07/2016	15:36:12	610	66,515	25,2868431768808
08/07/2016	15:36:12	973	66,878	25,2969729441179
08/07/2016	15:36:13	116	67,021	25,2817779439715
08/07/2016	15:36:13	325	67,23	25,291908176919
08/07/2016	15:36:13	733	67,638	25,3071017801238
08/07/2016	15:36:13	831	67,736	25,2817779439715
08/07/2016	15:36:14	004	67,909	25,3172296851513
08/07/2016	15:36:14	133	68,038	25,2868431768808
08/07/2016	15:36:14	605	68,51	25,3172296851513
08/07/2016	15:36:14	991	68,896	25,2817779439715
08/07/2016	15:36:15	443	69,348	25,3121658489941
08/07/2016	15:36:15	589	69,494	25,3071017801238
08/07/2016	15:36:16	008	69,913	25,3577320005281
08/07/2016	15:36:16	295	70,2	25,3172296851513
08/07/2016	15:36:16	540	70,445	25,3071017801238
08/07/2016	15:36:16	950	70,855	25,3071017801238
08/07/2016	15:36:17	186	71,091	25,3273566594531
08/07/2016	15:36:17	560	71,465	25,2716467794136
08/07/2016	15:36:17	836	71,741	25,3526700249388
08/07/2016	15:36:18	014	71,919	25,3121658489941
08/07/2016	15:36:18	448	72,353	25,3273566594531
08/07/2016	15:36:18	607	72,512	25,3425453763471
08/07/2016	15:36:18	814	72,719	25,3324197976607
08/07/2016	15:36:18	982	72,887	25,3425453763471
08/07/2016	15:36:19	196	73,101	25,4386920210098
08/07/2016	15:36:19	520	73,425	25,3729165328469
08/07/2016	15:36:19	948	73,853	25,4235165436031
08/07/2016	15:36:20	376	74,281	25,4336337605085
08/07/2016	15:36:20	809	74,714	25,3830383926675
08/07/2016	15:36:21	051	74,956	25,3678552544506
08/07/2016	15:36:21	286	75,191	25,3678552544506
08/07/2016	15:36:21	414	75,319	25,4083389780166
08/07/2016	15:36:21	639	75,544	25,3425453763471
08/07/2016	15:36:21	863	75,768	25,3627937436881
08/07/2016	15:36:22	000	75,905	25,3374827032815
08/07/2016	15:36:22	499	76,404	25,4184575871361
08/07/2016	15:36:22	682	76,587	25,3577320005281
08/07/2016	15:36:23	143	77,048	25,3425453763471
08/07/2016	15:36:23	494	77,399	25,3880989741546
08/07/2016	15:36:23	920	77,825	25,3931593234017
08/07/2016	15:36:24	311	78,216	25,3526700249388
08/07/2016	15:36:24	478	78,383	25,3678552544506
08/07/2016	15:36:24	786	78,691	25,3172296851513
08/07/2016	15:36:24	966	78,871	25,3121658489941
08/07/2016	15:36:25	142	79,047	25,9584563465062
08/07/2016	15:36:25	770	79,675	27,9196251533747
08/07/2016	15:36:26	130	80,035	30,8062300157812
08/07/2016	15:36:26	463	80,368	33,4386680042393
08/07/2016	15:36:26	660	80,565	35,2404973541527
08/07/2016	15:36:26	847	80,752	36,1613011966546
08/07/2016	15:36:27	515	81,42	37,9367582074685
08/07/2016	15:36:27	576	81,481	38,3902003867361
08/07/2016	15:36:27	907	81,812	38,453549108464
08/07/2016	15:36:28	616	82,521	40,6772622139263
08/07/2016	15:36:28	850	82,755	43,0935263333556
08/07/2016	15:36:29	374	83,279	46,9419865429444
08/07/2016	15:36:29	645	83,55	48,8122499439458
08/07/2016	15:36:29	859	83,764	50,8337151899794
08/07/2016	15:36:30	273	84,178	53,1090398685585
08/07/2016	15:36:31	110	85,015	57,5867213071816
08/07/2016	15:36:31	243	85,148	59,3160141036209
08/07/2016	15:36:31	452	85,357	60,0459436969011
08/07/2016	15:36:32	055	85,96	62,4570651097636
08/07/2016	15:36:32	225	86,13	64,0181099504698
08/07/2016	15:36:32	383	86,288	64,9567530950398
08/07/2016	15:36:33	178	87,083	66,274543434959
08/07/2016	15:36:33	480	87,385	68,4947770377522
08/07/2016	15:36:33	712	87,617	69,0040829666275
08/07/2016	15:36:34	315	88,22	70,7415035534984
08/07/2016	15:36:34	375	88,28	72,5596965959196
