Calibrating
2016-07-06 10:43:22	1200.00  244.98 
2016-07-06 10:43:23	1200.00  261.78 
2016-07-06 10:43:25	1200.00  268.78 
2016-07-06 10:43:26	1200.00  263.18 
2016-07-06 10:43:27	1200.00  267.38 
2016-07-06 10:43:28	1200.00  265.98 
2016-07-06 10:43:29	1200.00  270.78 
2016-07-06 10:43:30	1200.00  275.88 
2016-07-06 10:43:31	1200.00  262.48 
2016-07-06 10:43:32	1200.00  272.18 
2016-07-06 10:43:33	1200.00  268.78 
2016-07-06 10:43:34	1200.00  271.48 
2016-07-06 10:43:35	1200.00  267.38 
2016-07-06 10:43:36	1200.00  272.18 
2016-07-06 10:43:37	1200.00  262.48 
2016-07-06 10:43:38	1200.00  276.48 
2016-07-06 10:43:40	1200.00  273.48 
2016-07-06 10:43:41	1200.00  269.48 
2016-07-06 10:43:42	1200.00  270.88 
2016-07-06 10:43:43	1200.00  272.88 
2016-07-06 10:43:44	1200.00  266.68 
2016-07-06 10:43:45	1200.00  266.68 
2016-07-06 10:43:46	1200.00  268.78 
2016-07-06 10:43:47	1200.00  273.48 
2016-07-06 10:43:48	1200.00  267.38 
2016-07-06 10:43:49	1200.00  268.08 
2016-07-06 10:43:50	1200.00  267.38 
2016-07-06 10:43:51	1200.00  274.08 
2016-07-06 10:43:52	1200.00  268.78 
2016-07-06 10:43:53	1250.00  272.28 
2016-07-06 10:43:55	1250.00  264.58 
2016-07-06 10:43:56	1250.00  282.48 
2016-07-06 10:43:57	1250.00  290.28 
2016-07-06 10:43:58	1250.00  298.98 
2016-07-06 10:43:59	1250.00  293.48 
2016-07-06 10:44:00	1250.00  298.98 
2016-07-06 10:44:01	1250.00  291.98 
2016-07-06 10:44:02	1250.00  303.88 
2016-07-06 10:44:03	1250.00  298.98 
2016-07-06 10:44:04	1250.00  298.98 
2016-07-06 10:44:05	1250.00  295.48 
2016-07-06 10:44:06	1250.00  294.08 
2016-07-06 10:44:07	1250.00  295.48 
2016-07-06 10:44:08	1250.00  296.88 
2016-07-06 10:44:10	1250.00  298.28 
2016-07-06 10:44:11	1250.00  296.88 
2016-07-06 10:44:12	1250.00  296.88 
2016-07-06 10:44:13	1250.00  301.78 
2016-07-06 10:44:14	1250.00  296.88 
2016-07-06 10:44:15	1250.00  297.58 
2016-07-06 10:44:16	1250.00  292.68 
2016-07-06 10:44:17	1250.00  295.48 
2016-07-06 10:44:18	1250.00  294.08 
2016-07-06 10:44:19	1250.00  294.78 
2016-07-06 10:44:20	1250.00  300.38 
2016-07-06 10:44:21	1250.00  306.48 
2016-07-06 10:44:22	1250.00  305.88 
2016-07-06 10:44:23	1250.00  296.88 
2016-07-06 10:44:25	1250.00  300.38 
2016-07-06 10:44:26	1300.00  298.98 
2016-07-06 10:44:27	1300.00  303.18 
2016-07-06 10:44:28	1300.00  310.08 
2016-07-06 10:44:29	1300.00  329.18 
2016-07-06 10:44:30	1300.00  332.68 
2016-07-06 10:44:31	1300.00  327.08 
