Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				42
Location Y				57
Size X				161
Size Y				20
Surface (pixels)				3220

Date	Time	Milliseconds	Relative time	Bx1.Max.
06/07/2016	10:39:33	933	0	26,5280723571777
06/07/2016	10:39:34	060	0,127	26,4582424163818
06/07/2016	10:39:34	257	0,324	26,4407768249512
06/07/2016	10:39:34	493	0,56	26,3883666992188
06/07/2016	10:39:34	809	0,876	26,3359298706055
06/07/2016	10:39:34	943	1,01	26,28346824646
06/07/2016	10:39:35	301	1,368	26,2659759521484
06/07/2016	10:39:35	486	1,553	26,2134799957275
06/07/2016	10:39:35	770	1,837	26,1959762573242
06/07/2016	10:39:36	102	2,169	26,1784687042236
06/07/2016	10:39:36	316	2,383	26,1609592437744
06/07/2016	10:39:36	655	2,722	26,1609592437744
06/07/2016	10:39:37	158	3,225	26,0908908843994
06/07/2016	10:39:37	290	3,357	26,1084136962891
06/07/2016	10:39:37	436	3,503	26,0558414459229
06/07/2016	10:39:37	647	3,714	26,0383110046387
06/07/2016	10:39:37	762	3,829	25,9857044219971
06/07/2016	10:39:38	284	4,351	25,9681625366211
06/07/2016	10:39:38	410	4,477	25,9681625366211
06/07/2016	10:39:38	749	4,816	25,9330711364746
06/07/2016	10:39:38	878	4,945	25,9155216217041
06/07/2016	10:39:39	255	5,322	25,9330711364746
06/07/2016	10:39:39	392	5,459	25,9155216217041
06/07/2016	10:39:39	644	5,711	25,9155216217041
06/07/2016	10:39:39	967	6,034	25,9330711364746
06/07/2016	10:39:40	149	6,216	25,897970199585
06/07/2016	10:39:40	499	6,566	25,897970199585
06/07/2016	10:39:40	650	6,717	25,8804149627686
06/07/2016	10:39:40	992	7,059	25,8804149627686
06/07/2016	10:39:41	281	7,348	25,8628559112549
06/07/2016	10:39:41	430	7,497	25,8628559112549
06/07/2016	10:39:41	617	7,684	25,8628559112549
06/07/2016	10:39:42	009	8,076	25,827730178833
06/07/2016	10:39:42	281	8,348	25,8101634979248
06/07/2016	10:39:42	526	8,593	25,8101634979248
06/07/2016	10:39:42	895	8,962	25,8101634979248
06/07/2016	10:39:43	021	9,088	25,7750205993652
06/07/2016	10:39:43	647	9,714	25,7574443817139
06/07/2016	10:39:43	781	9,848	25,7047004699707
06/07/2016	10:39:44	288	10,355	25,7574443817139
06/07/2016	10:39:44	567	10,634	25,8101634979248
06/07/2016	10:39:44	813	10,88	25,827730178833
06/07/2016	10:39:44	922	10,989	25,8101634979248
06/07/2016	10:39:45	186	11,253	25,8101634979248
06/07/2016	10:39:45	717	11,784	25,8101634979248
06/07/2016	10:39:45	793	11,86	25,8101634979248
06/07/2016	10:39:45	984	12,051	25,8101634979248
06/07/2016	10:39:46	367	12,434	25,8101634979248
06/07/2016	10:39:46	521	12,588	25,7925930023193
06/07/2016	10:39:46	767	12,834	25,7750205993652
06/07/2016	10:39:46	913	12,98	25,8101634979248
06/07/2016	10:39:47	250	13,317	25,827730178833
06/07/2016	10:39:47	429	13,496	25,7925930023193
06/07/2016	10:39:47	689	13,756	25,7750205993652
06/07/2016	10:39:48	065	14,132	25,7925930023193
06/07/2016	10:39:48	322	14,389	25,8101634979248
06/07/2016	10:39:48	562	14,629	25,7925930023193
06/07/2016	10:39:49	090	15,157	25,827730178833
06/07/2016	10:39:49	422	15,489	25,8101634979248
06/07/2016	10:39:49	532	15,599	25,7750205993652
06/07/2016	10:39:49	696	15,763	25,7925930023193
06/07/2016	10:39:50	182	16,249	25,8101634979248
06/07/2016	10:39:50	463	16,53	25,8628559112549
06/07/2016	10:39:50	721	16,788	25,8628559112549
06/07/2016	10:39:50	948	17,015	25,8804149627686
06/07/2016	10:39:51	242	17,309	25,897970199585
06/07/2016	10:39:51	386	17,453	25,8804149627686
06/07/2016	10:39:51	741	17,808	25,8628559112549
06/07/2016	10:39:51	894	17,961	25,8804149627686
06/07/2016	10:39:52	243	18,31	25,8628559112549
06/07/2016	10:39:52	311	18,378	25,8452949523926
06/07/2016	10:39:52	563	18,63	25,8452949523926
06/07/2016	10:39:52	956	19,023	25,827730178833
06/07/2016	10:39:53	144	19,211	25,827730178833
06/07/2016	10:39:53	489	19,556	25,827730178833
06/07/2016	10:39:53	717	19,784	25,8101634979248
06/07/2016	10:39:53	862	19,929	25,827730178833
06/07/2016	10:39:54	226	20,293	25,8101634979248
06/07/2016	10:39:54	477	20,544	25,8452949523926
06/07/2016	10:39:54	771	20,838	25,8101634979248
06/07/2016	10:39:55	196	21,263	25,8101634979248
06/07/2016	10:39:55	493	21,56	25,8452949523926
06/07/2016	10:39:55	692	21,759	25,8452949523926
06/07/2016	10:39:55	949	22,016	25,8452949523926
06/07/2016	10:39:56	322	22,389	25,827730178833
06/07/2016	10:39:56	518	22,585	25,8628559112549
06/07/2016	10:39:56	860	22,927	25,8804149627686
06/07/2016	10:39:57	117	23,184	25,897970199585
06/07/2016	10:39:57	248	23,315	25,8628559112549
06/07/2016	10:39:57	564	23,631	25,8628559112549
06/07/2016	10:39:57	670	23,737	25,8452949523926
06/07/2016	10:39:58	028	24,095	25,8452949523926
06/07/2016	10:39:58	327	24,394	25,8628559112549
06/07/2016	10:39:58	573	24,64	25,8452949523926
06/07/2016	10:39:58	696	24,763	25,8452949523926
06/07/2016	10:39:58	973	25,04	25,8101634979248
06/07/2016	10:39:59	100	25,167	25,7925930023193
06/07/2016	10:39:59	445	25,512	25,8101634979248
06/07/2016	10:39:59	746	25,813	25,7750205993652
06/07/2016	10:39:59	941	26,008	25,7750205993652
06/07/2016	10:40:00	350	26,417	25,7750205993652
06/07/2016	10:40:00	481	26,548	25,7750205993652
06/07/2016	10:40:00	843	26,91	25,7925930023193
06/07/2016	10:40:00	988	27,055	25,7925930023193
06/07/2016	10:40:01	153	27,22	25,7750205993652
06/07/2016	10:40:01	502	27,569	25,7925930023193
06/07/2016	10:40:01	783	27,85	25,7750205993652
06/07/2016	10:40:01	845	27,912	25,8101634979248
06/07/2016	10:40:02	084	28,151	25,8101634979248
06/07/2016	10:40:02	473	28,54	25,7750205993652
06/07/2016	10:40:02	543	28,61	25,7574443817139
06/07/2016	10:40:02	772	28,839	25,7574443817139
06/07/2016	10:40:03	072	29,139	25,7574443817139
06/07/2016	10:40:03	163	29,23	25,7574443817139
06/07/2016	10:40:03	569	29,636	25,7574443817139
06/07/2016	10:40:03	705	29,772	25,7574443817139
06/07/2016	10:40:03	884	29,951	25,7398662567139
06/07/2016	10:40:04	221	30,288	25,7574443817139
06/07/2016	10:40:04	479	30,546	25,7574443817139
06/07/2016	10:40:04	800	30,867	25,7398662567139
06/07/2016	10:40:05	266	31,333	25,897970199585
06/07/2016	10:40:05	505	31,572	25,8804149627686
