xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.64163	 -0.75098	 0.94835	 0.71370	 0.69392	 0.85275	 0.87538	 -0.37670	 -0.00843 	 554.12041 	 1.01111
	 0.40588	 -0.58275	 0.85455	 0.72775	 0.64987	 0.68463	 0.81597	 -0.12403	 0.00000 	 9999.00000 	 4.68699
	 0.55892	 -0.82174	 0.81913	 0.27812	 0.56492	 0.27588	 0.88416	 -0.18642	 0.00000 	 9999.00000 	 4.68699
	 0.41613	 -0.77657	 0.92557	 0.65702	 0.52832	 -0.51610	 0.84911	 -0.53917	 -0.08406 	 453.66904 	 0.93355
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81677	 -0.17457 	 539.22125 	 0.92071
	 0.38778	 -0.75383	 0.91590	 0.82690	 0.69981	 -0.79290	 0.94879	 -0.88873	 0.00000 	 9999.00000 	 4.68699
	 0.69549	 -0.71972	 0.89213	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81677	 -0.17398 	 547.64809 	 0.92428
	 0.54102	 -0.62746	 0.86228	 0.23000	 0.62407	 -0.69474	 0.91222	 -0.17063	 0.00000 	 9999.00000 	 4.68699
	 0.56728	 -0.82174	 0.85652	 0.01837	 0.64989	 0.22397	 0.88416	 -0.53930	 0.00996 	 5513.22784 	 2.94827
	 0.69654	 -0.54319	 0.82919	 0.31282	 0.48278	 0.70899	 0.93507	 -0.00392	 0.00000 	 9999.00000 	 4.68699
	 0.59899	 -0.13551	 0.90434	 0.66000	 0.67150	 -0.83464	 0.89547	 -0.86577	 0.00000 	 9999.00000 	 4.68699
	 0.60013	 -0.70657	 0.90142	 0.69295	 0.67354	 -0.15637	 0.87099	 -0.88894	 -0.13253 	 590.52440 	 0.96206
	 0.59682	 -0.13551	 0.90434	 0.34573	 0.55302	 -0.85703	 0.89554	 -0.86634	 0.00000 	 9999.00000 	 4.68699
	 0.53817	 -0.62180	 0.86517	 0.00560	 0.62407	 -0.68786	 0.91222	 -0.56803	 -0.13763 	 406.05831 	 0.88776
	 0.53032	 -0.86393	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15062 	 544.17103 	 0.93483
	 0.45795	 -0.68322	 0.91178	 0.34022	 0.55984	 -0.66058	 0.88462	 -0.39179	 -0.09178 	 437.65102 	 0.92339
	 0.64666	 -0.67062	 0.89099	 0.81081	 0.50015	 0.47697	 0.93233	 -0.75048	 0.00986 	 479.05033 	 0.99125
	 0.41613	 -0.77657	 0.92556	 0.65702	 0.62881	 -0.73182	 0.84145	 -0.53917	 0.00836 	 398.37374 	 0.95912
	 0.52426	 -0.76650	 0.92490	 0.45945	 0.49994	 -0.50759	 0.93336	 -0.41906	 -0.12879 	 552.46960 	 0.94918
	 0.57111	 -0.79653	 0.92649	 0.30959	 0.43670	 -0.11589	 0.80880	 -0.81792	 -0.16052 	 514.03256 	 0.91807
	 0.52426	 -0.76650	 0.81180	 0.43272	 0.62131	 -0.50759	 0.92583	 -0.42347	 0.00000 	 9999.00000 	 4.68699
	 0.67390	 -0.76389	 0.87576	 0.70200	 0.69515	 0.74456	 0.87479	 -0.37670	 -0.01133 	 513.95635 	 0.99403
	 0.54338	 -0.58391	 0.94660	 0.33583	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.12338 	 431.70352 	 0.90498
	 0.53032	 -0.85382	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15414 	 540.77838 	 0.93172
	 0.49533	 -0.76200	 0.84045	 0.86995	 0.47863	 0.77935	 0.87817	 -0.79711	 0.00000 	 9999.00000 	 4.68699
	 0.56892	 -0.87209	 0.92221	 0.77165	 0.55524	 0.33698	 0.87033	 -0.15228	 0.00941 	 1243.74257 	 1.28828
	 0.59955	 -0.70657	 0.90260	 0.34573	 0.41013	 -0.18687	 0.88626	 -0.87598	 -0.12754 	 558.95057 	 0.95233
	 0.51036	 -0.88381	 0.93440	 0.74962	 0.41786	 0.33698	 0.88553	 -0.15443	 0.00999 	 990.48279 	 1.19013
	 0.56267	 -0.84472	 0.94913	 0.41172	 0.50421	 0.52462	 0.82511	 -0.87976	 -0.11896 	 780.35552 	 1.04277
	 0.68599	 -0.72650	 0.81227	 0.52689	 0.46269	 0.32774	 0.80110	 -0.16927	 0.00000 	 9999.00000 	 4.68699
	 0.57838	 -0.79047	 0.85271	 0.51355	 0.42768	 -0.08942	 0.93102	 -0.83468	 0.00000 	 9999.00000 	 4.68699
	 0.51560	 -0.62178	 0.88470	 0.30014	 0.50809	 0.52635	 0.82689	 -0.31752	 0.00000 	 9999.00000 	 4.68699
