l_s	l_l	R	T_f	theta	power	
	 0.11425	 0.19698	 0.01521	 366.74659	 -0.06053 	 4.88286
	 0.13983	 0.28926	 0.02426	 369.98689	 -0.08756 	 6.66830
	 0.21620	 0.38106	 0.01801	 303.15458	 0.00000 	 0.00061
	 0.16852	 0.24231	 0.02995	 413.14603	 -0.21347 	 14.27814
	 0.21022	 0.35895	 0.02044	 399.46832	 -0.26846 	 15.13714
	 0.17789	 0.37493	 0.00797	 361.96652	 -0.03655 	 6.61602
	 0.16073	 0.23143	 0.01933	 389.66157	 -0.18719 	 10.26005
	 0.11480	 0.37378	 0.01864	 305.91244	 0.00000 	 0.19446
	 0.10653	 0.34384	 0.00704	 370.68490	 -0.04887 	 4.63005
	 0.33847	 0.32028	 0.01907	 406.91302	 -0.29864 	 23.09721
	 0.27517	 0.50170	 0.02978	 373.45729	 -0.15002 	 13.87035
	 0.10577	 0.55263	 0.01715	 304.46033	 0.00000 	 0.08498
	 0.29612	 0.22166	 0.01859	 305.91244	 0.00000 	 0.50158
	 0.10711	 0.37274	 0.01627	 403.12962	 -0.19727 	 8.03794
	 0.59668	 0.48612	 0.02377	 402.21184	 -0.38935 	 39.83243
	 0.49205	 0.33297	 0.02583	 387.40743	 -0.29369 	 29.22985
	 0.27517	 0.51791	 0.02994	 375.10022	 -0.16222 	 14.32707
	 0.16926	 0.21849	 0.02930	 304.61934	 0.00000 	 0.15250
	 0.20622	 0.35885	 0.02321	 383.84232	 -0.18476 	 12.20738
	 0.17760	 0.36434	 0.02206	 400.79970	 -0.25790 	 13.36955
	 0.19676	 0.20305	 0.02534	 385.85924	 -0.19774 	 12.28933
	 0.49140	 0.46782	 0.02583	 306.66924	 0.00000 	 1.06041
	 0.19962	 0.37492	 0.00797	 360.18672	 -0.03312 	 7.17098
	 0.10809	 0.37432	 0.00257	 306.44869	 0.00000 	 0.21863
	 0.35063	 0.33721	 0.01727	 306.01903	 0.00000 	 0.61684
	 0.10197	 0.53802	 0.02521	 399.36310	 -0.15453 	 7.77825
	 0.57013	 0.36730	 0.02196	 403.22008	 -0.36085 	 37.66157
	 0.22036	 0.36346	 0.01639	 402.13762	 -0.23973 	 15.06453
	 0.10809	 0.35661	 0.00258	 305.91244	 0.00000 	 0.18309
	 0.18145	 0.38305	 0.00176	 400.79970	 -0.01185 	 7.04042
	 0.11447	 0.28282	 0.01517	 366.85212	 -0.06091 	 4.90089
	 0.13961	 0.20342	 0.02430	 369.88136	 -0.08699 	 6.64516
	 0.52121	 0.33488	 0.00826	 401.68681	 -0.13117 	 29.98804
	 0.25067	 0.49974	 0.02396	 388.72274	 -0.23352 	 15.82075
	 0.33934	 0.30234	 0.02936	 400.19919	 -0.37120 	 25.41586
	 0.13414	 0.46674	 0.00396	 374.12833	 -0.03628 	 6.02380
	 0.44607	 0.36312	 0.02321	 383.84232	 -0.23582 	 24.86085
	 0.19428	 0.26835	 0.00901	 401.14260	 -0.12435 	 11.21163
