l_s	l_l	R	T_f	theta	power	
	 0.32294	 0.33630	 0.02344	 398.31477	 -0.32491 	 22.66388
	 0.11769	 0.32028	 0.01897	 411.82100	 -0.21874 	 9.84688
	 0.21633	 0.53566	 0.02051	 399.46832	 -0.27176 	 15.54664
	 0.21031	 0.35850	 0.02294	 398.94423	 -0.27434 	 15.39110
	 0.15067	 0.37445	 0.01801	 412.20232	 -0.24193 	 11.42714
	 0.14780	 0.38105	 0.01734	 303.15458	 0.00000 	 0.00042
	 0.17953	 0.35917	 0.01724	 404.04739	 -0.23991 	 12.82620
	 0.12067	 0.38106	 0.01649	 303.15458	 0.00000 	 0.00034
	 0.10287	 0.35665	 0.00847	 371.53149	 -0.05700 	 4.58609
	 0.26377	 0.30599	 0.02745	 401.06931	 -0.32311 	 20.06293
	 0.10121	 0.37430	 0.00707	 371.53149	 -0.05044 	 4.46639
	 0.15347	 0.35678	 0.01978	 412.20232	 -0.26560 	 12.85160
	 0.11769	 0.32028	 0.01978	 411.82100	 -0.21260 	 9.85272
	 0.10801	 0.53242	 0.01896	 397.59197	 -0.18601 	 7.92048
	 0.12037	 0.54245	 0.00839	 404.54667	 -0.10188 	 6.76160
	 0.33945	 0.31044	 0.02936	 405.35457	 -0.39469 	 26.86615
	 0.32024	 0.54173	 0.00738	 398.39054	 -0.10825 	 17.94385
	 0.10058	 0.30302	 0.02982	 405.39164	 -0.13222 	 8.05849
	 0.21097	 0.10079	 0.00534	 402.64741	 -0.06921 	 11.04003
	 0.10486	 0.58084	 0.02359	 340.56682	 -0.00019 	 2.40799
	 0.21174	 0.58093	 0.02418	 353.36322	 -0.02506 	 6.78433
	 0.13241	 0.58437	 0.00622	 412.11139	 -0.07528 	 6.98052
	 0.14934	 0.32028	 0.01896	 411.96871	 -0.25345 	 11.83255
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.33066	 0.30599	 0.02906	 409.89353	 -0.39742 	 27.23742
	 0.13369	 0.32028	 0.01847	 411.92872	 -0.23994 	 10.73538
	 0.26295	 0.30599	 0.02889	 404.40534	 -0.32498 	 20.76772
	 0.38009	 0.10177	 0.02936	 401.09115	 -0.40131 	 28.53571
	 0.37946	 0.10508	 0.02936	 335.21888	 0.00000 	 7.46254
	 0.10729	 0.58306	 0.00490	 407.06822	 -0.05230 	 5.26712
	 0.34927	 0.30030	 0.00658	 398.39120	 -0.09692 	 19.36665
	 0.13415	 0.59311	 0.02894	 351.56168	 -0.01277 	 4.13601
	 0.10420	 0.34859	 0.02766	 371.57004	 -0.08058 	 5.33750
	 0.33945	 0.30844	 0.02936	 404.19889	 -0.39067 	 26.56074
	 0.10029	 0.53242	 0.01805	 397.59197	 -0.17907 	 7.33840
	 0.20890	 0.58093	 0.02418	 412.47872	 -0.30378 	 17.56030
	 0.32294	 0.33630	 0.02344	 398.31477	 -0.32491 	 22.66388
	 0.14780	 0.38106	 0.01801	 303.15458	 0.00000 	 0.00042
	 0.10535	 0.26952	 0.01715	 409.67915	 -0.20797 	 8.44562
	 0.32294	 0.33630	 0.02344	 398.28623	 -0.32470 	 22.65552
	 0.15187	 0.37444	 0.02003	 412.20232	 -0.26154 	 12.72520
	 0.12336	 0.28282	 0.01492	 366.85212	 -0.06226 	 5.25555
	 0.11110	 0.58310	 0.02939	 398.39120	 -0.14706 	 8.41953
	 0.31811	 0.29759	 0.02359	 340.56682	 -0.00053 	 7.30480
	 0.39972	 0.10177	 0.02936	 404.43666	 -0.43477 	 31.07224
	 0.10954	 0.58489	 0.01664	 409.02001	 -0.20467 	 8.38360
	 0.21819	 0.29801	 0.01908	 402.75406	 -0.27713 	 15.88766
	 0.11593	 0.55747	 0.02289	 412.29289	 -0.18817 	 9.75304
	 0.26295	 0.30599	 0.02889	 404.39315	 -0.32496 	 20.76550
	 0.12037	 0.54245	 0.00839	 404.55887	 -0.10191 	 6.76251
	 0.14934	 0.32028	 0.01896	 411.96871	 -0.25345 	 11.83255
	 0.12037	 0.54445	 0.00839	 407.04848	 -0.10188 	 6.76030
	 0.30458	 0.30031	 0.02978	 398.44011	 -0.33871 	 22.56181
	 0.26377	 0.30597	 0.02745	 401.02039	 -0.32292 	 20.05222
	 0.11788	 0.53951	 0.00774	 397.70693	 -0.09332 	 6.50348
	 0.31303	 0.35909	 0.02968	 398.25734	 -0.34349 	 23.08279
	 0.10102	 0.35353	 0.01803	 411.96871	 -0.19886 	 8.46377
	 0.14918	 0.53440	 0.01899	 397.59197	 -0.21832 	 10.65159
	 0.15347	 0.35678	 0.01978	 412.20232	 -0.26560 	 12.85160
	 0.10029	 0.53242	 0.01805	 397.59197	 -0.17907 	 7.33840
	 0.10577	 0.28813	 0.01637	 370.71089	 -0.07481 	 4.94308
	 0.32283	 0.58686	 0.02827	 403.07678	 -0.37521 	 24.90588
	 0.13415	 0.58461	 0.00622	 351.56168	 -0.01185 	 4.03668
	 0.21031	 0.35850	 0.02295	 398.94423	 -0.27436 	 15.39240
	 0.10121	 0.35240	 0.00707	 406.07704	 -0.07968 	 5.39373
	 0.12037	 0.54169	 0.00944	 371.21138	 -0.06201 	 5.34849
	 0.26377	 0.59002	 0.02745	 402.15618	 -0.32708 	 20.29707
	 0.10211	 0.29931	 0.01664	 401.04963	 -0.19129 	 7.67198
	 0.11682	 0.59311	 0.02894	 351.56168	 -0.01143 	 3.60501
	 0.13348	 0.38106	 0.01735	 304.85872	 0.00000 	 0.13985
	 0.26295	 0.59838	 0.02889	 347.74963	 -0.00940 	 7.30671
	 0.13415	 0.29055	 0.02877	 408.16013	 -0.17877 	 10.96164
	 0.10486	 0.58084	 0.02359	 338.56434	 -0.00002 	 2.27764
	 0.31854	 0.30543	 0.02862	 403.12941	 -0.37184 	 24.64979
	 0.11615	 0.37139	 0.01465	 303.15458	 0.00000 	 0.00033
	 0.38009	 0.11441	 0.02936	 404.42718	 -0.42169 	 29.63458
	 0.11714	 0.53959	 0.00774	 404.51530	 -0.09301 	 6.45326
	 0.25551	 0.53514	 0.02300	 393.62011	 -0.26493 	 17.13661
	 0.31854	 0.30543	 0.02862	 403.12941	 -0.37184 	 24.64979
	 0.10121	 0.37430	 0.00652	 371.53149	 -0.04766 	 4.44899
	 0.20677	 0.35887	 0.02043	 399.35174	 -0.26595 	 14.88659
	 0.13680	 0.37452	 0.01802	 412.30317	 -0.23529 	 10.60020
	 0.21689	 0.57923	 0.02300	 403.23694	 -0.29898 	 16.66389
	 0.20844	 0.53692	 0.02418	 412.46802	 -0.30320 	 17.52007
	 0.26377	 0.30597	 0.02745	 401.02039	 -0.32292 	 20.05222
	 0.12037	 0.54445	 0.00839	 405.39099	 -0.10241 	 6.77839
	 0.26226	 0.53242	 0.01805	 397.59197	 -0.25784 	 17.64264
	 0.10415	 0.30597	 0.02745	 401.02039	 -0.14681 	 8.05863
	 0.26327	 0.59024	 0.02408	 402.15618	 -0.32665 	 19.84461
	 0.11734	 0.59289	 0.02894	 351.56168	 -0.01147 	 3.62095
	 0.33879	 0.37804	 0.02969	 399.41878	 -0.36649 	 25.19332
	 0.32730	 0.30752	 0.02925	 402.09780	 -0.37287 	 25.08771
	 0.16828	 0.35678	 0.01978	 410.00370	 -0.27219 	 13.35586
	 0.33070	 0.30599	 0.02862	 412.19986	 -0.40268 	 27.72481
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.12076	 0.35917	 0.01724	 404.04739	 -0.21834 	 9.32166
	 0.10029	 0.51316	 0.01781	 397.59197	 -0.17920 	 7.32212
	 0.39693	 0.12590	 0.02956	 404.43666	 -0.43310 	 30.90174
	 0.21938	 0.32028	 0.01897	 411.82100	 -0.27511 	 15.87789
	 0.11651	 0.29801	 0.01908	 402.75406	 -0.20781 	 9.01351
	 0.30442	 0.58520	 0.02986	 336.05881	 0.00000 	 6.14372
	 0.10598	 0.29524	 0.02346	 402.94233	 -0.16995 	 8.31110
	 0.33511	 0.30857	 0.02894	 352.39728	 -0.02804 	 10.47479
	 0.16723	 0.58915	 0.02862	 409.08459	 -0.21993 	 13.74681
	 0.11769	 0.32028	 0.01897	 411.82100	 -0.21874 	 9.84688
	 0.11615	 0.37139	 0.01465	 303.15458	 0.00000 	 0.00033
	 0.30311	 0.30031	 0.02978	 398.44011	 -0.33769 	 22.46010
	 0.11836	 0.59311	 0.02894	 351.56168	 -0.01155 	 3.65212
	 0.10538	 0.58084	 0.01851	 409.21040	 -0.20196 	 8.64668
	 0.13628	 0.37444	 0.00439	 340.33836	 -0.00036 	 3.10961
	 0.11621	 0.37139	 0.01465	 401.77572	 -0.18328 	 8.09161
	 0.10229	 0.49944	 0.00774	 303.41912	 0.00000 	 0.01688
	 0.12076	 0.35917	 0.01724	 402.33572	 -0.21270 	 9.14143
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.12037	 0.52565	 0.02928	 405.59391	 -0.15915 	 9.65169
	 0.39972	 0.12576	 0.00955	 404.23374	 -0.15006 	 23.44913
	 0.13415	 0.56002	 0.02894	 351.56168	 -0.01277 	 4.13601
	 0.21462	 0.58093	 0.02418	 412.47872	 -0.31078 	 18.03662
	 0.26377	 0.58109	 0.02745	 402.15618	 -0.32708 	 20.29707
	 0.20677	 0.35887	 0.02043	 399.25008	 -0.26536 	 14.86721
	 0.21691	 0.38138	 0.01697	 402.39242	 -0.24570 	 14.99085
	 0.10355	 0.29801	 0.00647	 369.02073	 -0.04255 	 4.36590
	 0.26531	 0.58104	 0.02745	 405.85737	 -0.33796 	 21.15562
	 0.32129	 0.58691	 0.02827	 403.07678	 -0.37410 	 24.79422
	 0.10383	 0.58109	 0.02745	 402.77685	 -0.14640 	 8.14600
	 0.26309	 0.28282	 0.01517	 366.23140	 -0.07609 	 10.78394
	 0.12259	 0.51288	 0.01735	 304.23762	 0.00000 	 0.08175
	 0.11632	 0.38133	 0.01781	 398.16725	 -0.19513 	 8.44908
	 0.13680	 0.37144	 0.01801	 412.20232	 -0.23497 	 10.58830
	 0.10235	 0.54251	 0.00774	 398.30100	 -0.08913 	 5.60923
	 0.11725	 0.35844	 0.01988	 368.10015	 -0.07046 	 5.29410
	 0.16550	 0.28117	 0.01507	 408.72753	 -0.20695 	 11.26216
	 0.13369	 0.32028	 0.01925	 411.82100	 -0.24089 	 11.17409
	 0.39972	 0.10177	 0.02936	 404.43666	 -0.43477 	 31.07224
	 0.10235	 0.53975	 0.00774	 412.08237	 -0.08897 	 5.59904
	 0.13680	 0.37420	 0.01801	 398.40964	 -0.21115 	 9.84523
	 0.11792	 0.30030	 0.02939	 398.39120	 -0.15551 	 8.93351
	 0.32160	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00090
	 0.21938	 0.32028	 0.01897	 411.82100	 -0.27511 	 15.87789
	 0.13369	 0.32028	 0.02213	 411.82100	 -0.21915 	 11.19811
	 0.11208	 0.59024	 0.02408	 399.88373	 -0.17458 	 8.57194
	 0.25658	 0.58084	 0.00490	 340.18963	 -0.00041 	 5.83096
	 0.25687	 0.59024	 0.00750	 402.25664	 -0.10693 	 14.37698
	 0.10922	 0.37430	 0.02354	 371.43103	 -0.08315 	 5.43214
	 0.10029	 0.57105	 0.01781	 397.59197	 -0.17920 	 7.32212
	 0.32283	 0.58686	 0.02827	 403.07678	 -0.37521 	 24.90588
	 0.33780	 0.54445	 0.00743	 405.72798	 -0.11074 	 19.02894
	 0.11370	 0.25541	 0.02862	 411.86245	 -0.15387 	 9.55408
	 0.10362	 0.54266	 0.00646	 367.42716	 -0.03934 	 4.25273
	 0.12031	 0.29980	 0.00840	 406.98167	 -0.10332 	 6.80021
	 0.39972	 0.10177	 0.02936	 404.43666	 -0.43477 	 31.07224
	 0.33934	 0.30592	 0.02946	 395.65528	 -0.34172 	 24.03107
	 0.33078	 0.30592	 0.02936	 401.71681	 -0.37348 	 25.24729
	 0.33922	 0.30599	 0.02862	 410.41948	 -0.40963 	 28.03226
	 0.32578	 0.29933	 0.01735	 398.63241	 -0.27104 	 21.69899
	 0.11389	 0.38202	 0.02939	 304.48150	 0.00000 	 0.09299
	 0.30311	 0.30031	 0.02978	 398.44011	 -0.33769 	 22.46010
	 0.39693	 0.12590	 0.02956	 404.43666	 -0.43310 	 30.90174
	 0.39240	 0.12590	 0.02957	 405.05699	 -0.43342 	 30.77547
	 0.17476	 0.58093	 0.02416	 411.09465	 -0.26044 	 14.55495
	 0.36779	 0.21522	 0.02936	 404.19060	 -0.41188 	 28.65743
	 0.38176	 0.29361	 0.02936	 404.41476	 -0.42277 	 29.75332
	 0.12076	 0.11242	 0.01718	 402.33572	 -0.21262 	 9.13625
	 0.39972	 0.35120	 0.02939	 404.43666	 -0.43481 	 31.07775
	 0.26214	 0.10177	 0.02779	 408.42834	 -0.33528 	 21.37806
	 0.40085	 0.53778	 0.02408	 402.15618	 -0.37765 	 28.76642
	 0.13680	 0.37444	 0.01801	 412.21717	 -0.23502 	 10.59036
	 0.10236	 0.32028	 0.01891	 411.80615	 -0.19447 	 8.56998
	 0.10954	 0.58489	 0.01682	 409.54152	 -0.20612 	 8.44399
	 0.10486	 0.58084	 0.00472	 337.23519	 -0.00000 	 2.19197
	 0.39972	 0.10458	 0.02946	 404.43666	 -0.43486 	 31.08905
	 0.10029	 0.57501	 0.01781	 397.59197	 -0.17920 	 7.32212
	 0.32325	 0.59680	 0.02414	 412.01271	 -0.36894 	 24.42155
	 0.19947	 0.27662	 0.02943	 398.83311	 -0.24960 	 15.08523
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.10686	 0.35844	 0.01858	 375.62790	 -0.09772 	 5.57346
	 0.10788	 0.28282	 0.01517	 366.83559	 -0.05950 	 4.63006
	 0.11456	 0.32028	 0.01897	 411.66419	 -0.21378 	 9.57577
	 0.33066	 0.30599	 0.01975	 409.99398	 -0.30539 	 22.79560
	 0.15187	 0.37444	 0.02864	 412.97674	 -0.20117 	 12.85194
	 0.33934	 0.30592	 0.02936	 402.13505	 -0.38159 	 25.98083
	 0.13415	 0.59311	 0.02894	 351.56168	 -0.01277 	 4.13601
	 0.26327	 0.58097	 0.02738	 402.15618	 -0.32685 	 20.25455
	 0.26377	 0.59036	 0.02415	 402.15618	 -0.32713 	 19.88980
	 0.10029	 0.55854	 0.01781	 397.59197	 -0.17920 	 7.32212
	 0.39972	 0.12040	 0.02936	 404.43666	 -0.43477 	 31.07224
	 0.21462	 0.58093	 0.02418	 412.47872	 -0.31078 	 18.03662
	 0.10486	 0.58084	 0.00490	 337.91864	 -0.00002 	 2.23598
	 0.33340	 0.38106	 0.02909	 406.40681	 -0.39372 	 26.64638
	 0.11373	 0.26883	 0.01767	 307.98761	 0.00000 	 0.33737
	 0.13535	 0.37478	 0.01735	 303.15458	 0.00000 	 0.00038
	 0.11708	 0.38072	 0.00439	 340.33836	 -0.00035 	 2.67150
	 0.13080	 0.37444	 0.01978	 412.20232	 -0.23272 	 10.97385
	 0.21097	 0.10079	 0.02404	 402.64741	 -0.29127 	 16.24094
	 0.34347	 0.30570	 0.00840	 402.10959	 -0.12795 	 19.76620
	 0.11643	 0.30002	 0.02396	 407.00713	 -0.18219 	 9.42088
	 0.11503	 0.15791	 0.02950	 395.76922	 -0.15120 	 8.52634
	 0.39401	 0.38106	 0.01901	 313.74752	 0.00000 	 2.56046
	 0.11956	 0.32028	 0.01978	 410.75502	 -0.21535 	 9.92888
	 0.11835	 0.54266	 0.00565	 365.18712	 -0.03240 	 4.64533
	 0.13369	 0.32022	 0.00774	 411.82100	 -0.09605 	 7.37966
	 0.12031	 0.29986	 0.01958	 406.98167	 -0.21638 	 9.69128
	 0.32297	 0.58691	 0.02827	 411.60742	 -0.39720 	 26.95153
	 0.13201	 0.32028	 0.01891	 401.27853	 -0.22013 	 9.95739
	 0.26327	 0.37992	 0.02365	 402.15618	 -0.32533 	 19.77682
	 0.11615	 0.59083	 0.01778	 303.15458	 0.00000 	 0.00033
	 0.33066	 0.31368	 0.02862	 407.84021	 -0.39709 	 26.74556
	 0.10486	 0.57295	 0.00472	 337.23519	 -0.00000 	 2.19197
	 0.13113	 0.59680	 0.00347	 412.50285	 -0.03531 	 6.09234
	 0.32841	 0.36976	 0.02507	 338.30910	 -0.00004 	 7.08156
	 0.10615	 0.38109	 0.01858	 304.74014	 0.00000 	 0.10350
	 0.11686	 0.35841	 0.02072	 375.20064	 -0.10188 	 6.11237
	 0.21488	 0.32028	 0.01905	 403.57938	 -0.27722 	 15.72215
	 0.38262	 0.10177	 0.02927	 412.70711	 -0.44692 	 31.74277
	 0.21101	 0.56384	 0.02418	 412.47384	 -0.30634 	 17.73554
	 0.21458	 0.11453	 0.02404	 402.64414	 -0.29431 	 16.50047
	 0.21097	 0.10079	 0.02404	 402.64741	 -0.29127 	 16.24094
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.21462	 0.58668	 0.02420	 412.47872	 -0.31055 	 18.03704
	 0.39972	 0.10458	 0.02943	 404.43666	 -0.43484 	 31.08392
	 0.10464	 0.54247	 0.02418	 412.09329	 -0.16408 	 8.79830
	 0.21396	 0.58112	 0.00646	 367.47848	 -0.04317 	 8.69840
	 0.30893	 0.38106	 0.02950	 303.45503	 -0.00000 	 0.05778
	 0.12035	 0.35909	 0.01748	 401.44831	 -0.20955 	 9.03998
	 0.33475	 0.29554	 0.01897	 409.93864	 -0.29413 	 22.72359
	 0.11395	 0.30586	 0.02862	 411.88361	 -0.15418 	 9.57652
	 0.19449	 0.37444	 0.01978	 412.19762	 -0.28049 	 14.79374
	 0.27232	 0.59024	 0.02408	 402.15769	 -0.33192 	 20.46993
	 0.26499	 0.35844	 0.01428	 367.56348	 -0.07914 	 11.08042
	 0.13699	 0.58104	 0.02745	 406.39278	 -0.18940 	 11.03926
	 0.16335	 0.29979	 0.02939	 398.39120	 -0.20961 	 12.34406
	 0.31808	 0.30030	 0.00840	 406.98167	 -0.12625 	 18.25901
	 0.12031	 0.29980	 0.00840	 406.98167	 -0.10332 	 6.80021
	 0.15187	 0.37444	 0.01978	 412.20232	 -0.26338 	 12.71953
	 0.13411	 0.29361	 0.02937	 404.41476	 -0.17562 	 10.65198
	 0.38182	 0.59311	 0.02892	 351.56168	 -0.02656 	 11.67403
	 0.39972	 0.12109	 0.02946	 395.87445	 -0.37086 	 27.99088
	 0.10029	 0.56211	 0.01781	 404.22538	 -0.19432 	 7.87467
	 0.37228	 0.10060	 0.02936	 405.11534	 -0.41954 	 29.26982
	 0.10029	 0.57501	 0.01781	 397.59197	 -0.17920 	 7.32212
	 0.16849	 0.36004	 0.01978	 409.85367	 -0.27191 	 13.35087
	 0.10216	 0.58143	 0.01664	 402.28653	 -0.19489 	 7.78512
	 0.33934	 0.30592	 0.02936	 402.13505	 -0.38159 	 25.98083
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.21462	 0.58093	 0.02418	 409.76049	 -0.30933 	 17.65765
	 0.30893	 0.36040	 0.02950	 303.45503	 -0.00000 	 0.05778
	 0.13680	 0.37444	 0.01801	 412.93977	 -0.23542 	 10.60372
	 0.35370	 0.12031	 0.02927	 412.70711	 -0.42069 	 29.76504
	 0.13433	 0.59309	 0.00827	 350.77790	 -0.01225 	 3.98303
	 0.12012	 0.29793	 0.02902	 407.73986	 -0.16009 	 9.78944
	 0.13415	 0.58677	 0.02895	 408.28782	 -0.17782 	 10.97277
	 0.32129	 0.59325	 0.02826	 349.62546	 -0.01678 	 9.36251
	 0.11251	 0.38106	 0.01732	 412.58913	 -0.21345 	 8.85980
	 0.13397	 0.32028	 0.01894	 303.42782	 0.00000 	 0.02282
	 0.11799	 0.30513	 0.02332	 407.01440	 -0.18834 	 9.54435
	 0.21333	 0.55848	 0.00809	 412.44047	 -0.11256 	 12.04698
	 0.20108	 0.37960	 0.02416	 412.19762	 -0.29415 	 16.87164
	 0.21458	 0.11049	 0.01965	 402.64414	 -0.28399 	 15.91346
	 0.21503	 0.16130	 0.01735	 303.15458	 0.00000 	 0.00060
	 0.11570	 0.37928	 0.02404	 402.64414	 -0.18048 	 9.04999
	 0.38240	 0.10177	 0.02927	 412.70711	 -0.44673 	 31.72463
	 0.41514	 0.12590	 0.02957	 405.05699	 -0.44860 	 32.45137
	 0.19809	 0.37444	 0.01874	 412.19762	 -0.26596 	 14.49519
	 0.10029	 0.57501	 0.01781	 397.59197	 -0.17919 	 7.32164
	 0.10362	 0.54676	 0.00646	 367.42777	 -0.03934 	 4.25282
	 0.10121	 0.37021	 0.00652	 352.64936	 -0.01299 	 3.12573
	 0.11725	 0.33869	 0.02903	 406.52391	 -0.15642 	 9.46837
	 0.33066	 0.35900	 0.01736	 371.55519	 -0.11365 	 14.90840
	 0.12035	 0.35909	 0.01938	 401.44831	 -0.20850 	 9.18372
	 0.31288	 0.30030	 0.02939	 408.67970	 -0.37618 	 25.55350
	 0.11435	 0.29070	 0.01743	 401.35456	 -0.20390 	 8.61074
	 0.37834	 0.36200	 0.02787	 404.50852	 -0.41929 	 29.27778
	 0.11725	 0.30464	 0.02862	 409.56549	 -0.15838 	 9.68664
	 0.32969	 0.38241	 0.01735	 304.90745	 0.00000 	 0.35528
	 0.13682	 0.32028	 0.00628	 412.12545	 -0.07612 	 7.21179
	 0.10489	 0.54266	 0.01909	 366.75654	 -0.06124 	 4.61037
	 0.37948	 0.37973	 0.02936	 406.61805	 -0.43144 	 30.26360
	 0.12913	 0.10633	 0.00439	 338.80299	 -0.00008 	 2.82379
	 0.31195	 0.35905	 0.02968	 402.15379	 -0.36038 	 24.02949
	 0.27743	 0.37996	 0.02671	 398.25974	 -0.31861 	 20.25410
	 0.10001	 0.56359	 0.02418	 394.00900	 -0.15397 	 7.25731
	 0.22825	 0.57526	 0.01781	 412.46211	 -0.26288 	 16.04022
	 0.21458	 0.10370	 0.02404	 402.68137	 -0.29444 	 16.50712
	 0.21462	 0.59975	 0.02418	 412.43345	 -0.31077 	 18.03046
	 0.31195	 0.36135	 0.02710	 396.83942	 -0.32919 	 22.21209
	 0.41514	 0.12369	 0.02957	 384.77665	 -0.27762 	 24.66220
	 0.11615	 0.38106	 0.01729	 402.43553	 -0.20893 	 8.83384
	 0.31195	 0.35905	 0.02967	 304.49680	 0.00000 	 0.25761
	 0.10206	 0.10696	 0.00637	 352.54510	 -0.01271 	 3.14354
	 0.21478	 0.37577	 0.02019	 402.74796	 -0.28752 	 16.03317
	 0.48171	 0.11714	 0.02957	 405.03157	 -0.45998 	 35.91848
	 0.15187	 0.38365	 0.01978	 412.22693	 -0.26340 	 12.72203
	 0.11219	 0.54266	 0.01753	 366.34555	 -0.06072 	 4.82760
	 0.10394	 0.38106	 0.00625	 412.75201	 -0.06997 	 5.38755
	 0.10121	 0.37430	 0.00652	 371.53149	 -0.04766 	 4.44899
	 0.26531	 0.58104	 0.02745	 405.85737	 -0.33796 	 21.15562
	 0.37902	 0.10060	 0.02868	 405.82751	 -0.42839 	 29.89278
	 0.26531	 0.58104	 0.02745	 405.14520	 -0.33661 	 21.01909
	 0.10169	 0.30702	 0.00571	 408.77469	 -0.06245 	 5.15667
	 0.33484	 0.39586	 0.02862	 353.80038	 -0.03442 	 10.83324
	 0.33066	 0.30650	 0.02862	 312.50593	 0.00000 	 1.89703
	 0.11615	 0.38106	 0.01735	 401.77333	 -0.20682 	 8.77199
	 0.10216	 0.37873	 0.01683	 401.97091	 -0.19396 	 7.77114
	 0.26327	 0.58251	 0.02346	 402.15358	 -0.32464 	 19.74517
	 0.10001	 0.59212	 0.02409	 404.88414	 -0.15781 	 7.96716
	 0.27232	 0.56611	 0.02417	 393.95795	 -0.27958 	 18.43465
	 0.10486	 0.58084	 0.02514	 413.12234	 -0.15920 	 8.88594
	 0.21462	 0.56387	 0.00376	 325.21435	 0.00000 	 2.90389
	 0.26485	 0.58082	 0.02365	 402.15618	 -0.32622 	 19.88563
	 0.21303	 0.37996	 0.02418	 409.76049	 -0.30749 	 17.52980
	 0.37892	 0.11068	 0.02936	 405.11534	 -0.42436 	 29.76431
	 0.12713	 0.31305	 0.01891	 411.82100	 -0.23363 	 10.62706
	 0.31303	 0.35909	 0.00508	 396.74219	 -0.06966 	 16.57102
	 0.10486	 0.58084	 0.02912	 338.75018	 -0.00002 	 2.28965
	 0.32128	 0.54266	 0.02975	 394.98684	 -0.32831 	 22.69880
	 0.10140	 0.35909	 0.00600	 367.55946	 -0.03746 	 4.16161
	 0.21460	 0.57840	 0.01735	 409.74960	 -0.25252 	 15.03532
	 0.11618	 0.38353	 0.02418	 306.38106	 0.00000 	 0.23017
	 0.38200	 0.38106	 0.02880	 303.15441	 0.00000 	 0.00103
	 0.12685	 0.12590	 0.01809	 405.05699	 -0.22706 	 9.93797
	 0.12031	 0.29980	 0.00840	 404.12135	 -0.10244 	 6.77328
	 0.13369	 0.32028	 0.01891	 411.73998	 -0.24331 	 11.16039
	 0.10985	 0.11714	 0.02957	 405.03157	 -0.14477 	 8.77373
	 0.47794	 0.52012	 0.02418	 394.00900	 -0.33536 	 30.82904
	 0.32241	 0.30030	 0.02958	 398.39120	 -0.35023 	 23.75079
	 0.39324	 0.12590	 0.02938	 405.05699	 -0.43405 	 30.80776
	 0.37126	 0.58104	 0.02742	 405.88622	 -0.41936 	 28.96360
	 0.26633	 0.10060	 0.02939	 405.08649	 -0.32594 	 21.16897
	 0.12646	 0.38106	 0.01836	 303.15458	 0.00000 	 0.00036
	 0.11654	 0.12590	 0.01809	 405.05699	 -0.21554 	 9.17541
	 0.34194	 0.37707	 0.02812	 398.73997	 -0.36084 	 24.93977
	 0.32325	 0.30429	 0.02908	 406.05804	 -0.38400 	 25.77820
	 0.32129	 0.58691	 0.02827	 403.07678	 -0.37410 	 24.79422
	 0.10121	 0.36653	 0.00652	 352.64936	 -0.01299 	 3.12573
	 0.11615	 0.40748	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.11615	 0.38106	 0.01735	 303.15458	 0.00000 	 0.00033
	 0.40723	 0.12590	 0.02957	 405.05699	 -0.44346 	 31.86997
	 0.48963	 0.11714	 0.02957	 405.03157	 -0.46345 	 36.45989
	 0.13075	 0.32898	 0.01891	 411.82100	 -0.23900 	 10.92552
	 0.32424	 0.57778	 0.02875	 403.07678	 -0.37569 	 25.06893
	 0.12912	 0.57501	 0.01768	 397.70380	 -0.20226 	 9.22498
	 0.26289	 0.58104	 0.02758	 405.74554	 -0.33465 	 20.95314
	 0.27232	 0.59024	 0.02957	 402.16076	 -0.32654 	 21.08274
	 0.40551	 0.12590	 0.02409	 405.05391	 -0.37741 	 28.99318
	 0.11251	 0.38106	 0.01732	 410.97932	 -0.21373 	 8.87170
	 0.11615	 0.38106	 0.01735	 305.20394	 0.00000 	 0.14629
	 0.10034	 0.35363	 0.01778	 375.62790	 -0.09424 	 5.22165
	 0.10682	 0.57968	 0.01861	 397.59197	 -0.18513 	 7.81661
	 0.33066	 0.30519	 0.02862	 410.00129	 -0.40076 	 27.24393
	 0.16828	 0.31095	 0.01978	 410.00366	 -0.27219 	 13.35585
	 0.19938	 0.40218	 0.02008	 350.61702	 -0.01600 	 5.94686
	 0.10032	 0.37392	 0.00621	 412.70427	 -0.06813 	 5.16144
	 0.31303	 0.33153	 0.02968	 398.25734	 -0.34349 	 23.08279
	 0.37228	 0.13105	 0.02936	 405.11534	 -0.41954 	 29.26982
	 0.10832	 0.38381	 0.02862	 409.82793	 -0.14701 	 8.96822
	 0.33595	 0.30324	 0.01500	 412.76196	 -0.23484 	 21.50771
	 0.19425	 0.38099	 0.02909	 406.40681	 -0.24887 	 15.64095
	 0.33364	 0.37451	 0.01978	 412.49677	 -0.30686 	 23.00561
	 0.21310	 0.37163	 0.02418	 409.76695	 -0.30753 	 17.53624
