xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.60953	 -0.57864	 0.80878	 0.44951	 387.46006	 0.00000 	 0.00000
	 0.56821	 -0.40602	 0.88158	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.41450	 -0.23716	 0.91959	 0.01239	 379.79836	 -0.12387 	 24.85231
	 0.49695	 -0.50592	 0.97640	 0.61336	 313.06308	 0.00000 	 2.92004
	 0.42581	 -0.86261	 0.92884	 0.60977	 392.98126	 -0.15983 	 23.40211
	 0.46780	 -0.45500	 0.92884	 0.72765	 310.19927	 -0.00000 	 1.99794
	 0.50580	 -0.49072	 0.79269	 0.60675	 351.53323	 0.00960 	 7.88177
	 0.63612	 -0.10988	 0.98235	 0.04412	 313.14978	 0.00000 	 2.12328
	 0.73525	 -0.06100	 0.99188	 0.62607	 356.81192	 -0.00657 	 8.54991
	 0.55503	 -0.34125	 0.79376	 0.11237	 385.18968	 0.00000 	 0.00000
	 0.58428	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.27469
	 0.42531	 -0.33307	 0.85373	 0.36192	 398.32842	 0.00000 	 0.00000
	 0.60155	 -0.80089	 0.89113	 0.06197	 360.64612	 -0.05762 	 10.81308
	 0.39780	 -0.54393	 0.95007	 0.07763	 409.81686	 -0.16171 	 25.46765
	 0.38774	 -0.17244	 0.97546	 0.40845	 404.80728	 -0.20642 	 34.51991
	 0.50153	 -0.05059	 0.91831	 0.61336	 391.09315	 0.00907 	 10.82643
	 0.64517	 -0.87714	 0.97624	 0.32748	 328.98776	 0.00000 	 5.28045
	 0.42531	 -0.33307	 0.88158	 0.04825	 398.32140	 -0.28087 	 28.00398
	 0.42531	 -0.33307	 0.88158	 0.04825	 398.77903	 -0.28678 	 28.20692
	 0.56821	 -0.40312	 0.88198	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.70931	 -0.41576	 0.88198	 0.77286	 403.19249	 -0.22506 	 12.14460
	 0.71269	 -0.51611	 0.93078	 0.14725	 403.00072	 -0.29549 	 16.07412
	 0.70625	 -0.51611	 0.93078	 0.54700	 404.75621	 -0.31494 	 16.91557
	 0.61294	 -0.01399	 0.93430	 0.03084	 354.11414	 0.00000 	 0.00000
	 0.53872	 -0.66781	 0.95043	 0.87236	 306.65392	 0.00000 	 0.88887
	 0.58477	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.26481
	 0.49219	 -0.84925	 0.93636	 0.87273	 308.33309	 -0.00000 	 1.42206
	 0.71452	 -0.56979	 0.76298	 0.58586	 317.54197	 -0.00000 	 0.54236
	 0.50583	 -0.83430	 0.78743	 0.61838	 319.86809	 -0.00000 	 2.95374
	 0.53872	 -0.66781	 0.95105	 0.83731	 306.65392	 0.00000 	 0.89012
	 0.49695	 -0.87745	 0.97578	 0.62630	 394.54383	 -0.09146 	 18.78834
	 0.70610	 -0.51611	 0.94517	 0.15222	 404.75621	 -0.32603 	 18.06901
	 0.73525	 -0.06100	 0.99188	 0.62607	 356.81192	 -0.00657 	 8.54991
	 0.70602	 -0.49740	 0.92663	 0.15222	 404.75621	 -0.31251 	 16.62805
	 0.70940	 -0.42132	 0.88198	 0.77286	 406.63352	 -0.25246 	 12.73099
	 0.63893	 -0.33571	 0.85236	 0.52923	 323.68125	 -0.00000 	 2.70544
	 0.55503	 -0.65979	 0.79376	 0.11237	 385.18968	 -0.06074 	 12.58613
	 0.42581	 -0.85938	 0.80881	 0.60977	 392.98126	 0.00954 	 10.65120
	 0.60953	 -0.58184	 0.92881	 0.44951	 387.46006	 -0.24322 	 18.94581
	 0.38762	 -0.14294	 0.97603	 0.40018	 404.80728	 -0.21048 	 36.99285
	 0.39792	 -0.53467	 0.94950	 0.08589	 409.81686	 -0.16006 	 25.40178
	 0.55503	 -0.82719	 0.79618	 0.13544	 363.22420	 -0.02811 	 9.22627
	 0.60155	 -0.31489	 0.88871	 0.37562	 386.58617	 -0.10690 	 15.45265
	 0.73472	 -0.46726	 0.82612	 0.79074	 392.87127	 -0.13198 	 6.04081
	 0.72853	 -0.46453	 0.82610	 0.79074	 325.51994	 0.00000 	 1.41794
	 0.58044	 -0.70623	 0.82610	 0.78808	 400.77088	 0.00935 	 7.10490
	 0.73848	 -0.44753	 0.92725	 0.47050	 370.29198	 -0.08011 	 8.36276
	 0.42531	 -0.33307	 0.88158	 0.04825	 396.23364	 -0.28571 	 28.17543
	 0.59102	 -0.70588	 0.92725	 0.46784	 362.19143	 -0.06591 	 12.82465
	 0.56821	 -0.40312	 0.88198	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.46780	 -0.51562	 0.92884	 0.72765	 310.19927	 -0.00000 	 1.99901
	 0.71277	 -0.36597	 0.88375	 0.87273	 406.17953	 -0.21712 	 12.21596
	 0.48919	 -0.86157	 0.93459	 0.77286	 308.33309	 -0.00000 	 1.42594
	 0.70947	 -0.41604	 0.88198	 0.07980	 406.63352	 -0.27690 	 13.04501
	 0.50439	 -0.34096	 0.78303	 0.77030	 385.18968	 0.00911 	 7.57604
	 0.55503	 -0.34125	 0.88453	 0.11237	 385.18968	 -0.16054 	 17.77577
	 0.56821	 -0.40602	 0.79080	 0.77286	 411.51605	 0.00917 	 6.13030
	 0.70610	 -0.51611	 0.94807	 0.15234	 404.75621	 -0.32792 	 18.28244
	 0.72251	 -0.51611	 0.93051	 0.14713	 403.00072	 -0.28066 	 15.23447
	 0.71309	 -0.44771	 0.92725	 0.58943	 317.78844	 -0.00000 	 1.93290
	 0.73991	 -0.56960	 0.76298	 0.46693	 370.22644	 -0.01892 	 1.69664
	 0.70569	 -0.46507	 0.93041	 0.15222	 406.89099	 -0.32773 	 17.26171
	 0.72908	 -0.51557	 0.82647	 0.79074	 400.77088	 -0.17002 	 7.12856
	 0.56915	 -0.43624	 0.82610	 0.77251	 411.93385	 0.00994 	 7.14122
	 0.73365	 -0.40485	 0.88198	 0.79109	 400.75663	 -0.19264 	 10.21675
	 0.42531	 -0.32947	 0.88158	 0.07486	 398.77903	 -0.28655 	 28.46299
	 0.68522	 -0.57338	 0.76298	 0.55943	 317.72285	 0.00000 	 0.77637
	 0.73488	 -0.51611	 0.88406	 0.62683	 398.68313	 -0.20915 	 10.43382
	 0.42531	 -0.33307	 0.92829	 0.08850	 404.85211	 -0.22229 	 27.24938
	 0.49219	 -0.40880	 0.93636	 0.77747	 308.33309	 -0.00000 	 1.41479
	 0.56821	 -0.83806	 0.88198	 0.86812	 411.51605	 -0.29705 	 20.63837
	 0.64975	 -0.05336	 0.91821	 0.32748	 325.53714	 0.00000 	 0.00000
	 0.71269	 -0.51611	 0.92555	 0.14725	 403.00072	 -0.29222 	 15.70083
