Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.97
Distance				0.3
Reflected temperature				24
Location X				42
Location Y				6
Size X				260
Size Y				225
Surface (pixels)				58500

Date	Time	Milliseconds	Relative time	Bx1.Max.
25/07/2016	17:32:22	644	0	25,8163747066
25/07/2016	17:32:22	933	0,289	25,8213184868906
25/07/2016	17:32:23	340	0,696	25,9596547902271
25/07/2016	17:32:23	661	1,017	25,9003889604152
25/07/2016	17:32:23	814	1,17	25,9448413047563
25/07/2016	17:32:24	237	1,593	25,9547171817773
25/07/2016	17:32:24	429	1,785	25,9102688008626
25/07/2016	17:32:24	634	1,99	25,9152083906339
25/07/2016	17:32:24	848	2,204	25,8064864834552
25/07/2016	17:32:24	944	2,3	25,8855675470462
25/07/2016	17:32:25	096	2,452	25,8064864834552
25/07/2016	17:32:25	477	2,833	25,9300258384864
25/07/2016	17:32:25	629	2,985	25,9695293471501
25/07/2016	17:32:25	961	3,317	25,8658025762973
25/07/2016	17:32:26	215	3,571	25,9497793532967
25/07/2016	17:32:26	341	3,697	25,9794030242975
25/07/2016	17:32:26	728	4,084	25,9003889604152
25/07/2016	17:32:26	916	4,272	25,9152083906339
25/07/2016	17:32:27	251	4,607	25,9744662956813
25/07/2016	17:32:27	380	4,736	25,9448413047563
25/07/2016	17:32:27	509	4,865	25,9053289907994
25/07/2016	17:32:28	130	5,486	25,964592178675
25/07/2016	17:32:28	412	5,768	26,0238236904482
25/07/2016	17:32:28	742	6,098	25,9399030361272
25/07/2016	17:32:29	381	6,737	25,9053289907994
25/07/2016	17:32:29	482	6,838	25,8806266350875
25/07/2016	17:32:29	910	7,266	25,9448413047563
25/07/2016	17:32:30	079	7,435	25,8608607822989
25/07/2016	17:32:30	435	7,791	25,9448413047563
25/07/2016	17:32:30	605	7,961	25,8559187677179
25/07/2016	17:32:30	779	8,135	25,964592178675
25/07/2016	17:32:31	158	8,514	25,964592178675
25/07/2016	17:32:31	297	8,653	25,8509765325251
25/07/2016	17:32:31	466	8,822	25,8658025762973
25/07/2016	17:32:31	640	8,996	25,8707441497421
25/07/2016	17:32:31	886	9,242	25,9596547902271
