Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.97
Distance				0.4
Reflected temperature				24
Location X				80
Location Y				21
Size X				190
Size Y				209
Surface (pixels)				39710

Date	Time	Milliseconds	Relative time	Bx1.Max.
19/07/2016	13:45:37	231	0	26,1108043337176
19/07/2016	13:45:37	567	0,336	26,0936831945112
19/07/2016	13:45:37	741	0,51	26,07655933595
19/07/2016	13:45:38	121	0,89	26,0423034557028
19/07/2016	13:45:38	236	1,005	26,0423034557028
19/07/2016	13:45:38	483	1,252	26,0423034557028
19/07/2016	13:45:38	823	1,592	26,1621514478404
19/07/2016	13:45:39	235	2,004	26,07655933595
19/07/2016	13:45:39	385	2,154	26,0594327567691
19/07/2016	13:45:39	562	2,331	26,07655933595
19/07/2016	13:45:39	868	2,637	26,0936831945112
19/07/2016	13:45:40	052	2,821	26,0936831945112
19/07/2016	13:45:40	408	3,177	26,07655933595
19/07/2016	13:45:40	636	3,405	26,1450384591198
19/07/2016	13:45:40	788	3,557	26,0936831945112
19/07/2016	13:45:41	221	3,99	26,0594327567691
19/07/2016	13:45:41	378	4,147	26,0251714314846
19/07/2016	13:45:41	755	4,524	25,9908992085214
19/07/2016	13:45:42	102	4,871	26,0594327567691
19/07/2016	13:45:42	329	5,098	25,9908992085214
19/07/2016	13:45:42	672	5,441	26,0251714314846
19/07/2016	13:45:42	887	5,656	26,0423034557028
19/07/2016	13:45:43	194	5,963	26,0251714314846
19/07/2016	13:45:43	621	6,39	26,2476757020522
19/07/2016	13:45:43	731	6,5	26,1450384591198
19/07/2016	13:45:44	194	6,963	26,1450384591198
19/07/2016	13:45:44	344	7,113	26,196369283626
19/07/2016	13:45:44	515	7,284	26,1279227548328
19/07/2016	13:45:44	840	7,609	26,0594327567691
19/07/2016	13:45:45	088	7,857	26,1108043337176
19/07/2016	13:45:45	451	8,22	26,07655933595
19/07/2016	13:45:45	542	8,311	26,0594327567691
19/07/2016	13:45:45	712	8,481	26,1279227548328
19/07/2016	13:45:46	135	8,904	26,0594327567691
19/07/2016	13:45:46	511	9,28	26,1279227548328
19/07/2016	13:45:46	933	9,702	26,1450384591198
19/07/2016	13:45:47	287	10,056	26,1450384591198
19/07/2016	13:45:47	416	10,185	26,07655933595
19/07/2016	13:45:47	769	10,538	26,1108043337176
19/07/2016	13:45:48	025	10,794	26,1279227548328
19/07/2016	13:45:48	165	10,934	26,1108043337176
19/07/2016	13:45:48	811	11,58	26,1621514478404
19/07/2016	13:45:48	898	11,667	26,0594327567691
19/07/2016	13:45:49	084	11,853	26,0251714314846
19/07/2016	13:45:49	500	12,269	26,008036682847
19/07/2016	13:45:50	066	12,835	26,0423034557028
19/07/2016	13:45:50	313	13,082	26,07655933595
19/07/2016	13:45:50	395	13,164	26,07655933595
19/07/2016	13:45:50	612	13,381	26,07655933595
19/07/2016	13:45:51	000	13,769	26,1108043337176
19/07/2016	13:45:51	299	14,068	26,07655933595
19/07/2016	13:45:51	587	14,356	26,0594327567691
19/07/2016	13:45:51	781	14,55	26,0936831945112
19/07/2016	13:45:52	162	14,931	26,0423034557028
19/07/2016	13:45:52	427	15,196	26,0936831945112
19/07/2016	13:45:52	581	15,35	26,1108043337176
19/07/2016	13:45:52	986	15,755	26,0594327567691
19/07/2016	13:45:53	222	15,991	26,0594327567691
19/07/2016	13:45:53	605	16,374	26,1279227548328
19/07/2016	13:45:53	916	16,685	26,1108043337176
19/07/2016	13:45:54	161	16,93	26,1279227548328
19/07/2016	13:45:54	600	17,369	26,196369283626
19/07/2016	13:45:54	749	17,518	26,2134741332102
19/07/2016	13:45:54	955	17,724	26,2134741332102
19/07/2016	13:45:55	372	18,141	26,1792617222558
19/07/2016	13:45:55	669	18,438	26,1450384591198
19/07/2016	13:45:55	776	18,545	26,1108043337176
19/07/2016	13:45:55	948	18,717	26,1108043337176
19/07/2016	13:45:56	444	19,213	26,0594327567691
19/07/2016	13:45:56	656	19,425	26,0251714314846
19/07/2016	13:45:56	833	19,602	26,1108043337176
19/07/2016	13:45:57	202	19,971	26,1792617222558
19/07/2016	13:45:57	484	20,253	26,07655933595
19/07/2016	13:45:57	842	20,611	26,0936831945112
19/07/2016	13:45:57	948	20,717	26,1450384591198
19/07/2016	13:45:58	367	21,136	26,1450384591198
19/07/2016	13:45:58	487	21,256	26,1621514478404
19/07/2016	13:45:58	892	21,661	26,1450384591198
19/07/2016	13:45:59	371	22,14	26,1792617222558
19/07/2016	13:45:59	480	22,249	26,1621514478404
19/07/2016	13:45:59	876	22,645	26,2647724238237
19/07/2016	13:46:00	237	23,006	26,0936831945112
19/07/2016	13:46:00	407	23,176	26,1621514478404
19/07/2016	13:46:00	567	23,336	26,2134741332102
19/07/2016	13:46:00	908	23,677	26,2134741332102
19/07/2016	13:46:01	066	23,835	26,196369283626
19/07/2016	13:46:01	263	24,032	26,2305762722665
19/07/2016	13:46:01	416	24,185	26,196369283626
19/07/2016	13:46:01	640	24,409	26,1108043337176
19/07/2016	13:46:01	751	24,52	26,1279227548328
19/07/2016	13:46:02	018	24,787	26,1279227548328
19/07/2016	13:46:02	335	25,104	26,0936831945112
19/07/2016	13:46:02	623	25,392	26,1450384591198
19/07/2016	13:46:02	741	25,51	26,07655933595
19/07/2016	13:46:02	897	25,666	26,07655933595
19/07/2016	13:46:03	151	25,92	26,0936831945112
19/07/2016	13:46:03	377	26,146	26,0423034557028
19/07/2016	13:46:03	685	26,454	26,1279227548328
19/07/2016	13:46:03	768	26,537	26,1279227548328
19/07/2016	13:46:03	967	26,736	26,1621514478404
19/07/2016	13:46:04	304	27,073	26,1450384591198
19/07/2016	13:46:04	537	27,306	26,1108043337176
19/07/2016	13:46:04	695	27,464	26,1450384591198
19/07/2016	13:46:05	017	27,786	26,0936831945112
19/07/2016	13:46:05	286	28,055	26,1279227548328
19/07/2016	13:46:05	805	28,574	26,196369283626
19/07/2016	13:46:06	043	28,812	26,1279227548328
19/07/2016	13:46:06	120	28,889	26,1621514478404
19/07/2016	13:46:06	400	29,169	26,1279227548328
19/07/2016	13:46:06	539	29,308	26,1279227548328
19/07/2016	13:46:06	911	29,68	26,1792617222558
19/07/2016	13:46:07	207	29,976	26,1621514478404
19/07/2016	13:46:07	363	30,132	26,1792617222558
19/07/2016	13:46:07	724	30,493	26,1450384591198
19/07/2016	13:46:08	086	30,855	26,1450384591198
19/07/2016	13:46:08	212	30,981	26,1279227548328
19/07/2016	13:46:08	497	31,266	26,1108043337176
19/07/2016	13:46:08	643	31,412	26,1108043337176
19/07/2016	13:46:09	016	31,785	26,1450384591198
19/07/2016	13:46:09	159	31,928	26,1108043337176
19/07/2016	13:46:09	537	32,306	26,2989577483451
19/07/2016	13:46:09	537	32,306	26,2989577483451
19/07/2016	13:46:09	537	32,306	26,2989577483451
19/07/2016	13:46:12	405	35,174	26,0251714314846
19/07/2016	13:46:12	535	35,304	26,1108043337176
19/07/2016	13:46:12	947	35,716	26,0594327567691
19/07/2016	13:46:13	148	35,917	26,0423034557028
19/07/2016	13:46:13	333	36,102	26,0594327567691
19/07/2016	13:46:13	703	36,472	26,2305762722665
19/07/2016	13:46:14	206	36,975	26,1279227548328
19/07/2016	13:46:14	443	37,212	26,1108043337176
19/07/2016	13:46:14	735	37,504	26,2134741332102
19/07/2016	13:46:14	933	37,702	26,1792617222558
19/07/2016	13:46:15	245	38,014	26,1792617222558
19/07/2016	13:46:15	374	38,143	26,1279227548328
19/07/2016	13:46:15	568	38,337	26,07655933595
19/07/2016	13:46:15	935	38,704	26,0594327567691
19/07/2016	13:46:16	073	38,842	26,07655933595
19/07/2016	13:46:16	307	39,076	26,0251714314846
19/07/2016	13:46:16	654	39,423	26,1450384591198
19/07/2016	13:46:16	873	39,642	26,1621514478404
19/07/2016	13:46:17	172	39,941	26,0936831945112
19/07/2016	13:46:17	529	40,298	26,008036682847
19/07/2016	13:46:17	751	40,52	26,0594327567691
19/07/2016	13:46:17	919	40,688	26,07655933595
19/07/2016	13:46:18	083	40,852	26,0423034557028
19/07/2016	13:46:18	288	41,057	26,1108043337176
19/07/2016	13:46:18	666	41,435	26,0423034557028
19/07/2016	13:46:18	998	41,767	26,0251714314846
19/07/2016	13:46:19	290	42,059	26,0251714314846
19/07/2016	13:46:19	697	42,466	25,9908992085214
19/07/2016	13:46:19	969	42,738	25,9908992085214
19/07/2016	13:46:20	119	42,888	25,9908992085214
19/07/2016	13:46:20	337	43,106	26,0251714314846
19/07/2016	13:46:20	452	43,221	25,9908992085214
19/07/2016	13:46:20	666	43,435	25,9908992085214
19/07/2016	13:46:20	982	43,751	26,008036682847
19/07/2016	13:46:21	115	43,884	26,0423034557028
19/07/2016	13:46:21	308	44,077	26,008036682847
19/07/2016	13:46:21	565	44,334	25,9737590072384
19/07/2016	13:46:22	525	45,294	26,008036682847
19/07/2016	13:46:22	869	45,638	25,8365390738671
19/07/2016	13:46:23	136	45,905	25,8193742726883
19/07/2016	13:46:23	375	46,144	25,8193742726883
19/07/2016	13:46:23	516	46,285	25,7850364499405
19/07/2016	13:46:23	901	46,67	25,7850364499405
19/07/2016	13:46:24	201	46,97	25,802206731806
19/07/2016	13:46:24	503	47,272	25,8365390738671
19/07/2016	13:46:24	659	47,428	25,8365390738671
19/07/2016	13:46:25	062	47,831	25,8537011366213
19/07/2016	13:46:25	283	48,052	25,9223220289367
19/07/2016	13:46:25	448	48,217	25,8537011366213
19/07/2016	13:46:25	832	48,601	25,8365390738671
19/07/2016	13:46:26	014	48,783	25,8880170519669
19/07/2016	13:46:26	280	49,049	25,9051709071111
19/07/2016	13:46:26	633	49,402	25,870860462229
19/07/2016	13:46:26	904	49,673	25,870860462229
19/07/2016	13:46:27	132	49,901	25,8193742726883
19/07/2016	13:46:27	320	50,089	25,9051709071111
19/07/2016	13:46:27	547	50,316	25,8880170519669
19/07/2016	13:46:27	652	50,421	25,8880170519669
19/07/2016	13:46:27	880	50,649	25,9394704187178
19/07/2016	13:46:28	369	51,138	25,870860462229
19/07/2016	13:46:28	494	51,263	25,9051709071111
19/07/2016	13:46:28	684	51,453	25,9051709071111
19/07/2016	13:46:28	833	51,602	25,8880170519669
19/07/2016	13:46:29	988	52,757	26,0594327567691
19/07/2016	13:46:30	126	52,895	26,0423034557028
19/07/2016	13:46:30	339	53,108	25,9737590072384
19/07/2016	13:46:30	929	53,698	26,008036682847
19/07/2016	13:46:31	211	53,98	26,0594327567691
19/07/2016	13:46:31	454	54,223	26,1279227548328
19/07/2016	13:46:31	877	54,646	26,1450384591198
19/07/2016	13:46:32	449	55,218	26,2818664388366
19/07/2016	13:46:32	524	55,293	26,4697223160339
19/07/2016	13:46:32	935	55,704	26,4526579927718
19/07/2016	13:46:33	284	56,053	26,6742845924766
19/07/2016	13:46:33	648	56,417	26,742386251561
19/07/2016	13:46:34	006	56,775	26,8274532150904
19/07/2016	13:46:34	203	56,972	26,8784613932841
19/07/2016	13:46:34	523	57,292	26,9464350328334
19/07/2016	13:46:34	681	57,45	27,0313423023644
19/07/2016	13:46:34	891	57,66	27,0483157977882
19/07/2016	13:46:35	287	58,056	27,116183291678
19/07/2016	13:46:35	651	58,42	27,2348496143241
19/07/2016	13:46:35	849	58,618	27,3364607581414
19/07/2016	13:46:36	115	58,884	27,3364607581414
19/07/2016	13:46:36	686	59,455	27,7250954619341
19/07/2016	13:46:36	878	59,647	27,8431016997745
19/07/2016	13:46:37	294	60,063	28,1123536063996
19/07/2016	13:46:37	477	60,246	28,2467320361266
19/07/2016	13:46:38	136	60,905	28,4479919422795
19/07/2016	13:46:38	387	61,156	28,632157281695
19/07/2016	13:46:38	556	61,325	28,665608828213
19/07/2016	13:46:38	738	61,507	28,7993136067037
19/07/2016	13:46:39	351	62,12	28,9995675436983
19/07/2016	13:46:39	739	62,508	29,2493759088874
19/07/2016	13:46:39	887	62,656	29,2493759088874
19/07/2016	13:46:40	456	63,225	29,4322112406207
19/07/2016	13:46:40	737	63,506	29,4986221530187
19/07/2016	13:46:40	912	63,681	29,5649933563409
19/07/2016	13:46:41	151	63,92	29,6479016260275
19/07/2016	13:46:41	425	64,194	29,6644758595911
