xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.74106	 -0.60196	 0.79472	 0.31282	 0.49537	 0.70899	 0.97155	 -0.04314	 -0.23214
	 0.62754	 -0.13551	 0.92195	 0.66269	 0.71256	 -0.83464	 0.90776	 -0.86577	 0.00000
	 0.39840	 -0.87611	 0.83025	 0.32851	 0.65586	 0.87591	 0.79429	 -0.36083	 0.00000
	 0.66552	 -0.05072	 0.83328	 0.39010	 0.40860	 0.27015	 0.84499	 -0.72311	 0.00000
	 0.56563	 -0.62180	 0.85465	 0.00560	 0.65856	 -0.74786	 0.94261	 -0.52350	 -0.14650
	 0.55183	 -0.85382	 0.94555	 0.59514	 0.54915	 -0.38559	 0.91396	 -0.86653	 -0.12889
	 0.53008	 -0.08822	 0.80270	 0.13226	 0.41600	 0.47729	 0.91789	 -0.31879	 0.00000
	 0.48118	 -0.62178	 0.87841	 0.25181	 0.51990	 0.54192	 0.79802	 -0.78981	 0.00000
	 0.42182	 -0.77657	 0.95599	 0.45430	 0.54954	 -0.73182	 0.83357	 -0.42956	 -0.08008
	 0.54493	 -0.76650	 0.95340	 0.68588	 0.65641	 -0.50759	 0.95633	 -0.52867	 -0.14080
	 0.54493	 -0.76944	 0.95590	 0.45945	 0.66396	 -0.50759	 0.82132	 -0.41906	 -0.13548
	 0.42182	 -0.77657	 0.95484	 0.65702	 0.54100	 -0.73182	 0.96838	 -0.59695	 -0.10343
	 0.67855	 -0.75098	 0.87937	 0.71953	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.35624
	 0.56816	 -0.60062	 0.98797	 0.31830	 0.71954	 -0.71962	 0.92595	 -0.23563	 -0.02050
	 0.56566	 -0.26315	 0.85437	 0.10163	 0.65135	 -0.35533	 0.98955	 -0.27786	 0.00000
	 0.54929	 -0.62651	 0.85810	 0.71057	 0.42791	 -0.74786	 0.93455	 -0.52350	 0.00000
	 0.55425	 -0.70948	 0.78410	 0.45558	 0.57799	 -0.12542	 0.86870	 -0.81004	 0.00000
	 0.63130	 -0.87760	 0.91727	 0.34573	 0.49924	 -0.18687	 0.86641	 -0.87598	 -0.16074
	 0.52265	 -0.84531	 0.96905	 0.41172	 0.52201	 0.22812	 0.79517	 -0.87976	 -0.06175
	 0.51199	 -0.76200	 0.81971	 0.86995	 0.49298	 0.77935	 0.88007	 -0.81768	 0.00000
	 0.66552	 -0.04909	 0.80243	 0.38409	 0.39921	 0.28543	 0.83984	 -0.72311	 0.00000
	 0.46278	 -0.68322	 0.90204	 0.79959	 0.58543	 -0.66058	 0.89039	 -0.34815	 0.00000
	 0.57035	 -0.60509	 0.96407	 0.32414	 0.62192	 -0.71962	 0.91858	 -0.23563	 -0.15325
	 0.59051	 -0.39300	 0.98879	 0.00639	 0.71961	 -0.38825	 0.99461	 -0.60544	 -0.15991
	 0.67822	 -0.58026	 0.79649	 0.58079	 0.46801	 0.77331	 0.79372	 -0.04947	 0.00000
	 0.41314	 -0.84079	 0.83090	 0.32851	 0.63172	 -0.33708	 0.89248	 -0.36807	 0.00000
	 0.59051	 -0.39300	 0.98879	 0.00639	 0.70270	 -0.38825	 0.99461	 -0.60544	 -0.18601
	 0.42182	 -0.77491	 0.95599	 0.45430	 0.54954	 -0.73182	 0.83357	 -0.42956	 -0.08176
	 0.74106	 -0.57809	 0.78808	 0.32458	 0.50208	 0.70899	 0.96363	 -0.88097	 -0.24417
	 0.52265	 -0.88724	 0.97288	 0.41172	 0.52201	 0.52462	 0.79419	 -0.05295	 0.00000
	 0.63130	 -0.87760	 0.79912	 0.30416	 0.49769	 -0.18283	 0.97365	 -0.03669	 0.00000
