l_s	l_l	R	theta	
	 0.26103	 0.42699	 0.00446	 0.18687
	 0.24810	 0.16133	 0.00266	 11.18310
	 0.12899	 0.48398	 0.00502	 0.19905
	 0.28812	 0.19129	 0.02400	 0.47961
	 0.11131	 0.13737	 0.00580	 0.22371
	 0.32976	 0.42816	 0.00475	 0.19827
	 0.38096	 0.49098	 0.00421	 6.55616
	 0.34153	 0.46294	 0.00538	 0.21636
	 0.12899	 0.27261	 0.00601	 0.23554
	 0.10973	 0.18474	 0.00514	 0.20088
	 0.26103	 0.42699	 0.00446	 0.18687
	 0.33963	 0.42816	 0.00497	 0.20786
	 0.11786	 0.19145	 0.02227	 0.22365
	 0.28870	 0.13737	 0.00580	 0.22838
	 0.17466	 0.49147	 0.00493	 0.19678
	 0.26103	 0.49606	 0.00382	 5.49547
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.15517	 0.48398	 0.00502	 0.19978
	 0.13024	 0.19129	 0.02371	 0.23221
	 0.10973	 0.18474	 0.00514	 0.20088
	 0.35593	 0.49098	 0.00499	 0.20841
	 0.10923	 0.15994	 0.02468	 0.18889
	 0.37754	 0.49098	 0.00331	 11.00495
	 0.11849	 0.49294	 0.00579	 0.22807
	 0.33991	 0.42816	 0.00475	 0.19813
	 0.33963	 0.45207	 0.00497	 0.20794
	 0.26357	 0.42816	 0.00446	 4.39407
	 0.10923	 0.19129	 0.02423	 0.19249
	 0.15517	 0.48398	 0.00502	 0.19978
	 0.36531	 0.47905	 0.00522	 0.21884
	 0.11223	 0.48398	 0.00526	 0.20758
	 0.36035	 0.49098	 0.00493	 0.20563
	 0.37606	 0.48693	 0.00481	 0.20014
	 0.12945	 0.48693	 0.00481	 0.19108
	 0.35732	 0.48431	 0.00493	 0.20566
	 0.26416	 0.42699	 0.00493	 0.19768
	 0.37916	 0.49267	 0.00446	 5.85037
	 0.33904	 0.42816	 0.00475	 0.19814
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.25410	 0.43100	 0.00383	 0.15887
	 0.10970	 0.48412	 0.00492	 0.19469
	 0.15264	 0.47127	 0.00475	 0.18932
	 0.35610	 0.49856	 0.00494	 0.20601
	 0.26103	 0.42823	 0.00378	 5.59759
	 0.25518	 0.42693	 0.00490	 0.19671
	 0.38259	 0.49147	 0.00483	 0.20121
	 0.16990	 0.48277	 0.00481	 0.19201
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.24952	 0.42816	 0.00446	 0.17948
	 0.10923	 0.15608	 0.02468	 0.18884
	 0.28106	 0.42699	 0.00446	 0.18644
	 0.10923	 0.19129	 0.02399	 0.19430
	 0.10923	 0.19129	 0.02424	 0.19244
	 0.15517	 0.48398	 0.00481	 0.19201
	 0.37606	 0.48592	 0.00501	 0.20913
	 0.12875	 0.48398	 0.00502	 0.19904
	 0.15541	 0.48398	 0.00502	 0.19978
	 0.25822	 0.45427	 0.00382	 0.15855
	 0.10792	 0.18586	 0.02400	 0.19198
	 0.27065	 0.48277	 0.00474	 0.19066
	 0.41013	 0.39118	 0.00301	 15.38117
	 0.12899	 0.46153	 0.00147	 17.30010
	 0.26103	 0.42816	 0.00403	 0.16792
	 0.37606	 0.48707	 0.00481	 0.20014
	 0.37606	 0.48263	 0.00481	 0.20013
	 0.25525	 0.42978	 0.00384	 0.15955
	 0.26097	 0.38839	 0.00444	 0.18576
	 0.36869	 0.48417	 0.00231	 22.58842
	 0.16259	 0.48573	 0.00481	 0.19184
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.25518	 0.46081	 0.00382	 0.15860
	 0.10486	 0.18457	 0.00586	 0.22711
	 0.10923	 0.19145	 0.02400	 0.19425
	 0.26099	 0.35037	 0.00444	 0.18563
	 0.24950	 0.42818	 0.00344	 6.32339
	 0.25410	 0.43100	 0.00383	 0.15887
	 0.16259	 0.48573	 0.00481	 0.19184
	 0.16017	 0.48693	 0.00481	 0.19183
	 0.16574	 0.49144	 0.00481	 0.19195
	 0.26103	 0.42816	 0.00446	 0.18687
	 0.25743	 0.42816	 0.00426	 0.17813
	 0.25486	 0.42816	 0.00579	 0.23189
