xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.74229	 -0.18763	 0.75786	 0.86132	 0.65562	 -0.63380	 0.89311	 -0.45857	 349.93830	 0.00577 	 1.05043
	 0.69467	 -0.03032	 0.82835	 0.39988	 0.43309	 -0.74912	 0.90649	 -0.42101	 390.67907	 0.00950 	 4.07634
	 0.69005	 -0.69301	 0.95978	 0.39439	 0.67386	 0.53241	 0.96357	 -0.67622	 390.56537	 -0.22931 	 13.52489
	 0.51025	 -0.27896	 0.92680	 0.77710	 0.40873	 0.15449	 0.92597	 -0.72708	 354.15782	 -0.00263 	 13.18106
	 0.59622	 -0.82568	 0.81694	 0.71062	 0.61618	 -0.45058	 0.81541	 -0.47222	 344.32301	 0.00000 	 0.00000
	 0.54533	 -0.31854	 0.84242	 0.01249	 0.44108	 0.12341	 0.76532	 -0.75824	 331.73050	 0.00000 	 5.21477
	 0.49328	 -0.13405	 0.87653	 0.70695	 0.69259	 0.32495	 0.90763	 -0.75469	 393.11914	 0.00961 	 10.20895
	 0.45374	 -0.16915	 0.85406	 0.87814	 0.40922	 0.43350	 0.91012	 -0.28070	 339.72837	 0.00037 	 9.00348
	 0.49280	 -0.85942	 0.80794	 0.11550	 0.71452	 0.84774	 0.79979	 -0.51011	 364.29490	 -0.07313 	 12.34305
	 0.46021	 -0.46406	 0.99222	 0.19579	 0.71525	 0.84767	 0.91756	 -0.12238	 394.30975	 -0.14706 	 19.13795
	 0.59687	 -0.87202	 0.81465	 0.00161	 0.61449	 -0.45058	 0.81541	 -0.46977	 344.32301	 -0.00383 	 5.61510
	 0.73305	 -0.35642	 0.85395	 0.30282	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05182 	 5.03647
	 0.56340	 -0.30882	 0.95978	 0.40109	 0.43410	 0.56544	 0.96357	 -0.61186	 354.53718	 -0.07330 	 11.13130
	 0.69217	 -0.67082	 0.77515	 0.78439	 0.72013	 -0.10355	 0.90006	 -0.61226	 391.65886	 0.00964 	 2.73817
	 0.38014	 -0.14957	 0.92179	 0.57104	 0.37958	 0.42450	 0.82659	 -0.18285	 334.91435	 0.00000 	 0.00000
	 0.40638	 -0.25744	 0.95883	 0.85875	 0.71291	 0.23053	 0.81979	 -0.60782	 398.89273	 0.00000 	 0.00000
	 0.56872	 -0.38145	 0.91150	 0.18375	 0.59892	 -0.55860	 0.93986	 -0.60803	 397.57275	 -0.17444 	 16.63240
	 0.59684	 -0.52706	 0.91432	 0.01470	 0.54679	 -0.61103	 0.84649	 -0.12709	 349.70732	 -0.01572 	 9.20744
	 0.63506	 -0.86897	 0.91113	 0.18829	 0.46025	 -0.67943	 0.82957	 -0.36012	 357.78188	 -0.04338 	 9.77149
	 0.72483	 -0.40180	 0.84141	 0.21346	 0.40500	 0.83039	 0.79964	 -0.60980	 314.99361	 0.00000 	 0.85711
	 0.50842	 -0.25956	 0.91285	 0.30805	 0.66783	 0.15449	 0.92596	 -0.72769	 390.18601	 0.00991 	 12.54430
	 0.47277	 -0.41967	 0.78683	 0.76298	 0.69915	 -0.69690	 0.92724	 -0.80217	 303.97182	 0.00000 	 0.15980
	 0.74461	 -0.76473	 0.76314	 0.40645	 0.43084	 -0.64639	 0.89243	 -0.45189	 339.51656	 -0.00008 	 0.92079
	 0.55168	 -0.02344	 0.85033	 0.09692	 0.63437	 -0.77556	 0.96008	 -0.21335	 411.88157	 0.00000 	 0.00000
	 0.50270	 -0.30621	 0.96354	 0.59625	 0.63794	 -0.58445	 0.93044	 -0.32933	 313.47464	 -0.00000 	 2.92038
	 0.42960	 -0.28071	 0.84252	 0.38532	 0.55505	 -0.10204	 0.93755	 -0.82480	 340.80405	 0.00056 	 9.55779
	 0.59458	 -0.52704	 0.91152	 0.01464	 0.72359	 -0.55961	 0.85703	 -0.12753	 398.05312	 -0.24317 	 16.83858
	 0.47349	 -0.46408	 0.99222	 0.23432	 0.52950	 0.78909	 0.91588	 -0.11517	 394.30975	 -0.14911 	 17.30365
	 0.60968	 -0.66273	 0.78992	 0.20523	 0.55238	 0.62584	 0.82047	 -0.45618	 383.75269	 0.00000 	 0.00000
	 0.68388	 -0.05957	 0.91189	 0.83014	 0.55745	 0.01098	 0.97043	 -0.63102	 378.33586	 0.00270 	 7.14012
	 0.67896	 -0.78800	 0.94109	 0.48805	 0.60354	 0.06997	 0.90449	 -0.38423	 394.58914	 0.00000 	 0.00000
	 0.45596	 -0.57406	 0.89690	 0.37229	 0.62642	 -0.14284	 0.82476	 -0.09263	 403.07189	 -0.24586 	 24.18034
	 0.68707	 -0.00009	 0.76806	 0.30487	 0.48982	 0.39848	 0.90687	 -0.31862	 382.78190	 0.00961 	 2.42847
	 0.53135	 -0.50589	 0.94659	 0.70657	 0.56381	 -0.18833	 0.76913	 -0.14495	 307.99466	 0.00000 	 1.23713
	 0.47330	 -0.27862	 0.82485	 0.60594	 0.63967	 -0.59523	 0.92721	 -0.29401	 304.23001	 0.00000 	 0.23362
	 0.50284	 -0.41967	 0.79122	 0.19187	 0.69743	 -0.09437	 0.93045	 -0.79377	 312.20731	 -0.00000 	 1.60886
	 0.40742	 -0.65871	 0.84975	 0.03212	 0.48482	 -0.48750	 0.77575	 -0.57560	 330.53019	 0.00000 	 7.45550
	 0.68919	 -0.27894	 0.96230	 0.40385	 0.41471	 0.54006	 0.96064	 -0.67561	 355.46653	 -0.06018 	 7.91429
	 0.58441	 -0.37071	 0.91431	 0.71994	 0.63827	 -0.35339	 0.78399	 -0.56327	 371.16714	 -0.15049 	 14.62135
	 0.49929	 -0.30621	 0.96354	 0.58873	 0.71222	 -0.58445	 0.93044	 -0.32933	 315.38540	 -0.00000 	 3.48646
	 0.74487	 -0.52706	 0.91251	 0.01470	 0.54679	 -0.55744	 0.85315	 -0.11504	 395.63757	 -0.14062 	 10.76295
	 0.59266	 -0.76473	 0.76247	 0.40645	 0.43084	 -0.64856	 0.89243	 -0.45201	 340.12042	 0.00041 	 4.00069
	 0.47277	 -0.41967	 0.79130	 0.41508	 0.71493	 -0.69690	 0.89311	 -0.80217	 303.97182	 0.00000 	 0.16143
	 0.74461	 -0.76473	 0.76314	 0.18325	 0.43084	 -0.64639	 0.92654	 -0.45189	 339.51656	 -0.00006 	 0.78923
	 0.67702	 -0.39149	 0.79045	 0.76298	 0.69809	 0.06552	 0.92731	 -0.39225	 396.08325	 0.00000 	 0.00000
	 0.47472	 -0.81617	 0.93746	 0.43843	 0.60460	 -0.69244	 0.90442	 -0.79415	 304.01040	 0.00000 	 0.24547
	 0.56643	 -0.80043	 0.85129	 0.05863	 0.56539	 0.50016	 0.96360	 -0.67638	 354.36962	 -0.10027 	 9.51472
	 0.68919	 -0.66773	 0.95404	 0.40385	 0.39725	 -0.59347	 0.97959	 -0.72151	 370.51807	 -0.07321 	 11.74882
	 0.70271	 -0.43881	 0.79190	 0.75138	 0.44595	 0.72824	 0.78962	 -0.75894	 364.62122	 0.00977 	 3.00692
	 0.47277	 -0.67769	 0.80695	 0.20555	 0.70223	 -0.69690	 0.93214	 -0.80217	 306.20182	 -0.00000 	 0.63031
	 0.50494	 -0.67274	 0.81495	 0.75425	 0.66493	 0.81476	 0.79339	 -0.72672	 390.30261	 0.00990 	 8.28258
	 0.70806	 -0.26867	 0.92658	 0.76506	 0.46584	 0.14826	 0.92712	 -0.78466	 366.25894	 -0.01386 	 8.66814
	 0.69005	 -0.57920	 0.89549	 0.39439	 0.67358	 0.53241	 0.82659	 -0.11899	 390.56537	 -0.20324 	 10.36998
	 0.45596	 -0.68787	 0.96120	 0.37229	 0.62670	 -0.14284	 0.95764	 -0.64988	 403.07189	 -0.13624 	 23.69811
	 0.65301	 -0.78709	 0.85338	 0.48805	 0.60088	 0.07556	 0.89893	 -0.20399	 412.22847	 0.00000 	 0.00000
	 0.58431	 -0.73908	 0.93804	 0.09692	 0.43024	 -0.78107	 0.96378	 -0.38692	 394.19527	 -0.09495 	 15.12422
	 0.63593	 -0.40619	 0.84151	 0.21696	 0.41001	 0.82095	 0.78931	 -0.61023	 312.53124	 0.00000 	 1.18932
	 0.58431	 -0.73818	 0.85024	 0.09499	 0.42591	 -0.77556	 0.95886	 -0.20625	 412.27350	 -0.10390 	 12.60555
	 0.73305	 -0.35642	 0.85395	 0.30282	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05182 	 5.03647
	 0.40742	 -0.26902	 0.85227	 0.24771	 0.48482	 -0.47985	 0.77276	 -0.57560	 335.97098	 0.00000 	 0.00000
	 0.73025	 -0.25672	 0.92180	 0.30282	 0.44683	 -0.31460	 0.76375	 -0.49147	 366.88332	 -0.05052 	 7.77216
	 0.51091	 -0.35926	 0.85896	 0.76763	 0.65165	 0.19789	 0.92597	 -0.66127	 390.18601	 0.00937 	 9.47657
	 0.49448	 -0.13383	 0.96420	 0.70097	 0.41859	 0.59814	 0.90763	 -0.61175	 393.11914	 0.00000 	 0.00000
	 0.56340	 -0.30906	 0.84977	 0.40629	 0.43397	 0.56224	 0.96357	 -0.75768	 354.53718	 0.00000 	 0.00000
	 0.56643	 -0.80043	 0.91170	 0.19318	 0.56458	 -0.68033	 0.82342	 -0.38775	 374.72676	 -0.17277 	 16.85005
	 0.72395	 -0.80883	 0.84498	 0.05216	 0.45838	 -0.62484	 0.96681	 -0.69466	 358.85940	 -0.02645 	 4.49447
	 0.73305	 -0.87893	 0.85395	 0.00683	 0.62221	 -0.45401	 0.76375	 -0.49042	 365.34447	 -0.05890 	 5.35014
	 0.59687	 -0.34743	 0.81465	 0.30118	 0.42293	 -0.26777	 0.81541	 -0.46977	 335.56683	 0.00000 	 0.00000
	 0.58209	 -0.35861	 0.85458	 0.71242	 0.68964	 -0.34830	 0.78401	 -0.56471	 369.72696	 0.00956 	 8.21385
	 0.73187	 -0.35642	 0.91368	 0.29659	 0.45352	 -0.27629	 0.76373	 -0.48898	 366.88332	 -0.06056 	 7.48713
	 0.65266	 -0.58335	 0.81694	 0.37680	 0.62674	 -0.43772	 0.82298	 -0.46977	 344.32301	 -0.00261 	 4.24483
	 0.66314	 -0.81640	 0.89690	 0.00342	 0.61397	 -0.15570	 0.81513	 -0.09263	 403.07189	 -0.20281 	 16.59732
	 0.60967	 -0.30882	 0.96026	 0.40109	 0.45105	 0.56544	 0.96392	 -0.61186	 384.46681	 -0.07827 	 10.29130
	 0.56342	 -0.66273	 0.78945	 0.20523	 0.55589	 0.62584	 0.82012	 -0.45618	 357.26702	 0.00000 	 0.00000
	 0.45596	 -0.57406	 0.91031	 0.16763	 0.62642	 -0.72982	 0.82476	 -0.09263	 403.07189	 -0.20430 	 20.87552
	 0.72395	 -0.77896	 0.89773	 0.39138	 0.45829	 -0.09245	 0.82703	 -0.36012	 358.75718	 -0.03002 	 6.32490
	 0.59458	 -0.52706	 0.91152	 0.01470	 0.54679	 -0.55961	 0.85315	 -0.11516	 396.24147	 -0.24365 	 18.63868
	 0.69005	 -0.69301	 0.95978	 0.39439	 0.67386	 0.53241	 0.96357	 -0.62255	 390.56537	 -0.22853 	 13.51616
	 0.65266	 -0.58275	 0.80645	 0.37680	 0.62674	 -0.70625	 0.82722	 -0.82717	 306.11736	 -0.00000 	 0.28641
	 0.47277	 -0.67828	 0.80430	 0.20555	 0.70223	 -0.42836	 0.94616	 -0.44476	 344.43245	 -0.00136 	 8.48473
	 0.69887	 -0.68775	 0.93295	 0.76498	 0.65673	 0.15449	 0.92597	 -0.74164	 390.08041	 -0.00148 	 5.15463
	 0.51226	 -0.25365	 0.80858	 0.76771	 0.46015	 0.80862	 0.79453	 -0.72599	 366.37554	 0.00960 	 7.87946
	 0.74461	 -0.65513	 0.76317	 0.20739	 0.42983	 0.57056	 0.89243	 -0.45189	 339.51656	 -0.00008 	 0.73721
	 0.56342	 -0.77233	 0.78432	 0.40429	 0.55690	 -0.56590	 0.82012	 -0.45618	 357.26702	 0.00989 	 6.73508
	 0.73305	 -0.87893	 0.85395	 0.00683	 0.55498	 0.60553	 0.76375	 -0.49042	 365.34447	 -0.05752 	 5.33732
	 0.60968	 -0.66273	 0.78992	 0.20523	 0.61961	 -0.43370	 0.82047	 -0.45970	 383.75269	 -0.04811 	 9.38051
	 0.68388	 -0.05769	 0.85039	 0.70006	 0.56457	 0.07383	 0.90645	 -0.62529	 378.33586	 0.00984 	 4.83505
	 0.49448	 -0.13571	 0.90648	 0.83625	 0.41134	 0.31838	 0.97161	 -0.76330	 393.11914	 0.00995 	 10.96807
	 0.68919	 -0.66773	 0.95891	 0.48828	 0.60292	 0.54175	 0.90193	 -0.40217	 354.53718	 -0.09081 	 9.26776
	 0.67896	 -0.78800	 0.94325	 0.40362	 0.41552	 0.06064	 0.96613	 -0.55517	 400.53263	 0.00000 	 0.00000
	 0.56112	 -0.30906	 0.84977	 0.40629	 0.43397	 0.56224	 0.96357	 -0.75768	 354.53718	 0.00000 	 0.00000
	 0.40638	 -0.25744	 0.95883	 0.85875	 0.71291	 0.23053	 0.81979	 -0.60782	 398.89273	 0.00000 	 0.00000
