xs-	ys-	xs+	ys+	theta	
	 0.70811	 -0.80181	 0.92720	 0.66670	 -0.28393
	 0.58596	 -0.78421	 0.88982	 0.55185	 -0.15349
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.50483	 -0.63800	 0.91396	 0.03210	 -0.12742
	 0.74343	 -0.72045	 0.82341	 0.58216	 0.00000
	 0.45410	 -0.78803	 0.96340	 0.70209	 -0.11748
	 0.67855	 -0.75098	 0.93376	 0.68833	 -0.23974
	 0.58596	 -0.85508	 0.89039	 0.55185	 -0.17178
	 0.56528	 -0.78029	 0.90299	 0.55185	 -0.14119
	 0.57721	 -0.81924	 0.93313	 0.55834	 -0.15429
	 0.71954	 -0.79550	 0.93409	 0.66437	 -0.33601
	 0.66496	 -0.75098	 0.87839	 0.66498	 -0.23715
	 0.71954	 -0.78787	 0.93405	 0.71309	 -0.34882
	 0.53990	 -0.64372	 0.95468	 0.59514	 -0.12076
	 0.57198	 -0.85280	 0.91548	 0.03347	 -0.13890
	 0.56745	 -0.89436	 0.91703	 0.37461	 -0.14612
	 0.45997	 -0.72224	 0.85298	 0.08904	 0.00000
	 0.56521	 -0.74928	 0.93436	 0.49885	 -0.15740
	 0.74025	 -0.89417	 0.91468	 0.62303	 -0.28003
	 0.73839	 -0.21927	 0.78944	 0.23567	 0.00000
	 0.74114	 -0.67607	 0.84339	 0.58563	 -0.24269
	 0.71954	 -0.80981	 0.93307	 0.63211	 -0.31650
	 0.74283	 -0.72944	 0.94097	 0.23210	 -0.36284
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.69928	 -0.75098	 0.87937	 0.70388	 -0.35064
	 0.74330	 -0.74803	 0.93240	 0.19983	 -0.34221
	 0.71954	 -0.78787	 0.93405	 0.71309	 -0.34882
	 0.71954	 -0.79550	 0.93409	 0.66437	 -0.33601
	 0.71954	 -0.80981	 0.92445	 0.77096	 -0.33848
	 0.69462	 -0.72989	 0.95157	 0.65493	 -0.25900
	 0.74203	 -0.75098	 0.87969	 0.25860	 -0.26343
	 0.74283	 -0.73296	 0.93292	 0.19983	 -0.34882
	 0.73874	 -0.89025	 0.91468	 0.62303	 -0.28300
	 0.73020	 -0.76007	 0.94721	 0.61858	 -0.36697
	 0.72809	 -0.51897	 0.94721	 0.09464	 -0.45965
	 0.74283	 -0.68437	 0.94097	 0.23210	 -0.38142
	 0.73018	 -0.74928	 0.94721	 0.64450	 -0.37094
	 0.74283	 -0.72944	 0.94759	 0.23210	 -0.37311
	 0.72811	 -0.51591	 0.94059	 0.10288	 -0.45152
	 0.67458	 -0.75098	 0.88054	 0.71370	 -0.26830
	 0.74312	 -0.67607	 0.84222	 0.63418	 0.00000
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.69047	 -0.75098	 0.87937	 0.79372	 -0.33102
	 0.73948	 -0.68449	 0.88167	 0.47279	 -0.29519
	 0.65979	 -0.52976	 0.94721	 0.08759	 -0.21538
