l_s	l_l	R	theta	
	 0.59675	 0.55115	 0.02927	 -0.46410
	 0.58253	 0.49736	 0.02793	 -0.44513
	 0.56243	 0.49634	 0.02632	 -0.42136
	 0.58253	 0.26356	 0.02793	 -0.44513
	 0.44839	 0.45180	 0.02406	 -0.37955
	 0.58331	 0.25944	 0.02436	 -0.39496
	 0.55730	 0.55325	 0.02862	 -0.45205
	 0.40271	 0.56541	 0.02332	 -0.36462
	 0.58331	 0.25944	 0.02231	 -0.36771
	 0.58331	 0.24400	 0.02824	 -0.44893
	 0.43615	 0.53417	 0.02406	 -0.38126
	 0.39183	 0.54848	 0.02957	 -0.45212
	 0.55610	 0.34932	 0.02827	 -0.44796
	 0.35974	 0.49650	 0.02957	 -0.42440
	 0.44839	 0.53417	 0.02406	 -0.37954
	 0.58331	 0.22926	 0.02436	 -0.39497
	 0.35910	 0.55096	 0.02927	 -0.42637
	 0.59675	 0.49668	 0.02942	 -0.46575
	 0.59910	 0.53705	 0.02861	 -0.45716
	 0.55052	 0.55115	 0.02927	 -0.46253
	 0.44756	 0.41145	 0.02528	 -0.39668
	 0.38828	 0.49047	 0.02957	 -0.45144
	 0.38828	 0.49650	 0.02957	 -0.45144
	 0.35910	 0.49860	 0.02957	 -0.42376
	 0.54369	 0.42301	 0.02806	 -0.44800
	 0.54694	 0.55987	 0.02877	 -0.45641
	 0.32439	 0.50993	 0.02941	 -0.38963
	 0.58671	 0.33589	 0.02827	 -0.45011
	 0.42268	 0.49650	 0.02961	 -0.45558
	 0.56243	 0.26255	 0.02632	 -0.42136
	 0.39183	 0.50544	 0.02957	 -0.45212
	 0.59675	 0.55115	 0.02849	 -0.45519
	 0.59209	 0.56717	 0.02262	 -0.36811
	 0.54694	 0.55115	 0.02736	 -0.43552
	 0.58331	 0.43177	 0.02806	 -0.44681
	 0.58331	 0.25944	 0.02436	 -0.39496
	 0.44839	 0.53385	 0.02406	 -0.37955
	 0.58331	 0.25944	 0.02436	 -0.39496
	 0.35910	 0.55096	 0.02927	 -0.42637
	 0.42601	 0.49650	 0.02955	 -0.45408
	 0.42235	 0.49650	 0.02954	 -0.45529
	 0.59607	 0.55115	 0.02850	 -0.45507
	 0.54694	 0.55734	 0.02861	 -0.45475
	 0.59675	 0.54569	 0.02940	 -0.46561
	 0.59130	 0.49561	 0.02927	 -0.46259
	 0.39334	 0.55096	 0.02957	 -0.45225
	 0.54438	 0.53667	 0.02861	 -0.45398
	 0.59929	 0.55153	 0.02861	 -0.45721
	 0.59675	 0.47872	 0.02995	 -0.47163
	 0.38828	 0.50649	 0.02991	 -0.44955
	 0.59797	 0.49668	 0.02943	 -0.46628
	 0.41217	 0.49650	 0.02960	 -0.45470
	 0.55439	 0.56834	 0.02877	 -0.45866
	 0.58127	 0.23595	 0.02824	 -0.44841
	 0.54694	 0.55987	 0.02877	 -0.45641
	 0.38828	 0.47607	 0.02957	 -0.45144
	 0.38828	 0.49047	 0.02928	 -0.44796
	 0.55610	 0.37435	 0.02827	 -0.44796
	 0.38828	 0.49650	 0.02957	 -0.45144
	 0.54369	 0.42301	 0.02806	 -0.44800
