xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.59046	 -0.76903	 0.85000	 0.70688	 353.93387	 -0.01267 	 8.33200
	 0.60195	 -0.49887	 0.82788	 0.67590	 321.90345	 0.00000 	 2.63534
	 0.41122	 -0.23203	 0.82669	 0.61620	 402.17996	 0.00944 	 11.04209
	 0.38832	 -0.24744	 0.96408	 0.06441	 403.07408	 -0.19251 	 29.77065
	 0.40751	 -0.58063	 0.87300	 0.63483	 388.06118	 0.00000 	 0.00000
	 0.43247	 -0.66827	 0.85881	 0.78277	 398.95212	 0.00935 	 9.81751
	 0.62166	 -0.60877	 0.85803	 0.72158	 346.58311	 -0.00396 	 6.42030
	 0.67243	 -0.81211	 0.84498	 0.30556	 363.07594	 -0.05454 	 6.88712
	 0.53050	 -0.86329	 0.78809	 0.05873	 311.83419	 0.00000 	 1.39300
	 0.55812	 -0.41812	 0.86859	 0.08062	 305.86650	 0.00000 	 0.51845
	 0.52538	 -0.33536	 0.76143	 0.49456	 326.42493	 0.00000 	 3.40045
	 0.69765	 -0.16067	 0.96549	 0.53328	 402.92610	 -0.17727 	 17.54262
	 0.38866	 -0.24555	 0.78530	 0.61405	 306.28391	 0.00000 	 0.76458
	 0.45338	 -0.41386	 0.93188	 0.78688	 303.19743	 0.00000 	 0.01395
	 0.71416	 -0.39926	 0.78012	 0.71194	 355.08497	 0.00987 	 2.26676
	 0.66990	 -0.81211	 0.84498	 0.30556	 363.07594	 -0.05460 	 6.97774
	 0.40831	 -0.58063	 0.87300	 0.04970	 388.06118	 -0.26028 	 26.61049
	 0.66161	 -0.15636	 0.84498	 0.61827	 309.20144	 0.00000 	 0.68423
	 0.70449	 -0.81446	 0.78670	 0.30105	 361.70393	 -0.03097 	 3.38174
	 0.43202	 -0.81961	 0.84756	 0.08902	 403.14097	 -0.29607 	 25.61260
	 0.39393	 -0.24744	 0.96286	 0.64928	 384.34611	 -0.10629 	 29.50602
	 0.71351	 -0.80361	 0.81757	 0.03956	 385.69144	 -0.13933 	 6.61506
	 0.43202	 -0.16977	 0.84633	 0.09837	 384.43717	 0.00000 	 0.00000
	 0.64109	 -0.57899	 0.77952	 0.67026	 336.61583	 0.00000 	 2.97778
	 0.72540	 -0.31392	 0.94489	 0.02662	 306.95232	 0.00000 	 0.51238
	 0.40751	 -0.58063	 0.85699	 0.82009	 388.06118	 0.00978 	 12.19088
	 0.59165	 -0.77233	 0.83052	 0.03457	 364.01163	 -0.05891 	 9.42540
	 0.52973	 -0.40256	 0.92980	 0.77849	 356.21904	 -0.01558 	 13.22761
	 0.71334	 -0.77233	 0.83162	 0.80252	 364.01163	 -0.04908 	 5.02611
	 0.65024	 -0.55535	 0.92439	 0.56833	 374.08936	 -0.11859 	 12.93197
	 0.67751	 -0.53840	 0.97083	 0.47224	 378.71028	 -0.16024 	 15.09770
	 0.40460	 -0.58063	 0.87052	 0.63483	 388.63425	 0.00000 	 0.00000
	 0.67751	 -0.56762	 0.96147	 0.03993	 380.62859	 -0.17629 	 15.23219
	 0.72596	 -0.31392	 0.94479	 0.73413	 354.75036	 -0.02264 	 7.07978
	 0.71651	 -0.40256	 0.92511	 0.66823	 305.29494	 0.00000 	 0.27582
	 0.65053	 -0.55616	 0.92439	 0.56865	 375.03665	 -0.12473 	 13.13599
	 0.61720	 -0.60705	 0.85881	 0.78244	 397.61939	 -0.16288 	 15.22346
	 0.65083	 -0.62211	 0.81051	 0.23847	 373.92796	 -0.05999 	 7.37001
	 0.38832	 -0.24744	 0.97497	 0.06441	 403.07408	 -0.18387 	 29.66829
	 0.46389	 -0.77929	 0.93188	 0.23847	 373.92796	 -0.14846 	 21.42235
	 0.65119	 -0.63764	 0.82351	 0.17063	 352.52608	 -0.01654 	 5.38820
	 0.43500	 -0.60141	 0.96376	 0.63483	 403.55041	 -0.15512 	 24.20685
	 0.37959	 -0.23229	 0.87333	 0.64855	 387.58484	 0.00947 	 13.11662
	 0.71416	 -0.37325	 0.92501	 0.04742	 355.08497	 -0.02585 	 6.89019
	 0.65827	 -0.39907	 0.89287	 0.76031	 395.63846	 -0.18894 	 14.59603
	 0.74209	 -0.38051	 0.89149	 0.19507	 379.83048	 -0.10354 	 7.68712
	 0.71926	 -0.15877	 0.78787	 0.61449	 307.80543	 0.00000 	 0.20608
	 0.67015	 -0.03638	 0.88490	 0.06466	 344.99581	 0.00000 	 0.00000
	 0.38832	 -0.26236	 0.96459	 0.10335	 403.07408	 -0.19143 	 29.60691
	 0.61818	 -0.60984	 0.78809	 0.05873	 335.47280	 -0.00000 	 3.41509
	 0.52952	 -0.86210	 0.84877	 0.78277	 399.63384	 -0.12451 	 20.22046
	 0.67751	 -0.53945	 0.97083	 0.47224	 378.71028	 -0.16035 	 15.10059
	 0.71926	 -0.15773	 0.78670	 0.61449	 307.80543	 -0.00000 	 0.20294
	 0.67248	 -0.54722	 0.97083	 0.09395	 378.71028	 -0.16466 	 15.42322
	 0.43704	 -0.81079	 0.84756	 0.46732	 403.14097	 -0.29447 	 27.97557
	 0.43202	 -0.56254	 0.84756	 0.09011	 403.14097	 -0.34378 	 27.83049
	 0.67751	 -0.82469	 0.97817	 0.03884	 378.69577	 -0.13365 	 14.48529
	 0.64109	 -0.57899	 0.77952	 0.09052	 336.61583	 -0.00000 	 2.89439
