Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
10.8,6.90016,1.73147,55.48883,0.00252,15.18712
10.9,6.90286,1.75403,55.48883,0.00254,15.38499
11,6.90572,1.7788,55.48883,0.00257,15.60222
11.1,6.90767,1.79655,55.48883,0.00259,15.7579
11.2,6.91012,1.80706,55.48883,0.00261,15.85008
11.3,6.91312,1.82929,55.49406,0.00264,16.04515
11.4,6.91525,1.82991,55.49406,0.00266,16.05056
11.5,6.91754,1.84226,55.49406,0.00268,16.15888
11.6,6.92053,1.87116,55.49406,0.00271,16.41234
11.7,6.92299,1.89005,55.49406,0.00273,16.57809
11.8,6.92499,1.91171,55.49807,0.00275,16.76803
11.9,6.92794,1.94671,55.49807,0.00278,17.07499
12,6.93066,1.96892,55.49807,0.0028,17.26986
12.1,6.93259,1.99252,55.49807,0.00282,17.47681
12.2,6.93521,2.02009,55.49807,0.00285,17.71864
12.3,6.93822,2.03846,55.49807,0.00287,17.87975
12.4,6.94023,2.04799,55.50682,0.00289,17.96334
12.5,6.94264,2.06042,55.50682,0.00291,18.07238
12.6,6.94578,2.07893,55.50682,0.00294,18.23472
12.7,6.94789,2.08518,55.50682,0.00296,18.28954
12.8,6.95004,2.10279,55.50682,0.00298,18.44402
12.9,6.95301,2.1334,55.50682,0.00301,18.71254
13,6.95548,2.16446,55.51425,0.00304,18.98498
13.1,6.95751,2.18692,55.51425,0.00305,19.18201
13.2,6.96021,2.21995,55.51425,0.00308,19.47167
13.3,6.96307,2.24387,55.51425,0.00311,19.68152
13.4,6.96511,2.26092,55.51425,0.00313,19.831
13.5,6.96767,2.27218,55.51425,0.00315,19.92977
13.6,6.97059,2.29389,55.51802,0.00318,20.12024
13.7,6.97274,2.30466,55.51802,0.0032,20.21473
13.8,6.97511,2.31496,55.51802,0.00322,20.30499
13.9,6.9781,2.3296,55.51802,0.00325,20.43343
14,6.98043,2.36226,55.51802,0.00327,20.71988
14.1,6.98268,2.38578,55.52878,0.00329,20.92624
14.2,6.98558,2.4146,55.52878,0.00332,21.17897
14.3,6.98804,2.4474,55.52878,0.00334,21.46668
14.4,6.99026,2.46184,55.52878,0.00336,21.59335
14.5,6.99304,2.49736,55.52878,0.00339,21.90487
14.6,6.99562,2.50864,55.52878,0.00341,22.0038
14.7,6.99777,2.51848,55.53409,0.00343,22.09015
14.8,7.00038,2.53881,55.53409,0.00346,22.26846
14.9,7.00304,2.55271,55.53409,0.00348,22.3904
15,7.00527,2.56536,55.53409,0.0035,22.50132
15.1,7.00777,2.58367,55.53409,0.00353,22.66198
15.2,7.01047,2.60426,55.53409,0.00355,22.84252
15.3,7.01276,2.63226,55.54156,0.00357,23.08811
15.4,7.01523,2.65156,55.54156,0.0036,23.25746
15.5,7.01803,2.68569,55.54156,0.00362,23.55676
15.6,7.02026,2.70616,55.54156,0.00364,23.73636
15.7,7.02266,2.73641,55.54156,0.00367,24.00165
15.8,7.02555,2.75343,55.54156,0.00369,24.15098
15.9,7.02785,2.7678,55.54572,0.00371,24.27697
16,7.03017,2.77891,55.54572,0.00374,24.37446
16.1,7.03302,2.79034,55.54572,0.00376,24.47467
16.2,7.03552,2.81328,55.54572,0.00379,24.67587
16.3,7.03769,2.81681,55.54572,0.00381,24.70688
16.4,7.04045,2.84263,55.54572,0.00383,24.93333
16.5,7.04317,2.86904,55.55017,0.00386,25.16498
16.6,7.04513,2.89136,55.55017,0.00388,25.36078
16.7,7.04773,2.92805,55.55017,0.0039,25.68254
16.8,7.05062,2.94973,55.55017,0.00393,25.87275
16.9,7.05268,2.96536,55.55017,0.00395,26.00985
17,7.05503,2.98504,55.55672,0.00397,26.18247
17.1,7.05798,3.00945,55.55672,0.004,26.39656
17.2,7.06032,3.02117,55.55672,0.00402,26.49937
17.3,7.06255,3.03487,55.55672,0.00404,26.61949
17.4,7.06549,3.04585,55.55672,0.00407,26.71584
17.5,7.06794,3.0659,55.55672,0.00409,26.89168
17.6,7.07003,3.07151,55.55932,0.00411,26.94091
17.7,7.07284,3.09901,55.55932,0.00414,27.18209
17.8,7.07571,3.12064,55.55932,0.00416,27.37179
17.9,7.07762,3.13941,55.55932,0.00418,27.53648
18,7.08025,3.17214,55.55932,0.00421,27.82354
18.1,7.08332,3.20403,55.55932,0.00423,28.10326
18.2,7.08524,3.22267,55.56526,0.00425,28.26676
18.3,7.0877,3.24171,55.56526,0.00428,28.43372
18.4,7.09087,3.26646,55.56526,0.00431,28.65087
18.5,7.09293,3.27728,55.56526,0.00432,28.74572
18.6,7.09502,3.29029,55.56526,0.00434,28.85987
18.7,7.09803,3.30152,55.56526,0.00437,28.95836
18.8,7.10058,3.32373,55.57064,0.0044,29.15316
18.9,7.10254,3.33085,55.57064,0.00441,29.21559
19,7.10522,3.36401,55.57064,0.00444,29.50645
19.1,7.10814,3.38731,55.57064,0.00447,29.71087
19.2,7.11015,3.40363,55.57064,0.00449,29.85396
19.3,7.11261,3.43402,55.57457,0.00451,30.12057
19.4,7.11562,3.46154,55.57457,0.00454,30.36191
19.5,7.11778,3.47538,55.57457,0.00456,30.48335
19.6,7.12005,3.48523,55.57457,0.00458,30.56977
19.7,7.12307,3.50529,55.57457,0.00461,30.74571
19.8,7.12547,3.51051,55.57457,0.00463,30.79145
19.9,7.12761,3.52155,55.57718,0.00465,30.88833
20,7.13044,3.54184,55.57718,0.00468,31.06627
20.1,7.1331,3.55981,55.57718,0.0047,31.22392
20.2,7.13521,3.58808,55.57718,0.00472,31.47185
20.3,7.13787,3.61402,55.57718,0.00475,31.69937
20.4,7.14058,3.65524,55.57718,0.00477,32.06094
20.5,7.14271,3.68188,55.57548,0.00479,32.29455
