Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
885.984,7.61412,5.64645,56.6865,0.00921,49.52628
886.084,7.61412,5.652,56.6847,0.00921,49.57498
886.184,7.61412,5.63534,56.6847,0.00921,49.42885
886.284,7.61413,5.62218,56.6847,0.00921,49.31339
886.384,7.61413,5.60231,56.6847,0.00921,49.13911
886.484,7.61413,5.58311,56.6847,0.00921,48.9707
886.584,7.61413,5.57923,56.6847,0.00921,48.93665
886.684,7.61413,5.57312,56.6818,0.00921,48.88308
886.784,7.61413,5.59103,56.6818,0.00921,49.04021
886.884,7.61413,5.6057,56.6818,0.00921,49.16885
886.984,7.61413,5.63798,56.6818,0.00921,49.45197
887.084,7.61413,5.64524,56.6818,0.00921,49.51565
887.184,7.61413,5.65046,56.6818,0.00921,49.56145
887.284,7.61413,5.6494,56.682,0.00921,49.55216
887.384,7.61413,5.62407,56.682,0.00921,49.32994
887.484,7.61413,5.60443,56.682,0.00921,49.15773
887.584,7.61413,5.58564,56.682,0.00921,48.99289
887.684,7.61414,5.57324,56.682,0.00921,48.88414
887.784,7.61414,5.58123,56.68063,0.00921,48.95419
887.884,7.61414,5.57962,56.68063,0.00921,48.94011
887.984,7.61414,5.60836,56.68063,0.00921,49.1922
888.084,7.61414,5.62261,56.68063,0.00921,49.31719
888.184,7.61414,5.63932,56.68063,0.00921,49.46377
888.284,7.61414,5.64583,56.68063,0.00921,49.52081
888.384,7.61414,5.64583,56.67829,0.00921,49.52084
888.484,7.61414,5.62992,56.67829,0.00921,49.38129
888.584,7.61414,5.61462,56.67829,0.00921,49.24713
888.684,7.61414,5.59953,56.67829,0.00921,49.11477
888.784,7.61414,5.58396,56.67829,0.00921,48.9782
888.884,7.61414,5.57792,56.67829,0.00921,48.92516
888.984,7.61415,5.58756,56.67875,0.00921,49.00975
889.084,7.61414,5.59853,56.67875,0.00921,49.10599
889.184,7.61414,5.61354,56.67875,0.00921,49.23759
889.284,7.61414,5.634,56.67875,0.00921,49.4171
889.384,7.61414,5.64232,56.67875,0.00921,49.49002
889.484,7.61414,5.63815,56.67875,0.00921,49.45347
889.584,7.61415,5.61879,56.6791,0.00921,49.28366
889.684,7.61415,5.60032,56.6791,0.00921,49.12167
889.784,7.61415,5.58658,56.6791,0.00921,49.00116
889.884,7.61415,5.57283,56.6791,0.00921,48.88057
889.984,7.61415,5.57235,56.6791,0.00921,48.87635
890.084,7.61415,5.58083,56.67694,0.00921,48.95073
890.184,7.61415,5.60197,56.67694,0.00921,49.13613
890.284,7.61415,5.62305,56.67694,0.00921,49.321
890.384,7.61415,5.64102,56.67694,0.00921,49.47864
890.484,7.61415,5.64008,56.67694,0.00921,49.4704
890.584,7.61415,5.64109,56.67694,0.00921,49.47926
890.684,7.61416,5.61234,56.67524,0.00921,49.22708
890.784,7.61416,5.5956,56.67524,0.00921,49.08023
890.884,7.61416,5.57124,56.67524,0.00921,48.86661
890.984,7.61416,5.57182,56.67524,0.00921,48.87171
891.084,7.61416,5.56497,56.67524,0.00921,48.81162
891.184,7.61417,5.57544,56.67524,0.00921,48.90343
891.284,7.61417,5.59231,56.67487,0.00921,49.05141
891.384,7.61417,5.60996,56.67487,0.00921,49.20619
891.484,7.61417,5.63497,56.67487,0.00921,49.42554
891.584,7.61417,5.63677,56.67487,0.00921,49.44133
891.684,7.61417,5.64145,56.67487,0.00921,49.48246
891.784,7.61417,5.641,56.67487,0.00921,49.47851
891.884,7.61417,5.61224,56.67494,0.00921,49.22622
891.984,7.61417,5.59176,56.67494,0.00921,49.04657
892.084,7.61417,5.58199,56.67494,0.00921,48.96087
892.184,7.61418,5.56968,56.67494,0.00921,48.8529
892.284,7.61418,5.5765,56.67494,0.00921,48.91275
892.384,7.61418,5.582,56.67494,0.00921,48.96099
892.484,7.61418,5.59757,56.67739,0.00921,49.09758
892.584,7.61418,5.61932,56.67739,0.00921,49.28831
892.684,7.61418,5.62548,56.67739,0.00921,49.34233
892.784,7.61418,5.64393,56.67739,0.00921,49.50414
892.884,7.61418,5.63837,56.67739,0.00921,49.45538
892.984,7.61418,5.62553,56.67533,0.00921,49.34276
893.084,7.61419,5.60222,56.67533,0.00921,49.13829
893.184,7.61419,5.58649,56.67533,0.00921,49.00033
893.284,7.61419,5.57879,56.67533,0.00921,48.93284
893.384,7.61419,5.58625,56.67533,0.00921,48.99824
893.484,7.61419,5.59445,56.67533,0.00921,49.07016
893.584,7.61419,5.59718,56.67241,0.00921,49.0941
893.684,7.6142,5.61558,56.67241,0.00921,49.2555
893.784,7.6142,5.63793,56.67241,0.00921,49.45153
893.884,7.6142,5.64024,56.67241,0.00921,49.47178
893.984,7.6142,5.63759,56.67241,0.00921,49.44857
894.084,7.61422,5.61175,56.67241,0.00921,49.22193
894.184,7.6144,5.63465,56.67136,0.00921,49.42274
894.284,7.61512,5.56825,56.67136,0.00922,48.84033
894.384,7.61582,5.63482,56.67136,0.00923,49.42427
894.484,7.6166,5.58106,56.67136,0.00924,48.95274
894.584,7.61752,5.64418,56.67136,0.00924,49.50636
894.684,7.61861,5.65275,56.67136,0.00925,49.58153
894.784,7.61983,5.63546,56.67179,0.00927,49.42986
894.884,7.62121,5.74132,56.67179,0.00928,50.35844
894.984,7.62289,5.7405,56.67179,0.00929,50.35123
895.084,7.62472,5.74635,56.67179,0.00931,50.40253
895.184,7.62638,5.83072,56.67179,0.00933,51.14255
895.284,7.62796,5.76224,56.67179,0.00934,50.54186
895.384,7.62962,5.79345,56.67216,0.00936,50.81561
895.484,7.6316,5.85749,56.67216,0.00938,51.37733
895.584,7.63344,5.82882,56.67216,0.00939,51.12589
895.684,7.63487,5.80346,56.67216,0.00941,50.90348
895.784,7.63607,5.84572,56.67216,0.00942,51.27412
895.884,7.63712,5.9182,56.67316,0.00943,51.90987
895.984,7.63813,5.96211,56.67316,0.00944,52.29499
896.084,7.63907,5.93369,56.67316,0.00945,52.04576
896.184,7.63999,5.92943,56.67316,0.00945,52.00832
896.284,7.6408,5.97785,56.67316,0.00946,52.43304
896.384,7.64149,5.99431,56.67316,0.00947,52.57745
896.484,7.64207,5.931,56.67237,0.00947,52.02216
896.584,7.64255,5.90913,56.67237,0.00948,51.8303
896.684,7.64298,5.96941,56.67237,0.00948,52.35902
896.784,7.64335,5.95983,56.67237,0.00949,52.27499
896.884,7.64367,5.90455,56.67237,0.00949,51.79015
896.984,7.64395,5.98134,56.67237,0.00949,52.46367
897.084,7.64416,6.00702,56.66883,0.00949,52.68888
897.184,7.64436,5.95242,56.66883,0.0095,52.21
897.284,7.64451,6.02668,56.66883,0.0095,52.86132
897.384,7.64464,6.02138,56.66883,0.0095,52.81489
897.484,7.64476,5.9428,56.66883,0.0095,52.12561
897.584,7.64487,6.01191,56.66883,0.0095,52.73179
897.684,7.64498,5.95135,56.66762,0.0095,52.20061
897.784,7.64508,5.91262,56.66762,0.0095,51.86091
897.884,7.64519,5.98584,56.66762,0.0095,52.50317
897.984,7.64528,5.9335,56.66762,0.0095,52.04407
898.084,7.64538,5.94564,56.66762,0.00951,52.15051
898.184,7.64544,6.03148,56.66468,0.00951,52.90348
898.284,7.6455,5.96342,56.66468,0.00951,52.3065
898.384,7.64554,6.01489,56.66468,0.00951,52.75791
898.484,7.64558,6.02583,56.66468,0.00951,52.85386
898.584,7.64561,5.9411,56.66468,0.00951,52.11076
898.684,7.64564,5.99967,56.66468,0.00951,52.62445
898.784,7.64567,5.93611,56.66256,0.00951,52.06691
898.884,7.64569,5.91382,56.66256,0.00951,51.87143
898.984,7.64572,5.98294,56.66256,0.00951,52.47772
899.084,7.64574,5.90029,56.66256,0.00951,51.75275
899.184,7.64576,5.96654,56.66256,0.00951,52.33384
899.284,7.64577,5.99125,56.66256,0.00951,52.55056
899.384,7.64577,5.94141,56.66354,0.00951,52.11342
899.484,7.64578,6.03822,56.66354,0.00951,52.96258
899.584,7.64578,5.95905,56.66354,0.00951,52.26816
899.684,7.64578,5.98492,56.66354,0.00951,52.49507
899.784,7.64578,5.98211,56.66354,0.00951,52.47039
899.884,7.64579,5.89456,56.66354,0.00951,51.70254
899.984,7.64579,5.96546,56.66263,0.00951,52.32436
900.084,7.6458,5.88724,56.66263,0.00951,51.63831
900.184,7.6458,5.92811,56.66263,0.00951,51.99676
900.284,7.6458,5.95934,56.66263,0.00951,52.27074
900.384,7.6458,5.91113,56.66263,0.00951,51.84784
900.484,7.6458,6.00902,56.658,0.00951,52.70645
900.584,7.64579,5.94094,56.658,0.00951,52.10928
900.684,7.64579,5.99232,56.658,0.00951,52.56001
900.784,7.64579,5.97126,56.658,0.00951,52.37528
900.884,7.64579,5.91836,56.658,0.00951,51.91123
900.984,7.64579,5.9717,56.658,0.00951,52.3791
901.084,7.64579,5.87503,56.65679,0.00951,51.53123
901.184,7.64579,5.93766,56.65679,0.00951,52.08054
901.284,7.64579,5.91616,56.65679,0.00951,51.892
901.384,7.64579,5.91013,56.65679,0.00951,51.8391
901.484,7.64578,5.97814,56.65679,0.00951,52.43563
901.584,7.64578,5.91828,56.65679,0.00951,51.91058
901.684,7.64578,6.00438,56.66188,0.00951,52.66579
901.784,7.64578,5.93802,56.66188,0.00951,52.08371
901.884,7.64577,5.95991,56.66188,0.00951,52.27568
901.984,7.64577,5.95399,56.66188,0.00951,52.22381
902.084,7.64577,5.89275,56.66188,0.00951,51.68666
902.184,7.64577,5.9583,56.66188,0.00951,52.26157
902.284,7.64577,5.87101,56.66254,0.00951,51.49592
902.384,7.64577,5.93888,56.66254,0.00951,52.09124
902.484,7.64577,5.91041,56.66254,0.00951,51.84148
902.584,7.64576,5.91607,56.66254,0.00951,51.89117
902.684,7.64576,5.97352,56.66254,0.00951,52.39505
902.784,7.64576,5.91394,56.66254,0.00951,51.87251
902.884,7.64576,5.99565,56.66304,0.00951,52.58923
902.984,7.64575,5.92071,56.66304,0.00951,51.93184
903.084,7.64575,5.94237,56.66304,0.00951,52.1219
903.184,7.64575,5.92505,56.66304,0.00951,51.96993
903.284,7.64575,5.87392,56.66304,0.00951,51.52144
903.384,7.64575,5.94487,56.66059,0.00951,52.14379
903.484,7.64575,5.87465,56.66059,0.00951,51.52789
903.584,7.64575,5.93527,56.66059,0.00951,52.05954
903.684,7.64575,5.92787,56.66059,0.00951,51.99468
903.784,7.64574,5.92099,56.66059,0.00951,51.93436
903.884,7.64574,5.98551,56.66059,0.00951,52.50023
903.984,7.64574,5.90886,56.66052,0.00951,51.82797
904.084,7.64574,5.97163,56.66052,0.00951,52.37846
904.184,7.64574,5.89968,56.66052,0.00951,51.74743
904.284,7.64573,5.89664,56.66052,0.00951,51.72077
904.384,7.64573,5.92174,56.66052,0.00951,51.94088
904.484,7.64573,5.847,56.66052,0.00951,51.28533
904.584,7.64573,5.92489,56.66313,0.00951,51.96855
904.684,7.64573,5.85604,56.66313,0.00951,51.36464
904.784,7.64572,5.92303,56.66313,0.00951,51.95226
904.884,7.64572,5.92338,56.66313,0.00951,51.95528
904.984,7.64572,5.90232,56.66313,0.00951,51.77053
905.084,7.64572,5.95853,56.66313,0.00951,52.26361
905.184,7.64572,5.87504,56.66711,0.00951,51.53126
905.284,7.64572,5.94663,56.66711,0.00951,52.15919
905.384,7.64572,5.86308,56.66711,0.00951,51.4264
905.484,7.64571,5.89044,56.66711,0.00951,51.66637
905.584,7.64571,5.88921,56.66711,0.00951,51.65556
905.684,7.64571,5.84906,56.66812,0.00951,51.30342
905.784,7.64571,5.93049,56.66812,0.00951,52.01764
905.884,7.64571,5.85516,56.66812,0.00951,51.35695
905.984,7.6457,5.94913,56.66812,0.00951,52.18112
906.084,7.6457,5.89998,56.66812,0.00951,51.75001
906.184,7.6457,5.92686,56.66812,0.00951,51.9858
906.284,7.6457,5.92499,56.66767,0.00951,51.96938
906.384,7.64569,5.87188,56.66767,0.00951,51.50357
906.484,7.6457,5.91958,56.66767,0.00951,51.92196
906.584,7.64569,5.83301,56.66767,0.00951,51.16262
906.684,7.64569,5.91322,56.66767,0.00951,51.86618
906.784,7.64569,5.83124,56.66767,0.00951,51.14714
906.884,7.64569,5.88852,56.6678,0.00951,51.64957
906.984,7.64569,5.88366,56.6678,0.00951,51.60686
907.084,7.64568,5.88815,56.6678,0.00951,51.6463
907.184,7.64568,5.94141,56.6678,0.00951,52.11343
907.284,7.64568,5.88028,56.6678,0.00951,51.57729
907.384,7.64568,5.94873,56.6678,0.00951,52.17766
907.484,7.64568,5.85625,56.66888,0.00951,51.36645
907.584,7.64567,5.91489,56.66888,0.00951,51.88084
907.684,7.64567,5.83877,56.66888,0.00951,51.21317
907.784,7.64567,5.85928,56.66888,0.00951,51.39302
907.884,7.64567,5.85533,56.66888,0.00951,51.35841
907.984,7.64567,5.82641,56.66837,0.00951,51.10472
908.084,7.64567,5.89576,56.66837,0.00951,51.713
908.184,7.64567,5.83443,56.66837,0.00951,51.1751
908.284,7.64566,5.92759,56.66837,0.00951,51.9922
908.384,7.64566,5.86755,56.66837,0.00951,51.46562
908.484,7.64566,5.92482,56.66837,0.00951,51.96793
908.584,7.64566,5.89261,56.66904,0.00951,51.68541
908.684,7.64565,5.86761,56.66904,0.00951,51.46609
908.784,7.64565,5.89644,56.66904,0.00951,51.71899
908.884,7.64565,5.8108,56.66904,0.00951,50.96784
908.984,7.64565,5.88399,56.66904,0.00951,51.60983
909.084,7.64565,5.79939,56.66904,0.00951,50.86771
909.184,7.64565,5.8665,56.67075,0.00951,51.45642
909.284,7.64565,5.87024,56.67075,0.00951,51.48921
909.384,7.64564,5.85681,56.67075,0.00951,51.3714
909.484,7.64564,5.92484,56.67075,0.00951,51.96806
909.584,7.64564,5.85024,56.67075,0.00951,51.31375
909.684,7.64564,5.92562,56.67075,0.00951,51.97492
909.784,7.64564,5.83409,56.67208,0.00951,51.1721
909.884,7.64564,5.87969,56.67208,0.00951,51.57208
909.984,7.64563,5.83223,56.67208,0.00951,51.15578
910.084,7.64563,5.82228,56.67208,0.00951,51.06853
910.184,7.64563,5.85432,56.67208,0.00951,51.34956
910.284,7.64563,5.78977,56.67208,0.00951,50.78333
910.384,7.64563,5.87866,56.66834,0.00951,51.56306
910.484,7.64563,5.81429,56.66834,0.00951,50.99843
910.584,7.64562,5.90728,56.66834,0.00951,51.81409
910.684,7.64562,5.85695,56.66834,0.00951,51.37263
910.784,7.64562,5.88598,56.66834,0.00951,51.62725
910.884,7.64562,5.87485,56.65947,0.00951,51.52964
910.984,7.64562,5.83518,56.65947,0.00951,51.18166
911.084,7.64562,5.8671,56.65947,0.00951,51.46168
911.184,7.64562,5.7874,56.65947,0.00951,50.76254
911.284,7.64561,5.85998,56.65947,0.00951,51.39917
911.384,7.64561,5.77099,56.65947,0.00951,50.61868
911.484,7.64561,5.86902,56.65543,0.00951,51.47847
911.584,7.64561,5.82269,56.65543,0.00951,51.07211
911.684,7.6456,5.87107,56.65543,0.00951,51.49649
911.784,7.6456,5.86925,56.65543,0.00951,51.48051
911.884,7.6456,5.86805,56.65543,0.00951,51.46997
911.984,7.6456,5.89366,56.65543,0.00951,51.69457
912.084,7.6456,5.81826,56.65256,0.00951,51.03327
912.184,7.6456,5.86762,56.65256,0.00951,51.46622
912.284,7.6456,5.76919,56.65256,0.00951,50.60286
912.384,7.6456,5.83803,56.65256,0.00951,51.20663
912.484,7.64559,5.76158,56.65256,0.00951,50.53607
912.584,7.64559,5.8383,56.65256,0.00951,51.20904
912.684,7.64559,5.81136,56.65102,0.00951,50.97272
912.784,7.64559,5.84051,56.65102,0.00951,51.22839
912.884,7.64559,5.86613,56.65102,0.00951,51.45317
912.984,7.64558,5.84683,56.65102,0.00951,51.28387
913.084,7.64558,5.88985,56.65102,0.00951,51.66122
913.184,7.64558,5.80906,56.65009,0.00951,50.9526
913.284,7.64558,5.86559,56.65009,0.00951,51.44841
913.384,7.64558,5.75659,56.65009,0.00951,50.49234
913.484,7.64558,5.83521,56.65009,0.00951,51.1819
913.584,7.64558,5.76508,56.65009,0.00951,50.56683
913.684,7.64558,5.82107,56.65009,0.00951,51.05792
913.784,7.64558,5.82509,56.64819,0.00951,51.0932
913.884,7.64557,5.81376,56.64819,0.00951,50.99381
913.984,7.64557,5.88863,56.64819,0.00951,51.6505
914.084,7.64557,5.81311,56.64819,0.00951,50.9881
914.184,7.64557,5.9004,56.64819,0.00951,51.75377
914.284,7.64557,5.80512,56.64819,0.00951,50.91797
914.384,7.64556,5.85452,56.6436,0.00951,51.35135
914.484,7.64556,5.7997,56.6436,0.00951,50.87042
914.584,7.64556,5.79953,56.6436,0.00951,50.86898
914.684,7.64556,5.82725,56.6436,0.00951,51.11214
914.784,7.64556,5.77542,56.6436,0.00951,50.65747
914.884,7.64556,5.86381,56.6436,0.00951,51.43275
914.984,7.64556,5.79038,56.6418,0.00951,50.78869
915.084,7.64555,5.888,56.6418,0.00951,51.64495
915.184,7.64555,5.82632,56.6418,0.00951,51.10397
915.284,7.64555,5.87103,56.6418,0.00951,51.49609
915.384,7.64555,5.84253,56.6418,0.00951,51.24615
915.484,7.64555,5.81824,56.63605,0.00951,51.0331
915.584,7.64555,5.83702,56.63605,0.00951,51.19777
915.684,7.64554,5.7574,56.63605,0.00951,50.49948
915.784,7.64554,5.829,56.63605,0.00951,51.12745
915.884,7.64554,5.75388,56.63605,0.00951,50.46854
915.984,7.64554,5.84974,56.63605,0.00951,51.30941
916.084,7.64554,5.79769,56.63609,0.00951,50.8528
916.184,7.64553,5.87343,56.63609,0.00951,51.51716
916.284,7.64553,5.84761,56.63609,0.00951,51.29072
916.384,7.64553,5.8568,56.63609,0.00951,51.37134
916.484,7.64553,5.85529,56.63609,0.00951,51.35804
916.584,7.64553,5.80202,56.63609,0.00951,50.89083
916.684,7.64553,5.84507,56.63717,0.00951,51.26844
916.784,7.64553,5.75333,56.63717,0.00951,50.46371
916.884,7.64552,5.83857,56.63717,0.00951,51.21138
916.984,7.64552,5.75394,56.63717,0.00951,50.46909
917.084,7.64552,5.82871,56.63717,0.00951,51.12488
917.184,7.64552,5.78722,56.63717,0.00951,50.76103
917.284,7.64552,5.84764,56.63146,0.00951,51.29097
917.384,7.64551,5.84177,56.63146,0.00951,51.2395
917.484,7.64551,5.8517,56.63146,0.00951,51.32661
917.584,7.64551,5.85537,56.63146,0.00951,51.35879
917.684,7.64551,5.80261,56.63146,0.00951,50.89601
917.784,7.64551,5.83551,56.63146,0.00951,51.18459
917.884,7.64551,5.75179,56.62867,0.00951,50.45028
917.984,7.64551,5.82143,56.62867,0.00951,51.06105
918.084,7.6455,5.72486,56.62867,0.00951,50.21401
918.184,7.6455,5.81604,56.62867,0.00951,51.01381
918.284,7.6455,5.76501,56.62867,0.00951,50.56621
918.384,7.6455,5.82521,56.63108,0.00951,51.09422
918.484,7.6455,5.821,56.63108,0.00951,51.05727
918.584,7.64549,5.83069,56.63108,0.00951,51.14233
918.684,7.64549,5.84753,56.63108,0.00951,51.28996
918.784,7.64549,5.78638,56.63108,0.00951,50.75365
918.884,7.64549,5.83715,56.63108,0.00951,51.19897
918.984,7.64549,5.72881,56.6306,0.00951,50.24867
919.084,7.64549,5.80915,56.6306,0.00951,50.95333
919.184,7.64549,5.73204,56.6306,0.00951,50.27698
919.284,7.64549,5.77696,56.6306,0.00951,50.67104
919.384,7.64549,5.78116,56.6306,0.00951,50.70781
919.484,7.64548,5.77714,56.6306,0.00951,50.67256
919.584,7.64548,5.84949,56.63092,0.00951,51.30719
919.684,7.64548,5.77657,56.63092,0.00951,50.66762
919.784,7.64547,5.86881,56.63092,0.00951,51.47667
919.884,7.64548,5.7684,56.63092,0.00951,50.59596
919.984,7.64547,5.82047,56.63092,0.00951,51.05264
920.084,7.64547,5.7605,56.63092,0.00951,50.52666
920.184,7.64547,5.77171,56.62057,0.00951,50.62496
920.284,7.64547,5.78528,56.62057,0.00951,50.74397
920.384,7.64547,5.73441,56.62057,0.00951,50.29783
920.484,7.64547,5.81335,56.62057,0.00951,50.99018
920.584,7.64547,5.74299,56.62057,0.00951,50.37302
920.684,7.64546,5.83956,56.62127,0.00951,51.22009
920.784,7.64546,5.77496,56.62127,0.00951,50.6535
920.884,7.64546,5.84961,56.62127,0.00951,51.30827
920.984,7.64546,5.78182,56.62127,0.00951,50.71362
921.084,7.64545,5.80931,56.62127,0.00951,50.95474
921.184,7.64545,5.78498,56.62127,0.00951,50.74137
921.284,7.64545,5.74986,56.61745,0.00951,50.43332
921.384,7.64545,5.7889,56.61745,0.00951,50.77575
921.484,7.64545,5.71895,56.61745,0.00951,50.1622
921.584,7.64545,5.80687,56.61745,0.00951,50.93335
921.684,7.64544,5.73809,56.61745,0.00951,50.33003
921.784,7.64544,5.84308,56.61745,0.00951,51.25092
921.884,7.64544,5.79337,56.6147,0.00951,50.81491
921.984,7.64544,5.843,56.6147,0.00951,51.2503
922.084,7.64543,5.78978,56.6147,0.00951,50.78343
922.184,7.64544,5.80283,56.6147,0.00951,50.89795
922.284,7.64543,5.77844,56.6147,0.00951,50.68401
922.384,7.64543,5.75311,56.6147,0.00951,50.46184
922.484,7.64543,5.78915,56.61135,0.00951,50.77792
922.584,7.64543,5.73871,56.61135,0.00951,50.33551
922.684,7.64543,5.80154,56.61135,0.00951,50.88662
922.784,7.64542,5.74003,56.61135,0.00951,50.34706
922.884,7.64542,5.83002,56.61135,0.00951,51.13639
922.984,7.64542,5.76239,56.61135,0.00951,50.54317
923.084,7.64542,5.82605,56.61586,0.00951,51.10155
923.184,7.64542,5.7869,56.61586,0.00951,50.75817
923.284,7.64542,5.78426,56.61586,0.00951,50.73501
923.384,7.64542,5.79808,56.61586,0.00951,50.85624
923.484,7.64542,5.73916,56.61586,0.00951,50.3395
923.584,7.64541,5.80121,56.61448,0.00951,50.8837
923.684,7.64541,5.711,56.61448,0.00951,50.09248
923.784,7.64541,5.79193,56.61448,0.00951,50.80235
923.884,7.64541,5.72844,56.61448,0.00951,50.24546
923.984,7.64541,5.78973,56.61448,0.00951,50.78301
924.084,7.6454,5.79219,56.61448,0.00951,50.80463
924.184,7.6454,5.7863,56.60935,0.00951,50.75289
924.284,7.6454,5.83854,56.60935,0.00951,51.21114
924.384,7.6454,5.75289,56.60935,0.00951,50.45986
924.484,7.6454,5.82807,56.60935,0.00951,51.11932
924.584,7.6454,5.72888,56.60935,0.00951,50.24926
924.684,7.64539,5.78167,56.60935,0.00951,50.71229
924.784,7.64539,5.75322,56.60782,0.00951,50.46282
924.884,7.64539,5.74673,56.60782,0.00951,50.40583
924.984,7.64539,5.81161,56.60782,0.00951,50.97493
925.084,7.64539,5.73976,56.60782,0.00951,50.34472
925.184,7.64538,5.83934,56.60782,0.00951,51.21814
925.284,7.64538,5.76254,56.60782,0.00951,50.54456
925.384,7.64538,5.80748,56.60254,0.00951,50.93873
925.484,7.64538,5.7944,56.60254,0.00951,50.82399
925.584,7.64538,5.7591,56.60254,0.00951,50.51439
925.684,7.64538,5.81672,56.60254,0.00951,51.01972
925.784,7.64538,5.71018,56.60254,0.00951,50.08524
925.884,7.64537,5.79804,56.59705,0.00951,50.85593
925.984,7.64537,5.72001,56.59705,0.00951,50.17148
926.084,7.64537,5.782,56.59705,0.00951,50.71525
926.184,7.64537,5.79875,56.59705,0.00951,50.86217
926.284,7.64536,5.77047,56.59705,0.00951,50.61405
926.384,7.64536,5.84772,56.59705,0.00951,51.29167
926.484,7.64536,5.74847,56.59396,0.00951,50.42114
926.584,7.64536,5.81402,56.59396,0.00951,50.99606
926.684,7.64536,5.72893,56.59396,0.00951,50.24975
926.784,7.64536,5.76982,56.59396,0.00951,50.60835
926.884,7.64536,5.76576,56.59396,0.00951,50.57275
926.984,7.64536,5.72259,56.59396,0.00951,50.19414
927.084,7.64535,5.80186,56.59091,0.00951,50.88943
927.184,7.64535,5.71255,56.59091,0.00951,50.10604
927.284,7.64535,5.80652,56.59091,0.0095,50.93027
927.384,7.64535,5.74077,56.59091,0.0095,50.35357
927.484,7.64534,5.79925,56.59091,0.0095,50.8665
927.584,7.64534,5.77924,56.59091,0.0095,50.69099
927.684,7.64534,5.77113,56.58832,0.0095,50.6199
927.784,7.64534,5.79896,56.58832,0.0095,50.86401
927.884,7.64534,5.72405,56.58832,0.0095,50.20689
927.984,7.64534,5.78755,56.58832,0.0095,50.76387
928.084,7.64534,5.70103,56.58832,0.0095,50.00502
928.184,7.64533,5.77501,56.59095,0.0095,50.65388
928.284,7.64533,5.73245,56.59095,0.0095,50.28062
928.384,7.64533,5.7727,56.59095,0.0095,50.63365
928.484,7.64533,5.78458,56.59095,0.0095,50.73784
928.584,7.64533,5.7577,56.59095,0.0095,50.50207
928.684,7.64532,5.81182,56.59095,0.0095,50.97676
928.784,7.64532,5.72806,56.59221,0.0095,50.24208
928.884,7.64532,5.80453,56.59221,0.0095,50.91283
928.984,7.64532,5.70112,56.59221,0.0095,50.00583
929.084,7.64532,5.76569,56.59221,0.0095,50.57212
929.184,7.64532,5.72243,56.59221,0.0095,50.19269
929.284,7.64532,5.73205,56.59221,0.0095,50.27705
929.384,7.64532,5.76467,56.59249,0.0095,50.56325
929.484,7.64532,5.70014,56.59249,0.0095,49.9972
929.584,7.64532,5.80128,56.59249,0.0095,50.88429
929.684,7.64531,5.72983,56.59249,0.0095,50.25763
929.784,7.64531,5.80808,56.59249,0.0095,50.94395
929.884,7.64531,5.75694,56.59249,0.0095,50.4954
929.984,7.64531,5.75675,56.59071,0.0095,50.49371
930.084,7.64531,5.77395,56.59071,0.0095,50.64463
930.184,7.64531,5.69362,56.59071,0.0095,49.94004
930.284,7.64531,5.77592,56.59071,0.0095,50.66185
930.384,7.6453,5.69365,56.59071,0.0095,49.94028
930.484,7.6453,5.75976,56.59071,0.0095,50.5201
930.584,7.6453,5.75249,56.58879,0.0095,50.45637
930.684,7.6453,5.75532,56.58879,0.0095,50.48123
930.784,7.6453,5.79463,56.58879,0.0095,50.82598
930.884,7.6453,5.72406,56.58879,0.0095,50.20697
930.984,7.6453,5.7914,56.58879,0.0095,50.79765
931.084,7.64529,5.70909,56.58779,0.0095,50.07574
931.184,7.64529,5.77673,56.58779,0.0095,50.66896
931.284,7.64529,5.72799,56.58779,0.0095,50.24144
931.384,7.64529,5.73742,56.58779,0.0095,50.3242
931.484,7.64529,5.75287,56.58779,0.0095,50.45969
931.584,7.64529,5.69713,56.58779,0.0095,49.97081
931.684,7.64529,5.77351,56.58637,0.0095,50.64077
931.784,7.64529,5.70062,56.58637,0.0095,50.0014
931.884,7.64529,5.79099,56.58637,0.0095,50.79403
931.984,7.64528,5.72468,56.58637,0.0095,50.21242
932.084,7.64528,5.78397,56.58637,0.0095,50.73251
932.184,7.64528,5.73856,56.58637,0.0095,50.33419
932.284,7.64528,5.72401,56.58484,0.0095,50.20656
932.384,7.64528,5.74861,56.58484,0.0095,50.42231
932.484,7.64528,5.68227,56.58484,0.0095,49.84048
932.584,7.64528,5.77599,56.58484,0.0095,50.66253
932.684,7.64527,5.69681,56.58484,0.0095,49.96796
932.784,7.64527,5.79257,56.58484,0.0095,50.80789
932.884,7.64527,5.72831,56.58364,0.0095,50.24433
932.984,7.64527,5.77829,56.58364,0.0095,50.68269
933.084,7.64527,5.75042,56.58364,0.0095,50.43824
933.184,7.64527,5.73194,56.58364,0.0095,50.27615
933.284,7.64527,5.75692,56.58364,0.0095,50.49527
933.384,7.64527,5.69566,56.58364,0.0095,49.95792
933.484,7.64527,5.77176,56.58256,0.0095,50.6254
933.584,7.64527,5.68713,56.58256,0.0095,49.88309
933.684,7.64526,5.78295,56.58256,0.0095,50.72353
933.784,7.64526,5.71054,56.58256,0.0095,50.08846
933.884,7.64526,5.76847,56.58256,0.0095,50.59657
